Part,Value,Device,DATASHEET,DIGI-KEY_NUM,MOUSER_NUM,PRICE,PRICE_10,PRICE_25,PRICE_50,PRICE_100,PRICE_1000
BT2,BAT-HLD-001,BAT-HLD-001,https://www.mouser.com/datasheet/2/238/bat_hld_001-1659379.pdf,,712-BAT-HLD-001,0.29,,0.266,,,
C1,8.2 pF,C-USC0805,https://www.mouser.com/datasheet/2/427/vjw1bcbascomseries-1762447.pdf,,77-VJ0805A8R2BXXPBC,0.14,,,0.1,,
"C2,C7",1 uF,C-USC0805,https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf,,187-CL21B105KBFNNNG,0.11,,,,0.04,
C3,10 uF,C-USC0805,https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf,,187-CL21A106KOQNNNG,0.1,0.044,,,,
C4,22 uF,C-USC0805,https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf,,187-CL21A226MPQNNNE,0.18,,,,0.064,
C5,.1 uF,C-USC0805,https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf,,187-CL21B104KBCNNNC,0.1,0.027,,,,
C6,2.2 uF,C-USC0805,https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf,,187-CL21A225KAFNNNE,0.1,0.053,,,,
IC1,TPS560430X3FDBVR,TPS560430X3FDBVR,https://www.ti.com/lit/ds/symlink/tps560430.pdf,,595-TPS560430X3FDBVR,1.19,1.01,,,,
IC2,DS3231SN,DS3231SN,https://www.mouser.com/datasheet/2/256/DS3231-1513891.pdf,,700-DS3231SN#T&R-,8.82,,,7.37,,
IC3,4050D,4050D,https://www.mouser.com/datasheet/2/916/74HC4050-1598370.pdf,,771-74HC4050D-T,0.51,,,,25.7,
J1,MEM2067-02-180-00-A_REVB,MEM2067-02-180-00-A_REVB,https://gct.co/files/specs/mem2067-spec.pdf,2073-MEM2067-02-180-00-ATR-ND,,1.08,,,0.85,,
"J2,J3",95501-2441,95501-2441,https://www.mouser.com/datasheet/2/276/1/0955012441_MODULAR_JACKS_PLUG-177497.pdf,,538-95501-2441,0.86,,,,0.57,
J4,PJ-102A,PJ-102A,https://www.mouser.com/datasheet/2/670/pj_102a-1778834.pdf,,490-PJ-102A,0.64,0.479,,,,
L2,12 uH,L-USL1812,https://www.mouser.com/datasheet/2/54/cm-777730.pdf,,652-CM453232-120KL,0.27,,,0.182,,
"LED1,LED2,LED3",,LEDCHIP-LED0805,https://dammedia.osram.info/media/resource/hires/osram-dam-14795755/LG%20R971_EN.pdf,,720-LGR971-KN-1,0.25,,,,0.058,
"R1,R2,R3,R7,R8,R9,R10,R11,R12,R13,R14",10 K,R-US_R0805,https://www.mouser.com/datasheet/2/219/RK73H-1825326.pdf,,660-RK73H2ATTD1002F,0.1,,,,,0.006
"R4,R5,R6",160,R-US_R0805,https://www.mouser.com/datasheet/2/219/RK73H-1825326.pdf,,660-RK73H2ATTD1600F,0.1,,,,0.014,
"SW1,SW2",FSM4JSMA,FSM4JSMA,https://www.mouser.com/datasheet/2/418/1/NG_CD_2-1437565-7_V-202667.pdf,,506-FSM4JSMA,0.24,,,,0.197,
U1,XB3-24Z8UM-J,XB3-24Z8UM-J,https://www.mouser.com/datasheet/2/111/ds_xbee-3-zigbee-3-1288823.pdf,,888-XB3-24Z8UM,18.99,,,,,
