UNIXTIME,CO2
1583089202,611.00
1583089203,610.00
1583089204,609.00
1583089205,608.00
1583089206,608.00
1583089207,608.00
1583089208,607.00
1583089209,607.00
1583089210,606.00
1583089211,606.00
1583089212,606.00
1583089213,605.00
1583089214,605.00
1583089215,604.00
1583089216,604.00
1583089217,603.00
1583089218,603.00
1583089219,602.00
1583089220,601.00
1583089221,601.00
1583089222,600.00
1583089223,600.00
UNIXTIME,CO2
1583089202,410.00
1583089203,410.00
1583089204,410.00
1583089205,410.00
1583089206,410.00
1583089207,410.00
1583089208,410.00
1583089209,410.00
1583089210,603.00
1583089211,603.00
1583089212,602.00
1583089213,602.00
1583089214,601.00
1583089215,600.00
1583089216,599.00
1583089217,598.00
1583089218,597.00
1583089219,596.00
1583089220,595.00
1583089221,594.00
1583089222,594.00
1583089223,593.00
1583089224,592.00
1583089225,592.00
1583089226,591.00
1583089227,590.00
1583089228,589.00
1583089229,589.00
1583089230,589.00
1583089231,589.00
1583089232,589.00
1583089233,589.00
1583089234,589.00
1583089235,589.00
1583089236,589.00
1583089237,589.00
1583089238,589.00
1583089239,589.00
1583089240,590.00
1583089241,590.00
1583089242,590.00
1583089243,590.00
1583089244,591.00
1583089245,591.00
1583089246,592.00
1583089247,593.00
1583089248,593.00
1583089249,594.00
1583089250,594.00
1583089251,595.00
1583089252,595.00
1583089253,596.00
1583089254,597.00
1583089255,597.00
1583089256,598.00
1583089257,598.00
1583089258,598.00
1583089259,599.00
1583089260,599.00
1583089261,599.00
1583089262,599.00
1583089263,599.00
1583089264,599.00
1583089265,599.00
1583089266,599.00
1583089267,599.00
1583089268,598.00
1583089269,598.00
1583089270,597.00
1583089271,597.00
1583089272,596.00
1583089273,596.00
1583089274,595.00
1583089275,595.00
1583089276,594.00
1583089277,594.00
1583089278,593.00
1583089279,593.00
1583089280,592.00
1583089281,592.00
1583089282,592.00
1583089283,591.00
1583089284,591.00
1583089285,590.00
1583089286,590.00
1583089287,590.00
1583089288,589.00
1583089289,589.00
1583089290,588.00
1583089291,588.00
1583089292,587.00
1583089293,586.00
1583089294,586.00
1583089295,585.00
1583089296,584.00
1583089297,584.00
1583089298,583.00
1583089299,583.00
1583089300,583.00
1583089301,582.00
1583089302,582.00
1583089303,582.00
1583089304,582.00
1583089305,582.00
1583089306,582.00
1583089307,582.00
1583089308,583.00
1583089309,583.00
1583089310,584.00
1583089311,584.00
1583089312,584.00
1583089313,584.00
1583089314,584.00
1583089315,584.00
1583089316,584.00
1583089317,584.00
1583089318,585.00
1583089319,584.00
1583089320,584.00
1583089321,584.00
1583089322,583.00
1583089323,583.00
1583089324,583.00
1583089325,582.00
1583089326,582.00
1583089327,582.00
1583089328,582.00
1583089329,583.00
1583089330,583.00
1583089331,583.00
1583089332,582.00
1583089333,582.00
1583089334,582.00
1583089335,582.00
1583089336,581.00
1583089337,581.00
1583089338,581.00
1583089339,581.00
1583089340,581.00
1583089341,581.00
1583089342,581.00
1583089343,581.00
1583089344,581.00
1583089345,581.00
1583089346,581.00
1583089347,582.00
1583089348,582.00
1583089349,582.00
1583089350,582.00
1583089351,583.00
1583089352,583.00
1583089353,584.00
1583089354,584.00
1583089355,584.00
1583089356,585.00
1583089357,585.00
1583089358,586.00
1583089359,586.00
1583089360,587.00
1583089361,587.00
1583089362,587.00
1583089363,587.00
1583089364,587.00
1583089365,587.00
1583089366,587.00
1583089367,587.00
1583089368,587.00
1583089369,588.00
1583089370,588.00
1583089371,588.00
1583089372,588.00
1583089373,588.00
1583089374,588.00
1583089375,588.00
1583089376,588.00
1583089377,588.00
1583089378,588.00
1583089379,588.00
1583089380,588.00
1583089381,588.00
1583089382,589.00
1583089383,589.00
1583089384,589.00
1583089385,589.00
1583089386,588.00
1583089387,588.00
1583089388,588.00
1583089389,588.00
1583089390,588.00
1583089391,588.00
1583089392,588.00
1583089393,588.00
1583089394,588.00
1583089395,588.00
1583089396,588.00
1583089397,588.00
1583089398,588.00
1583089399,588.00
1583089400,588.00
1583089401,588.00
1583089402,588.00
1583089403,588.00
1583089404,588.00
1583089405,588.00
1583089406,588.00
1583089407,588.00
1583089408,589.00
1583089409,589.00
1583089410,589.00
1583089411,589.00
1583089412,589.00
1583089413,589.00
1583089414,589.00
1583089415,589.00
1583089416,589.00
1583089417,589.00
1583089418,589.00
1583089419,589.00
1583089420,589.00
1583089421,589.00
1583089422,590.00
1583089423,590.00
1583089424,590.00
1583089425,590.00
1583089426,590.00
1583089427,590.00
1583089428,591.00
1583089429,591.00
1583089430,591.00
1583089431,591.00
1583089432,591.00
1583089433,591.00
1583089434,592.00
1583089435,591.00
1583089436,591.00
1583089437,591.00
1583089438,591.00
1583089439,591.00
1583089440,591.00
1583089441,591.00
1583089442,591.00
1583089443,590.00
1583089444,590.00
1583089445,590.00
1583089446,590.00
1583089447,590.00
1583089448,590.00
1583089449,590.00
1583089450,589.00
1583089451,589.00
1583089452,589.00
1583089453,589.00
1583089454,589.00
1583089455,589.00
1583089456,589.00
1583089457,589.00
1583089458,589.00
1583089459,589.00
1583089460,588.00
1583089461,587.00
1583089462,586.00
1583089463,585.00
1583089464,585.00
1583089465,584.00
1583089466,584.00
1583089467,584.00
1583089468,584.00
1583089469,584.00
1583089470,584.00
1583089471,584.00
1583089472,583.00
1583089473,583.00
1583089474,583.00
1583089475,583.00
1583089476,583.00
1583089477,583.00
1583089478,583.00
1583089479,582.00
1583089480,582.00
1583089481,582.00
1583089482,582.00
1583089483,581.00
1583089484,581.00
1583089485,581.00
1583089486,580.00
1583089487,580.00
1583089488,580.00
1583089489,580.00
1583089490,580.00
1583089491,579.00
1583089492,579.00
1583089493,579.00
1583089494,579.00
1583089495,579.00
1583089496,579.00
1583089497,579.00
1583089498,579.00
1583089499,578.00
1583089500,578.00
1583089501,578.00
1583089502,578.00
1583089503,577.00
1583089504,577.00
1583089505,577.00
1583089506,577.00
1583089507,577.00
1583089508,577.00
1583089509,576.00
1583089510,576.00
1583089511,575.00
1583089512,575.00
1583089513,575.00
1583089514,575.00
1583089515,575.00
1583089516,574.00
1583089517,574.00
1583089518,574.00
1583089519,573.00
1583089520,573.00
1583089521,573.00
1583089522,573.00
1583089523,573.00
1583089524,573.00
1583089525,573.00
1583089526,573.00
1583089527,573.00
1583089528,573.00
1583089529,573.00
1583089530,573.00
1583089531,574.00
1583089532,573.00
