unixtime,date,ws,wd,co2,temp
1626347958,07/15/2021 11:19,0.0,82,447,24
1626347961,07/15/2021 11:19,0.67,82,450,24
1626347964,07/15/2021 11:19,0.67,82,438,24
1626347967,07/15/2021 11:19,0.67,82,436,24
1626347970,07/15/2021 11:19,0.67,82,441,24
1626347973,07/15/2021 11:19,0.67,82,442,24
1626347976,07/15/2021 11:19,0.34,82,436,24
1626347979,07/15/2021 11:19,0.34,82,439,24
1626347982,07/15/2021 11:19,0.34,82,442,24
1626347985,07/15/2021 11:19,0.34,82,442,24
1626347988,07/15/2021 11:19,0.0,82,442,24
1626347991,07/15/2021 11:19,0.0,82,443,24
1626347994,07/15/2021 11:19,0.0,82,444,24
1626347997,07/15/2021 11:19,0.0,82,440,24
1626348000,07/15/2021 11:20,0.0,82,441,24
1626348003,07/15/2021 11:20,0.0,82,441,24
1626348006,07/15/2021 11:20,0.0,82,442,24
1626348009,07/15/2021 11:20,0.0,82,442,24
1626348012,07/15/2021 11:20,0.0,82,443,24
1626348015,07/15/2021 11:20,0.67,82,441,24
1626348018,07/15/2021 11:20,0.67,82,443,24
1626348021,07/15/2021 11:20,1.01,82,443,24
1626348024,07/15/2021 11:20,1.34,82,445,24
1626348027,07/15/2021 11:20,1.34,82,443,24
1626348030,07/15/2021 11:20,1.01,82,443,24
1626348033,07/15/2021 11:20,1.34,82,442,24
1626348036,07/15/2021 11:20,1.01,82,440,24
1626348039,07/15/2021 11:20,1.01,82,441,24
1626348042,07/15/2021 11:20,1.34,82,440,24
1626348045,07/15/2021 11:20,1.01,82,441,24
1626348048,07/15/2021 11:20,1.34,82,442,24
1626348051,07/15/2021 11:20,1.01,82,441,24
1626348054,07/15/2021 11:20,1.01,82,440,24
1626348057,07/15/2021 11:20,0.67,82,439,24
1626348060,07/15/2021 11:21,0.67,82,440,24
1626348063,07/15/2021 11:21,1.01,82,440,24
1626348066,07/15/2021 11:21,1.01,82,440,24
1626348069,07/15/2021 11:21,1.01,82,440,24
1626348072,07/15/2021 11:21,1.34,82,439,24
1626348075,07/15/2021 11:21,1.34,82,441,24
1626348078,07/15/2021 11:21,1.01,82,442,24
1626348081,07/15/2021 11:21,1.01,82,442,24
1626348084,07/15/2021 11:21,0.67,82,442,24
1626348087,07/15/2021 11:21,1.01,82,442,24
1626348090,07/15/2021 11:21,1.01,82,442,24
1626348093,07/15/2021 11:21,1.01,82,443,23
1626348096,07/15/2021 11:21,1.01,82,443,24
1626348099,07/15/2021 11:21,0.67,82,442,24
1626348102,07/15/2021 11:21,0.67,82,442,24
1626348105,07/15/2021 11:21,0.67,82,441,24
1626348108,07/15/2021 11:21,0.34,82,441,24
1626348111,07/15/2021 11:21,0.34,82,441,24
1626348114,07/15/2021 11:21,0.34,82,441,24
1626348117,07/15/2021 11:21,0.0,82,441,24
1626348120,07/15/2021 11:22,0.0,82,441,24
1626348123,07/15/2021 11:22,0.0,82,441,24
1626348126,07/15/2021 11:22,0.0,82,441,24
1626348129,07/15/2021 11:22,0.0,82,442,24
1626348132,07/15/2021 11:22,0.0,82,442,24
1626348135,07/15/2021 11:22,0.0,82,442,24
1626348138,07/15/2021 11:22,0.0,82,443,24
1626348141,07/15/2021 11:22,0.0,82,444,24
1626348144,07/15/2021 11:22,0.0,82,445,24
1626348147,07/15/2021 11:22,0.0,82,445,24
1626348150,07/15/2021 11:22,0.0,82,446,24
