unixtime,date,ws,wd,co2,temp
1626181263,07/13/2021 13:01,2.35,41,400,28
1626181266,07/13/2021 13:01,2.68,43,453,28
1626181269,07/13/2021 13:01,2.35,49,470,28
1626181272,07/13/2021 13:01,1.68,30,411,28
1626181275,07/13/2021 13:01,2.01,30,309,28
1626181278,07/13/2021 13:01,2.35,46,604,28
1626181281,07/13/2021 13:01,2.01,45,583,28
1626181284,07/13/2021 13:01,1.68,30,637,28
1626181287,07/13/2021 13:01,1.68,38,559,28
1626181290,07/13/2021 13:01,2.01,38,396,28
1626181293,07/13/2021 13:01,2.01,44,431,28
1626181296,07/13/2021 13:01,2.01,43,374,28
1626181299,07/13/2021 13:01,2.01,42,268,28
1626181302,07/13/2021 13:01,2.35,47,288,28
1626181305,07/13/2021 13:01,2.68,49,335,28
1626181308,07/13/2021 13:01,2.68,53,254,28
1626181311,07/13/2021 13:01,2.68,53,9,28
1626181314,07/13/2021 13:01,2.68,45,204,28
1626181317,07/13/2021 13:01,3.02,49,294,28
1626181320,07/13/2021 13:02,2.68,58,425,28
1626181323,07/13/2021 13:02,2.68,53,501,28
1626181326,07/13/2021 13:02,2.01,39,627,28
1626181329,07/13/2021 13:02,1.68,43,470,28
1626181332,07/13/2021 13:02,1.34,29,438,28
1626181335,07/13/2021 13:02,1.68,22,383,28
1626181338,07/13/2021 13:02,2.01,57,408,28
1626181341,07/13/2021 13:02,1.68,45,473,28
1626181344,07/13/2021 13:02,1.68,37,552,28
1626181347,07/13/2021 13:02,2.01,33,0,28
1626181350,07/13/2021 13:02,2.68,38,334,28
1626181353,07/13/2021 13:02,2.68,51,267,28
1626181356,07/13/2021 13:02,2.35,43,0,28
1626181359,07/13/2021 13:02,1.68,38,353,28
1626181362,07/13/2021 13:02,1.68,55,252,28
1626181365,07/13/2021 13:02,2.01,54,433,28
1626181368,07/13/2021 13:02,2.35,17,0,28
1626181371,07/13/2021 13:02,2.68,62,790,28
1626181374,07/13/2021 13:02,2.35,59,317,28
1626181377,07/13/2021 13:02,2.35,45,320,28
1626181380,07/13/2021 13:03,2.68,63,364,28
1626181383,07/13/2021 13:03,2.68,61,401,28
1626181386,07/13/2021 13:03,3.02,53,420,28
1626181389,07/13/2021 13:03,2.68,58,500,28
1626181392,07/13/2021 13:03,2.68,54,501,28
1626181395,07/13/2021 13:03,2.35,52,535,28
1626181398,07/13/2021 13:03,2.68,46,488,28
1626181401,07/13/2021 13:03,2.35,44,445,28
1626181404,07/13/2021 13:03,1.68,56,354,28
1626181407,07/13/2021 13:03,1.34,56,327,28
1626181410,07/13/2021 13:03,1.34,99,334,28
1626181413,07/13/2021 13:03,2.01,102,332,28
1626181416,07/13/2021 13:03,3.02,105,322,28
1626181419,07/13/2021 13:03,2.68,86,340,28
1626181422,07/13/2021 13:03,2.68,53,347,28
1626181425,07/13/2021 13:03,2.68,77,354,28
1626181428,07/13/2021 13:03,3.35,46,256,28
1626181431,07/13/2021 13:03,3.02,84,394,28
1626181434,07/13/2021 13:03,3.02,77,171,28
1626181437,07/13/2021 13:03,3.02,56,300,28
1626181440,07/13/2021 13:04,2.68,51,114,28
1626181443,07/13/2021 13:04,3.02,69,305,28
1626181446,07/13/2021 13:04,2.35,50,411,28
1626181449,07/13/2021 13:04,2.68,34,552,28
1626181452,07/13/2021 13:04,2.01,52,518,28
1626181455,07/13/2021 13:04,2.01,55,456,28
1626181458,07/13/2021 13:04,2.01,71,322,28
1626181461,07/13/2021 13:04,3.02,52,263,28
1626181464,07/13/2021 13:04,3.02,82,363,28
1626181467,07/13/2021 13:04,3.02,103,381,28
1626181470,07/13/2021 13:04,3.02,77,432,28
1626181473,07/13/2021 13:04,3.02,41,360,28
1626181476,07/13/2021 13:04,3.02,79,235,28
1626181479,07/13/2021 13:04,2.68,82,317,28
1626181482,07/13/2021 13:04,2.68,85,471,28
1626181485,07/13/2021 13:04,2.68,64,231,28
1626181488,07/13/2021 13:04,3.02,68,127,28
1626181491,07/13/2021 13:04,3.35,46,450,28
1626181494,07/13/2021 13:04,4.02,44,5,28
1626181497,07/13/2021 13:04,3.35,42,432,28
1626181500,07/13/2021 13:05,4.02,29,226,28
1626181503,07/13/2021 13:05,3.69,100,268,28
1626181506,07/13/2021 13:05,4.69,41,255,28
1626181509,07/13/2021 13:05,4.36,46,300,28
1626181512,07/13/2021 13:05,3.35,14,393,28
1626181515,07/13/2021 13:05,3.35,30,486,28
1626181518,07/13/2021 13:05,3.35,76,308,28
1626181521,07/13/2021 13:05,3.69,62,254,28
1626181524,07/13/2021 13:05,3.02,49,246,28
1626181527,07/13/2021 13:05,3.02,28,384,28
1626181530,07/13/2021 13:05,4.02,47,356,28
1626181533,07/13/2021 13:05,4.69,65,174,28
1626181536,07/13/2021 13:05,3.35,63,608,28
1626181539,07/13/2021 13:05,4.36,87,194,28
1626181542,07/13/2021 13:05,3.69,67,281,28
1626181545,07/13/2021 13:05,3.69,64,185,28
1626181548,07/13/2021 13:05,4.69,60,784,28
1626181551,07/13/2021 13:05,3.69,44,876,28
1626181554,07/13/2021 13:05,3.35,43,555,28
1626181557,07/13/2021 13:05,3.69,48,709,28
1626181560,07/13/2021 13:06,3.02,77,336,28
1626181563,07/13/2021 13:06,3.69,83,229,28
1626181566,07/13/2021 13:06,3.02,79,0,28
1626181569,07/13/2021 13:06,2.68,76,565,28
1626181572,07/13/2021 13:06,4.02,42,308,28
1626181575,07/13/2021 13:06,4.36,57,80,28
1626181578,07/13/2021 13:06,3.69,58,404,29
1626181581,07/13/2021 13:06,3.35,51,383,29
1626181584,07/13/2021 13:06,2.35,58,378,29
1626181587,07/13/2021 13:06,2.68,34,277,29
1626181590,07/13/2021 13:06,2.68,61,657,29
1626181593,07/13/2021 13:06,3.02,52,586,29
1626181596,07/13/2021 13:06,2.68,53,597,29
1626181599,07/13/2021 13:06,2.35,66,311,29
1626181602,07/13/2021 13:06,2.01,61,354,29
1626181605,07/13/2021 13:06,2.01,51,287,29
1626181608,07/13/2021 13:06,2.01,61,424,29
1626181611,07/13/2021 13:06,3.02,55,271,29
1626181614,07/13/2021 13:06,2.35,38,154,29
1626181617,07/13/2021 13:06,2.35,47,244,29
1626181620,07/13/2021 13:07,3.02,51,255,29
1626181623,07/13/2021 13:07,3.69,47,81,29
1626181626,07/13/2021 13:07,3.69,49,167,29
1626181629,07/13/2021 13:07,3.02,51,702,29
1626181632,07/13/2021 13:07,3.35,70,548,29
1626181635,07/13/2021 13:07,3.02,55,299,29
1626181638,07/13/2021 13:07,2.68,28,220,29
1626181641,07/13/2021 13:07,2.35,43,500,29
1626181644,07/13/2021 13:07,3.35,52,263,29
1626181647,07/13/2021 13:07,3.69,59,869,29
1626181650,07/13/2021 13:07,3.35,48,1,29
1626181653,07/13/2021 13:07,2.68,51,202,29
1626181656,07/13/2021 13:07,2.35,60,353,29
1626181659,07/13/2021 13:07,2.01,60,205,29
1626181662,07/13/2021 13:07,2.35,67,375,29
1626181665,07/13/2021 13:07,1.68,91,90,29
1626181668,07/13/2021 13:07,2.01,62,158,29
1626181671,07/13/2021 13:07,2.68,57,270,29
1626181674,07/13/2021 13:07,3.02,61,244,29
1626181677,07/13/2021 13:07,3.35,81,297,29
1626181680,07/13/2021 13:08,3.35,48,304,29
1626181683,07/13/2021 13:08,5.36,80,559,29
1626181686,07/13/2021 13:08,4.36,83,405,29
1626181689,07/13/2021 13:08,3.69,70,344,29
1626181692,07/13/2021 13:08,4.69,80,288,29
1626181695,07/13/2021 13:08,4.02,96,354,29
1626181698,07/13/2021 13:08,4.02,86,712,29
1626181701,07/13/2021 13:08,2.68,68,721,29
1626181704,07/13/2021 13:08,3.35,83,513,29
1626181707,07/13/2021 13:08,4.36,69,246,29
1626181710,07/13/2021 13:08,4.02,50,316,29
1626181713,07/13/2021 13:08,4.02,43,322,29
1626181716,07/13/2021 13:08,4.02,57,610,29
1626181719,07/13/2021 13:08,4.02,66,722,29
1626181722,07/13/2021 13:08,4.36,88,632,29
1626181725,07/13/2021 13:08,4.36,75,513,29
1626181728,07/13/2021 13:08,3.69,62,382,29
1626181731,07/13/2021 13:08,4.69,48,141,29
1626181734,07/13/2021 13:08,3.69,60,242,29
1626181737,07/13/2021 13:08,3.35,54,271,29
1626181740,07/13/2021 13:09,4.36,83,348,29
1626181743,07/13/2021 13:09,3.69,61,151,29
1626181746,07/13/2021 13:09,4.02,66,319,29
1626181749,07/13/2021 13:09,3.69,63,117,29
1626181752,07/13/2021 13:09,3.35,41,33,29
1626181755,07/13/2021 13:09,3.02,76,109,29
1626181758,07/13/2021 13:09,3.69,36,473,29
1626181761,07/13/2021 13:09,3.35,57,484,29
1626181764,07/13/2021 13:09,2.68,51,197,29
1626181767,07/13/2021 13:09,2.68,43,0,29
1626181770,07/13/2021 13:09,3.35,56,679,29
1626181773,07/13/2021 13:09,3.35,63,0,29
1626181776,07/13/2021 13:09,3.02,57,259,29
1626181779,07/13/2021 13:09,2.35,59,679,29
1626181782,07/13/2021 13:09,2.35,42,710,29
1626181785,07/13/2021 13:09,2.68,69,324,29
1626181788,07/13/2021 13:09,3.02,61,452,29
