unixtime,date,ws,wd,co2,temp
1636917620,11/14/2021 19:20,1.01,122,322,23
1636917623,11/14/2021 19:20,1.01,93,287,23
1636917626,11/14/2021 19:20,0.67,167,409,23
1636917629,11/14/2021 19:20,1.01,113,377,23
1636917632,11/14/2021 19:20,1.01,86,366,23
1636917635,11/14/2021 19:20,1.01,115,297,23
1636917638,11/14/2021 19:20,0.67,120,306,23
1636917641,11/14/2021 19:20,0.67,108,332,23
1636917644,11/14/2021 19:20,0.67,102,328,23
1636917647,11/14/2021 19:20,0.67,114,338,23
1636917650,11/14/2021 19:20,1.01,135,320,23
1636917653,11/14/2021 19:20,1.01,134,331,23
1636917656,11/14/2021 19:20,1.68,169,315,23
1636917659,11/14/2021 19:20,1.68,142,298,23
1636917662,11/14/2021 19:21,1.68,146,337,23
1636917665,11/14/2021 19:21,2.01,154,331,23
1636917668,11/14/2021 19:21,2.35,159,360,23
1636917671,11/14/2021 19:21,2.01,152,347,23
1636917674,11/14/2021 19:21,2.01,141,354,23
1636917677,11/14/2021 19:21,2.01,111,388,23
1636917680,11/14/2021 19:21,1.68,103,373,23
1636917683,11/14/2021 19:21,1.34,98,337,23
1636917686,11/14/2021 19:21,1.01,136,252,23
1636917689,11/14/2021 19:21,0.67,119,396,23
1636917692,11/14/2021 19:21,0.67,123,369,23
1636917695,11/14/2021 19:21,0.34,123,356,23
1636917698,11/14/2021 19:21,1.01,124,343,23
1636917701,11/14/2021 19:21,0.67,124,340,23
1636917704,11/14/2021 19:21,0.34,129,342,23
1636917707,11/14/2021 19:21,0.67,166,341,23
1636917710,11/14/2021 19:21,0.34,170,337,23
1636917713,11/14/2021 19:21,0.67,166,333,23
1636917716,11/14/2021 19:21,0.34,181,333,23
1636917719,11/14/2021 19:21,0.67,184,340,23
1636917722,11/14/2021 19:22,0.67,137,333,23
1636917725,11/14/2021 19:22,0.34,149,337,23
1636917728,11/14/2021 19:22,0.34,172,334,23
1636917731,11/14/2021 19:22,0.34,164,341,23
1636917734,11/14/2021 19:22,0.34,124,341,23
1636917737,11/14/2021 19:22,0.34,110,351,23
1636917740,11/14/2021 19:22,0.34,134,343,23
1636917743,11/14/2021 19:22,0.67,130,338,23
1636917746,11/14/2021 19:22,0.34,191,331,23
1636917749,11/14/2021 19:22,0.34,194,333,23
1636917752,11/14/2021 19:22,0.34,166,331,23
1636917755,11/14/2021 19:22,0.34,130,338,23
1636917758,11/14/2021 19:22,0,114,336,23
1636917761,11/14/2021 19:22,0.34,124,339,23
1636917764,11/14/2021 19:22,0,131,336,23
1636917767,11/14/2021 19:22,0.34,141,337,23
1636917770,11/14/2021 19:22,0.67,124,337,23
1636917773,11/14/2021 19:22,0.34,149,342,23
1636917776,11/14/2021 19:22,0.34,183,345,23
1636917779,11/14/2021 19:22,0.34,188,347,23
1636917782,11/14/2021 19:23,0.67,193,342,23
1636917785,11/14/2021 19:23,0.34,178,338,23
1636917788,11/14/2021 19:23,0.34,186,331,23
1636917791,11/14/2021 19:23,0.34,180,332,23
1636917794,11/14/2021 19:23,0,176,345,23
1636917797,11/14/2021 19:23,0.34,185,349,23
1636917800,11/14/2021 19:23,0,186,329,23
1636917803,11/14/2021 19:23,0,163,329,24
1636917806,11/14/2021 19:23,0,123,332,24
1636917809,11/14/2021 19:23,0.34,131,340,24
1636917812,11/14/2021 19:23,0.34,173,342,24
1636917815,11/14/2021 19:23,0,144,320,24
1636917818,11/14/2021 19:23,0.34,158,322,24
1636917821,11/14/2021 19:23,0.67,151,321,24
1636917824,11/14/2021 19:23,1.01,147,324,24
1636917827,11/14/2021 19:23,0.67,160,329,24
1636917830,11/14/2021 19:23,1.01,165,322,24
1636917833,11/14/2021 19:23,0.67,156,309,24
1636917836,11/14/2021 19:23,0.67,148,294,24
1636917839,11/14/2021 19:23,0.67,148,0,0
1636917842,11/14/2021 19:24,0.67,154,0,0
1636917845,11/14/2021 19:24,0.67,161,0,0
1636917848,11/14/2021 19:24,0.67,157,0,0
