unixtime,date,ws,wd,co2,temp
1627400819,7/27/2021 15:46,0,233,522,28
1627400822,7/27/2021 15:47,0,233,522,28
1627400825,7/27/2021 15:47,0,232,517,28
1627400828,7/27/2021 15:47,0,233,510,28
1627400831,7/27/2021 15:47,0,232,508,28
1627400866,7/27/2021 15:47,0,232,574,29
1627400869,7/27/2021 15:47,0,233,566,29
1627400872,7/27/2021 15:47,0,233,551,29
1627400875,7/27/2021 15:47,0,233,565,29
1627400878,7/27/2021 15:47,0,233,557,29
1627400881,7/27/2021 15:48,0,232,555,29
1627400884,7/27/2021 15:48,0,233,556,29
1627400887,7/27/2021 15:48,0,233,546,29
1627400890,7/27/2021 15:48,0,232,542,29
1627400893,7/27/2021 15:48,0,233,542,29
1627400896,7/27/2021 15:48,0,231,539,29
1627400899,7/27/2021 15:48,0,233,544,29
1627400902,7/27/2021 15:48,0,231,547,29
1627400905,7/27/2021 15:48,0,233,552,29
1627400908,7/27/2021 15:48,0,233,551,29
1627400911,7/27/2021 15:48,0,233,548,29
1627400914,7/27/2021 15:48,0,233,547,28
1627400917,7/27/2021 15:48,0,233,539,29
1627400920,7/27/2021 15:48,0,233,536,29
1627400923,7/27/2021 15:48,0,233,534,29
1627400926,7/27/2021 15:48,0,233,534,29
1627400929,7/27/2021 15:48,0,232,532,29
1627400932,7/27/2021 15:48,0,233,531,29
1627400935,7/27/2021 15:48,0,231,529,29
1627400938,7/27/2021 15:48,0,233,528,29
1627400941,7/27/2021 15:49,0,231,529,29
1627400944,7/27/2021 15:49,0,233,526,29
1627400947,7/27/2021 15:49,0,233,525,29
1627400950,7/27/2021 15:49,0,233,522,29
1627400953,7/27/2021 15:49,0,233,523,29
1627400956,7/27/2021 15:49,0,232,520,29
1627400959,7/27/2021 15:49,0,233,519,29
1627400962,7/27/2021 15:49,0,233,520,29
1627400965,7/27/2021 15:49,0,233,522,29
1627400968,7/27/2021 15:49,0,233,521,29
1627400971,7/27/2021 15:49,0,233,521,29
1627400974,7/27/2021 15:49,0,231,521,29
1627400977,7/27/2021 15:49,0,233,521,29
1627400980,7/27/2021 15:49,0,231,522,29
1627400983,7/27/2021 15:49,0,233,524,29
1627400986,7/27/2021 15:49,0,232,524,28
1627400989,7/27/2021 15:49,0,233,526,28
1627400992,7/27/2021 15:49,0,233,526,28
1627400995,7/27/2021 15:49,0,233,523,28
1627400998,7/27/2021 15:49,0,233,524,28
1627401001,7/27/2021 15:50,0,233,525,28
1627401004,7/27/2021 15:50,0,233,521,28
1627401007,7/27/2021 15:50,0,233,517,28
1627401010,7/27/2021 15:50,0,233,514,28
1627401013,7/27/2021 15:50,0,231,515,28
1627401016,7/27/2021 15:50,0,233,512,28
1627401019,7/27/2021 15:50,0,231,506,28
1627401022,7/27/2021 15:50,0,233,503,28
1627401025,7/27/2021 15:50,0,233,504,28
1627401028,7/27/2021 15:50,0,233,508,28
1627401031,7/27/2021 15:50,0,233,509,28
1627401034,7/27/2021 15:50,0,233,509,28
1627401037,7/27/2021 15:50,0,233,515,28
1627401040,7/27/2021 15:50,0,233,516,28
1627401043,7/27/2021 15:50,0,233,505,28
1627401046,7/27/2021 15:50,0,233,501,28
1627401049,7/27/2021 15:50,0,233,500,28
1627401052,7/27/2021 15:50,0,232,504,28
1627401055,7/27/2021 15:50,0,233,504,28
1627401058,7/27/2021 15:50,0,232,499,28
1627401061,7/27/2021 15:51,0,233,495,28
1627401064,7/27/2021 15:51,0,232,505,28
1627401067,7/27/2021 15:51,0,233,496,28
1627401070,7/27/2021 15:51,0,233,495,28
1627401073,7/27/2021 15:51,0,233,480,28
1627401076,7/27/2021 15:51,0,233,498,28
1627401079,7/27/2021 15:51,0,233,500,28
1627401082,7/27/2021 15:51,0,233,488,28
1627401085,7/27/2021 15:51,0,233,496,28
1627401088,7/27/2021 15:51,0,233,504,28
1627401091,7/27/2021 15:51,0,231,488,28
1627401094,7/27/2021 15:51,0,233,508,28
1627401097,7/27/2021 15:51,0,232,511,28
1627401100,7/27/2021 15:51,0,233,519,28
1627401103,7/27/2021 15:51,0,231,525,28
1627401106,7/27/2021 15:51,0,233,519,28
1627401109,7/27/2021 15:51,0,233,517,28
1627401112,7/27/2021 15:51,0,233,518,28
1627401115,7/27/2021 15:51,0,233,514,28
1627401118,7/27/2021 15:51,0,233,514,28
1627401121,7/27/2021 15:52,0,233,518,28
1627401124,7/27/2021 15:52,0,233,519,28
1627401127,7/27/2021 15:52,0,233,514,28
1627401130,7/27/2021 15:52,0,232,515,28
1627401133,7/27/2021 15:52,0,233,514,28
1627401136,7/27/2021 15:52,0,231,516,28
1627401139,7/27/2021 15:52,0,233,523,28
1627401142,7/27/2021 15:52,0,231,525,28
1627401145,7/27/2021 15:52,0,233,522,28
1627401148,7/27/2021 15:52,0,233,520,28
1627401151,7/27/2021 15:52,0,233,520,28
1627401154,7/27/2021 15:52,0,233,520,28
1627401157,7/27/2021 15:52,0,233,522,28
1627401160,7/27/2021 15:52,0,233,522,28
1627401163,7/27/2021 15:52,0,233,520,28
1627401166,7/27/2021 15:52,0,233,518,28
1627401169,7/27/2021 15:52,0,233,516,28
1627401172,7/27/2021 15:52,0,233,509,28
1627401175,7/27/2021 15:52,0,232,503,28
1627401178,7/27/2021 15:52,0,233,507,28
1627401181,7/27/2021 15:53,0,231,509,28
1627401184,7/27/2021 15:53,0,233,517,28
1627401187,7/27/2021 15:53,0,233,517,28
1627401190,7/27/2021 15:53,0,233,521,28
1627401193,7/27/2021 15:53,0,233,517,28
1627401196,7/27/2021 15:53,0,233,515,28
1627401199,7/27/2021 15:53,0,233,517,28
1627401202,7/27/2021 15:53,0,233,515,28
1627401205,7/27/2021 15:53,0,233,514,28
1627401208,7/27/2021 15:53,0,233,514,28
1627401211,7/27/2021 15:53,0,233,510,28
1627401214,7/27/2021 15:53,0,231,507,28
1627401217,7/27/2021 15:53,0,233,505,28
1627401220,7/27/2021 15:53,0,232,508,28
1627401223,7/27/2021 15:53,0,233,510,28
1627401226,7/27/2021 15:53,0,233,510,28
1627401229,7/27/2021 15:53,0,233,507,28
1627401232,7/27/2021 15:53,0,233,508,28
1627401235,7/27/2021 15:53,0,233,511,28
1627401238,7/27/2021 15:53,0,233,508,28
1627401241,7/27/2021 15:54,0,233,508,28
1627401244,7/27/2021 15:54,0,233,508,28
1627401247,7/27/2021 15:54,0,233,508,28
1627401250,7/27/2021 15:54,0,233,509,28
1627401253,7/27/2021 15:54,0,231,512,28
1627401256,7/27/2021 15:54,0,233,513,28
1627401259,7/27/2021 15:54,0,232,512,28
1627401262,7/27/2021 15:54,0,233,511,28
1627401265,7/27/2021 15:54,0,231,510,28
1627401268,7/27/2021 15:54,0,233,504,28
1627401271,7/27/2021 15:54,0,233,505,28
1627401274,7/27/2021 15:54,0,233,505,28
1627401277,7/27/2021 15:54,0,233,504,28
1627401280,7/27/2021 15:54,0,233,502,28
1627401283,7/27/2021 15:54,0,233,499,28
1627401286,7/27/2021 15:54,0,233,501,28
1627401289,7/27/2021 15:54,0,233,501,28
1627401292,7/27/2021 15:54,0,232,502,28
1627401295,7/27/2021 15:54,0,233,504,28
1627401298,7/27/2021 15:54,0,232,507,28
1627401301,7/27/2021 15:55,0,233,511,28
1627401304,7/27/2021 15:55,0,231,512,28
1627401307,7/27/2021 15:55,0,233,514,28
1627401310,7/27/2021 15:55,0,233,515,28
1627401313,7/27/2021 15:55,0,233,516,28
1627401316,7/27/2021 15:55,0,233,516,28
1627401319,7/27/2021 15:55,0,233,516,27
1627401322,7/27/2021 15:55,0,233,516,27
1627401325,7/27/2021 15:55,0,233,517,27
1627401328,7/27/2021 15:55,0,233,519,27
1627401331,7/27/2021 15:55,0,232,521,27
1627401334,7/27/2021 15:55,0,233,514,28
1627401337,7/27/2021 15:55,0,231,504,28
1627401340,7/27/2021 15:55,0,233,475,28
1627401343,7/27/2021 15:55,0,231,486,28
1627401346,7/27/2021 15:55,0,233,493,28
1627401349,7/27/2021 15:55,0,233,498,28
1627401352,7/27/2021 15:55,0,233,504,28
1627401355,7/27/2021 15:55,0,233,502,28
1627401358,7/27/2021 15:55,0,233,512,28
1627401361,7/27/2021 15:56,0,233,510,28
1627401364,7/27/2021 15:56,0,233,513,28
1627401367,7/27/2021 15:56,0,233,520,28
1627401370,7/27/2021 15:56,0,233,523,28
1627401373,7/27/2021 15:56,0,233,518,28
1627401376,7/27/2021 15:56,0,231,517,28
1627401379,7/27/2021 15:56,0,233,521,28
1627401382,7/27/2021 15:56,0,231,516,28
1627401385,7/27/2021 15:56,0,233,506,28
1627401388,7/27/2021 15:56,0,233,506,28
1627401391,7/27/2021 15:56,0,233,511,28
1627401394,7/27/2021 15:56,0,233,513,28
1627401397,7/27/2021 15:56,0,233,510,28
1627401400,7/27/2021 15:56,0,233,511,28
1627401403,7/27/2021 15:56,0,233,514,28
1627401406,7/27/2021 15:56,0,233,519,28
1627401409,7/27/2021 15:56,0,233,521,28
1627401412,7/27/2021 15:56,0,233,518,28
1627401415,7/27/2021 15:56,0,232,513,28
1627401418,7/27/2021 15:56,0,233,512,28
1627401421,7/27/2021 15:57,0,231,512,28
1627401424,7/27/2021 15:57,0,233,514,28
1627401427,7/27/2021 15:57,0,232,515,28
1627401430,7/27/2021 15:57,0,233,515,28
1627401433,7/27/2021 15:57,0,233,513,28
1627401436,7/27/2021 15:57,0,233,510,28
1627401439,7/27/2021 15:57,0,233,510,28
1627401442,7/27/2021 15:57,0,233,511,28
1627401445,7/27/2021 15:57,0,233,513,28
1627401448,7/27/2021 15:57,0,233,511,28
1627401451,7/27/2021 15:57,0,233,508,28
1627401454,7/27/2021 15:57,0,232,505,28
1627401457,7/27/2021 15:57,0,233,506,28
1627401460,7/27/2021 15:57,0,231,506,28
1627401463,7/27/2021 15:57,0,233,508,28
1627401466,7/27/2021 15:57,0,231,511,28
1627401469,7/27/2021 15:57,0,233,515,28
1627401472,7/27/2021 15:57,0,233,516,28
1627401475,7/27/2021 15:57,0,233,518,28
1627401478,7/27/2021 15:57,0,233,517,28
1627401481,7/27/2021 15:58,0,232,516,28
1627401484,7/27/2021 15:58,0,233,516,28
1627401487,7/27/2021 15:58,0,233,517,28
1627401490,7/27/2021 15:58,0,233,515,28
1627401493,7/27/2021 15:58,0,233,515,28
1627401496,7/27/2021 15:58,0,233,513,28
1627401499,7/27/2021 15:58,0,231,514,28
1627401502,7/27/2021 15:58,0,233,517,28
1627401505,7/27/2021 15:58,0,231,513,28
1627401508,7/27/2021 15:58,0,233,511,28
1627401511,7/27/2021 15:58,0,233,507,28
1627401514,7/27/2021 15:58,0,233,513,28
1627401517,7/27/2021 15:58,0,233,516,28
1627401520,7/27/2021 15:58,0,233,505,28
1627401523,7/27/2021 15:58,0,233,500,28
1627401526,7/27/2021 15:58,0,233,504,28
1627401529,7/27/2021 15:58,0,233,500,28
1627401532,7/27/2021 15:58,0,233,481,28
1627401535,7/27/2021 15:58,0,233,476,28
1627401538,7/27/2021 15:58,0,231,452,28
1627401541,7/27/2021 15:59,0,233,440,28
1627401544,7/27/2021 15:59,0,232,452,28
1627401547,7/27/2021 15:59,0,233,486,28
1627401550,7/27/2021 15:59,0,232,501,28
1627401553,7/27/2021 15:59,0,233,496,28
1627401556,7/27/2021 15:59,0,233,506,28
1627401559,7/27/2021 15:59,0,233,536,28
1627401562,7/27/2021 15:59,0,233,533,28
1627401565,7/27/2021 15:59,0,233,528,28
1627401568,7/27/2021 15:59,0,233,479,28
1627401571,7/27/2021 15:59,0,233,454,28
1627401574,7/27/2021 15:59,0,233,474,28
1627401577,7/27/2021 15:59,0,232,460,28
1627401580,7/27/2021 15:59,0,233,508,28
1627401583,7/27/2021 15:59,0,232,529,28
1627401586,7/27/2021 15:59,0,233,548,28
1627401589,7/27/2021 15:59,0,231,521,28
1627401592,7/27/2021 15:59,0,233,474,28
1627401595,7/27/2021 15:59,0,233,472,28
1627401598,7/27/2021 15:59,0,233,488,28
1627401601,7/27/2021 16:00,0,233,507,28
1627401604,7/27/2021 16:00,0,233,519,28
1627401607,7/27/2021 16:00,0,233,522,28
1627401610,7/27/2021 16:00,0,233,524,28
1627401613,7/27/2021 16:00,0,233,513,28
1627401616,7/27/2021 16:00,0,232,516,28
1627401619,7/27/2021 16:00,0,233,528,28
1627401622,7/27/2021 16:00,0,231,530,28
1627401625,7/27/2021 16:00,0,233,532,28
1627401628,7/27/2021 16:00,0,232,535,28
1627401631,7/27/2021 16:00,0,233,524,28
1627401634,7/27/2021 16:00,0,233,523,28
1627401637,7/27/2021 16:00,0,233,519,28
