unixtime,date,ws,wd,co2,temp
1625605514,7/6/2021 21:05,3.69,327,308,37
1625605517,7/6/2021 21:05,5.7,330,254,37
1625605520,7/6/2021 21:05,4.36,323,507,37
1625605523,7/6/2021 21:05,3.02,329,511,37
1625605526,7/6/2021 21:05,2.35,313,123,37
1625605529,7/6/2021 21:05,2.01,264,0,37
1625605532,7/6/2021 21:05,1.68,263,347,37
1625605535,7/6/2021 21:05,3.35,325,267,37
1625605538,7/6/2021 21:05,2.68,347,351,37
1625605541,7/6/2021 21:05,1.68,289,308,37
1625605544,7/6/2021 21:05,3.35,295,307,37
1625605547,7/6/2021 21:05,3.02,242,275,38
1625605550,7/6/2021 21:05,3.02,251,192,38
1625605553,7/6/2021 21:05,3.02,290,272,38
1625605556,7/6/2021 21:05,3.02,305,349,38
1625605559,7/6/2021 21:05,2.68,322,441,38
1625605562,7/6/2021 21:06,2.35,321,549,38
1625605565,7/6/2021 21:06,2.68,318,489,37
1625605568,7/6/2021 21:06,2.01,30,593,37
1625605571,7/6/2021 21:06,1.34,30,507,37
1625605574,7/6/2021 21:06,0.67,25,352,37
1625605577,7/6/2021 21:06,1.34,22,199,38
1625605580,7/6/2021 21:06,1.34,336,206,38
1625605583,7/6/2021 21:06,2.68,249,253,38
1625605586,7/6/2021 21:06,2.35,252,277,38
1625605589,7/6/2021 21:06,1.34,252,368,38
1625605592,7/6/2021 21:06,0.67,252,172,38
1625605595,7/6/2021 21:06,1.34,257,396,38
1625605598,7/6/2021 21:06,1.68,261,378,38
1625605601,7/6/2021 21:06,1.34,262,365,38
1625605604,7/6/2021 21:06,1.68,262,393,38
1625605607,7/6/2021 21:06,1.01,67,414,38
1625605610,7/6/2021 21:06,0.34,67,345,38
1625605613,7/6/2021 21:06,0.0,67,325,38
1625605616,7/6/2021 21:06,0.0,67,330,38
1625605619,7/6/2021 21:06,0.0,67,326,38
1625605622,7/6/2021 21:07,0.34,71,372,38
1625605625,7/6/2021 21:07,1.34,7,373,38
1625605628,7/6/2021 21:07,1.68,305,333,38
1625605631,7/6/2021 21:07,1.34,306,328,38
1625605634,7/6/2021 21:07,1.34,327,421,38
1625605637,7/6/2021 21:07,0.67,319,373,38
1625605640,7/6/2021 21:07,0.0,319,388,38
1625605643,7/6/2021 21:07,0.0,319,356,39
1625605646,7/6/2021 21:07,0.0,319,353,39
1625605649,7/6/2021 21:07,0.0,319,328,39
1625605652,7/6/2021 21:07,0.0,319,350,39
1625605655,7/6/2021 21:07,0.34,319,340,39
1625605658,7/6/2021 21:07,0.0,318,355,39
1625605661,7/6/2021 21:07,0.0,318,390,39
1625605664,7/6/2021 21:07,0.0,318,379,39
1625605667,7/6/2021 21:07,0.0,319,394,39
1625605670,7/6/2021 21:07,0.0,318,392,39
1625605673,7/6/2021 21:07,0.0,318,401,39
1625605676,7/6/2021 21:07,1.01,319,382,39
1625605679,7/6/2021 21:07,2.35,288,379,39
1625605682,7/6/2021 21:08,2.35,286,381,39
1625605685,7/6/2021 21:08,2.35,284,378,39
1625605688,7/6/2021 21:08,2.01,274,406,39
1625605691,7/6/2021 21:08,2.01,267,401,39
1625605694,7/6/2021 21:08,1.34,252,386,39
1625605697,7/6/2021 21:08,1.34,252,349,39
1625605700,7/6/2021 21:08,2.01,253,232,39
1625605703,7/6/2021 21:08,2.68,325,239,39
1625605706,7/6/2021 21:08,1.34,327,368,39
1625605709,7/6/2021 21:08,1.01,320,385,39
1625605712,7/6/2021 21:08,1.01,313,372,39
1625605715,7/6/2021 21:08,1.01,313,370,39
1625605718,7/6/2021 21:08,0.67,309,395,39
1625605721,7/6/2021 21:08,1.34,308,385,39
1625605724,7/6/2021 21:08,1.68,293,432,39
1625605727,7/6/2021 21:08,1.68,260,453,39
1625605730,7/6/2021 21:08,1.68,260,431,39
1625605733,7/6/2021 21:08,2.35,259,406,39
1625605736,7/6/2021 21:08,1.68,257,401,39
1625605739,7/6/2021 21:08,1.34,256,389,39
1625605742,7/6/2021 21:09,1.01,257,374,39
1625605745,7/6/2021 21:09,0.34,257,271,40
1625605748,7/6/2021 21:09,0.0,256,288,40
1625605751,7/6/2021 21:09,0.0,256,294,40
1625605754,7/6/2021 21:09,0.0,257,294,40
1625605757,7/6/2021 21:09,0.34,257,315,40
1625605760,7/6/2021 21:09,0.0,257,326,40
1625605763,7/6/2021 21:09,0.0,257,345,40
1625605766,7/6/2021 21:09,0.0,256,350,40
1625605769,7/6/2021 21:09,0.34,257,374,40
1625605772,7/6/2021 21:09,0.67,257,375,40
1625605775,7/6/2021 21:09,0.67,257,419,40
1625605778,7/6/2021 21:09,1.01,259,378,40
1625605781,7/6/2021 21:09,1.01,259,414,40
1625605784,7/6/2021 21:09,1.34,260,485,39
1625605787,7/6/2021 21:09,1.68,310,436,39
1625605790,7/6/2021 21:09,1.68,327,405,39
1625605793,7/6/2021 21:09,1.01,313,283,39
1625605796,7/6/2021 21:09,0.34,313,495,39
1625605799,7/6/2021 21:09,0.0,313,452,39
1625605802,7/6/2021 21:10,0.67,314,185,39
1625605805,7/6/2021 21:10,0.67,321,350,39
1625605808,7/6/2021 21:10,0.67,308,179,39
1625605811,7/6/2021 21:10,0.34,308,319,39
1625605814,7/6/2021 21:10,0.34,300,296,39
1625605817,7/6/2021 21:10,0.0,300,298,39
1625605820,7/6/2021 21:10,0.0,300,322,39
1625605823,7/6/2021 21:10,0.0,300,325,40
1625605826,7/6/2021 21:10,0.67,300,300,40
1625605829,7/6/2021 21:10,1.01,320,305,39
1625605832,7/6/2021 21:10,1.34,319,399,39
1625605835,7/6/2021 21:10,1.68,317,425,39
1625605838,7/6/2021 21:10,0.67,317,380,39
1625605841,7/6/2021 21:10,0.34,317,490,39
1625605844,7/6/2021 21:10,0.0,316,447,39
1625605847,7/6/2021 21:10,0.0,317,362,39
1625605850,7/6/2021 21:10,0.0,316,344,39
1625605853,7/6/2021 21:10,0.0,317,331,39
1625605856,7/6/2021 21:10,0.0,316,351,39
1625605859,7/6/2021 21:10,0.0,316,348,40
1625605862,7/6/2021 21:11,0.34,317,348,40
1625605865,7/6/2021 21:11,1.01,308,335,40
1625605868,7/6/2021 21:11,1.01,300,328,40
1625605871,7/6/2021 21:11,1.34,294,337,40
1625605874,7/6/2021 21:11,1.34,286,358,40
1625605877,7/6/2021 21:11,1.34,238,319,40
1625605880,7/6/2021 21:11,0.67,237,341,40
1625605883,7/6/2021 21:11,0.34,236,401,40
1625605886,7/6/2021 21:11,0.0,236,432,40
1625605889,7/6/2021 21:11,0.0,237,408,40
1625605892,7/6/2021 21:11,0.0,236,273,40
1625605895,7/6/2021 21:11,0.0,236,485,40
1625605898,7/6/2021 21:11,0.0,237,249,40
1625605901,7/6/2021 21:11,0.0,237,295,40
1625605904,7/6/2021 21:11,0.34,236,280,40
1625605907,7/6/2021 21:11,0.34,236,324,40
1625605910,7/6/2021 21:11,1.34,237,342,41
1625605913,7/6/2021 21:11,0.34,238,319,41
1625605916,7/6/2021 21:11,0.67,238,394,41
1625605919,7/6/2021 21:11,0.67,238,400,41
1625605922,7/6/2021 21:12,2.01,238,314,41
1625605925,7/6/2021 21:12,2.35,313,368,40
1625605928,7/6/2021 21:12,3.02,328,317,40
1625605931,7/6/2021 21:12,2.68,332,409,40
1625605934,7/6/2021 21:12,2.68,337,393,40
1625605937,7/6/2021 21:12,1.68,328,362,40
1625605940,7/6/2021 21:12,2.01,328,384,40
1625605943,7/6/2021 21:12,2.35,330,363,40
1625605946,7/6/2021 21:12,3.02,328,321,39
1625605949,7/6/2021 21:12,2.68,325,299,39
1625605952,7/6/2021 21:12,2.68,330,358,39
1625605955,7/6/2021 21:12,2.68,331,467,38
1625605958,7/6/2021 21:12,3.02,332,462,38
1625605961,7/6/2021 21:12,3.35,326,445,38
