Unixtime,WindCyc,WindDir,ConcData,TempData
1625604839,6.0,82.0,389.0,41.0
1625604842,9.0,20.0,400.0,41.0
1625604845,12.0,26.0,411.0,41.0
1625604848,10.0,33.0,408.0,41.0
1625604851,9.0,22.0,422.0,41.0
1625604854,6.0,38.0,421.0,41.0
1625604857,8.0,20.0,430.0,41.0
1625604860,7.0,31.0,427.0,41.0
1625604863,7.0,23.0,433.0,41.0
1625604866,7.0,20.0,436.0,41.0
1625604869,6.0,37.0,440.0,41.0
1625604872,5.0,21.0,440.0,41.0
1625604875,4.0,22.0,438.0,41.0
1625604878,3.0,20.0,435.0,41.0
1625604881,4.0,20.0,432.0,41.0
1625604925,4.0,83.0,419.0,41.0
1625604928,5.0,66.0,467.0,41.0
1625604931,6.0,76.0,502.0,41.0
1625604934,7.0,74.0,488.0,41.0
1625604937,7.0,69.0,466.0,41.0
1625604940,6.0,80.0,448.0,41.0
1625604943,6.0,86.0,455.0,41.0
1625604946,9.0,86.0,449.0,41.0
1625604949,10.0,91.0,444.0,41.0
1625604952,9.0,82.0,415.0,41.0
1625604955,7.0,99.0,465.0,41.0
1625604958,4.0,91.0,519.0,41.0
1625604961,4.0,89.0,370.0,41.0
1625604964,7.0,117.0,431.0,42.0
1625604967,9.0,121.0,377.0,42.0
1625604970,7.0,119.0,390.0,42.0
1625604973,7.0,121.0,398.0,42.0
1625604976,8.0,117.0,390.0,42.0
1625604979,8.0,118.0,386.0,42.0
1625604982,8.0,116.0,396.0,42.0
1625604985,8.0,74.0,410.0,42.0
1625604988,8.0,125.0,415.0,42.0
1625604991,11.0,117.0,420.0,42.0
1625604994,15.0,119.0,419.0,42.0
1625604997,12.0,116.0,396.0,42.0
1625605000,16.0,46.0,383.0,42.0
1625605003,17.0,67.0,352.0,42.0
1625605006,21.0,65.0,350.0,41.0
1625605009,17.0,39.0,395.0,41.0
1625605012,11.0,21.0,397.0,41.0
1625605015,8.0,46.0,415.0,41.0
1625605018,6.0,14.0,371.0,41.0
1625605021,12.0,17.0,357.0,41.0
1625605024,14.0,90.0,362.0,41.0
1625605027,12.0,17.0,545.0,41.0
1625605030,11.0,45.0,643.0,41.0
1625605033,9.0,26.0,623.0,41.0
1625605036,8.0,35.0,545.0,41.0
1625605039,8.0,19.0,503.0,41.0
1625605042,11.0,24.0,408.0,41.0
1625605045,10.0,38.0,425.0,41.0
1625605048,7.0,20.0,312.0,41.0
1625605051,8.0,14.0,541.0,41.0
1625605054,11.0,12.0,485.0,41.0
1625605057,12.0,13.0,510.0,41.0
1625605060,14.0,44.0,438.0,41.0
1625605063,10.0,16.0,451.0,41.0
1625605066,5.0,38.0,594.0,40.0
1625605069,5.0,27.0,646.0,40.0
1625605072,6.0,62.0,519.0,41.0
1625605075,7.0,94.0,471.0,41.0
1625605078,6.0,78.0,357.0,41.0
1625605081,7.0,79.0,399.0,41.0
1625605084,6.0,71.0,436.0,41.0
1625605087,4.0,124.0,414.0,41.0
1625605090,3.0,131.0,443.0,41.0
1625605093,3.0,62.0,388.0,41.0
1625605096,2.0,119.0,405.0,41.0
1625605099,6.0,63.0,452.0,41.0
1625605102,7.0,58.0,392.0,41.0
1625605105,6.0,58.0,381.0,41.0
1625605108,7.0,55.0,395.0,41.0
1625605111,9.0,45.0,371.0,41.0
1625605114,11.0,43.0,377.0,41.0
1625605117,12.0,54.0,395.0,41.0
1625605120,11.0,52.0,413.0,41.0
1625605123,11.0,41.0,412.0,41.0
1625605126,10.0,32.0,415.0,41.0
1625605129,10.0,47.0,434.0,41.0
1625605132,12.0,55.0,407.0,41.0
1625605135,10.0,33.0,463.0,41.0
1625605138,8.0,57.0,429.0,41.0
1625605141,5.0,55.0,390.0,41.0
1625605144,5.0,56.0,427.0,41.0
1625605147,5.0,54.0,435.0,41.0
1625605150,5.0,59.0,431.0,41.0
1625605153,9.0,54.0,374.0,41.0
1625605156,13.0,54.0,502.0,41.0
1625605159,13.0,49.0,459.0,41.0
1625605162,11.0,37.0,389.0,41.0
1625605165,9.0,33.0,409.0,41.0
1625605168,8.0,17.0,457.0,41.0
1625605171,6.0,19.0,490.0,41.0
1625605174,5.0,19.0,557.0,41.0
1625605177,9.0,15.0,531.0,41.0
1625605180,11.0,60.0,415.0,41.0
1625605183,11.0,17.0,328.0,41.0
1625605186,7.0,16.0,430.0,41.0
1625605189,5.0,20.0,515.0,41.0
1625605192,4.0,20.0,595.0,41.0
1625605195,8.0,46.0,609.0,41.0
1625605198,10.0,29.0,360.0,41.0
1625605201,8.0,49.0,371.0,41.0
1625605204,8.0,49.0,388.0,41.0
1625605207,9.0,58.0,386.0,41.0
1625605210,8.0,64.0,561.0,40.0
1625605213,6.0,62.0,511.0,40.0
1625605216,4.0,63.0,365.0,40.0
1625605219,4.0,77.0,274.0,40.0
1625605222,4.0,63.0,257.0,40.0
1625605225,5.0,61.0,282.0,41.0
1625605228,8.0,77.0,299.0,41.0
1625605231,10.0,49.0,359.0,41.0
1625605234,11.0,54.0,380.0,41.0
1625605237,9.0,44.0,405.0,41.0
1625605240,8.0,78.0,399.0,41.0
1625605243,5.0,56.0,387.0,41.0
1625605246,5.0,39.0,375.0,41.0
1625605249,5.0,29.0,390.0,41.0
1625605252,7.0,36.0,392.0,41.0
1625605255,8.0,44.0,409.0,41.0
1625605258,10.0,28.0,415.0,41.0
1625605261,12.0,21.0,428.0,41.0
1625605264,14.0,23.0,452.0,41.0
1625605267,14.0,22.0,446.0,41.0
1625605270,12.0,49.0,468.0,41.0
1625605273,12.0,20.0,454.0,41.0
1625605276,13.0,19.0,404.0,41.0
1625605279,11.0,21.0,381.0,41.0
1625605282,9.0,18.0,385.0,41.0
1625605285,12.0,54.0,366.0,41.0
1625605288,10.0,17.0,387.0,41.0
1625605291,8.0,28.0,443.0,41.0
1625605294,6.0,22.0,438.0,41.0
1625605297,6.0,26.0,432.0,41.0
1625605300,6.0,81.0,412.0,41.0
1625605303,5.0,68.0,409.0,41.0
1625605306,6.0,68.0,436.0,41.0
1625605309,6.0,65.0,433.0,41.0
1625605312,7.0,62.0,434.0,41.0
1625605315,6.0,84.0,425.0,41.0
1625605318,6.0,64.0,420.0,41.0
1625605321,6.0,61.0,421.0,41.0
1625605324,5.0,61.0,417.0,41.0
1625605327,4.0,61.0,414.0,41.0
1625605330,3.0,79.0,415.0,41.0
1625605333,4.0,60.0,418.0,41.0
1625605336,4.0,57.0,426.0,41.0
1625605339,5.0,62.0,425.0,42.0
1625605342,7.0,43.0,419.0,42.0
1625605345,5.0,64.0,416.0,42.0
1625605348,5.0,23.0,410.0,42.0
1625605351,7.0,25.0,420.0,42.0
1625605354,6.0,29.0,434.0,42.0
1625605357,5.0,16.0,438.0,42.0
1625605360,4.0,43.0,435.0,42.0
1625605363,3.0,13.0,437.0,42.0
1625605366,3.0,14.0,445.0,42.0
1625605369,5.0,17.0,439.0,42.0
1625605372,8.0,17.0,444.0,42.0
1625605375,6.0,66.0,450.0,42.0
1625605378,7.0,22.0,443.0,42.0
1625605381,8.0,23.0,450.0,42.0
1625605384,9.0,36.0,509.0,42.0
1625605387,8.0,55.0,524.0,42.0
1625605390,7.0,61.0,359.0,42.0
1625605393,9.0,53.0,357.0,42.0
1625605396,12.0,56.0,451.0,42.0
1625605399,8.0,54.0,326.0,42.0
1625605402,5.0,55.0,432.0,42.0
1625605405,7.0,58.0,441.0,42.0
1625605408,6.0,62.0,419.0,42.0
1625605411,8.0,49.0,433.0,42.0
1625605414,8.0,53.0,437.0,42.0
1625605417,6.0,49.0,428.0,42.0
1625605420,6.0,63.0,387.0,42.0
1625605423,5.0,56.0,388.0,42.0
1625605426,5.0,58.0,385.0,42.0
1625605429,7.0,58.0,396.0,42.0
1625605432,8.0,61.0,382.0,42.0
1625605435,8.0,84.0,371.0,42.0
1625605438,8.0,63.0,359.0,42.0
1625605441,5.0,63.0,426.0,42.0
1625605444,6.0,62.0,436.0,42.0
1625605447,5.0,62.0,446.0,42.0
1625605450,5.0,85.0,447.0,42.0
1625605453,8.0,62.0,472.0,42.0
1625605456,11.0,63.0,469.0,42.0
1625605459,8.0,61.0,411.0,42.0
1625605462,8.0,62.0,427.0,42.0
1625605465,10.0,81.0,386.0,42.0
1625605468,13.0,60.0,424.0,42.0
1625605471,15.0,59.0,472.0,42.0
1625605474,13.0,61.0,482.0,42.0
1625605477,12.0,55.0,555.0,42.0
1625605480,12.0,33.0,495.0,42.0
1625605483,14.0,51.0,491.0,42.0
1625605486,14.0,55.0,395.0,42.0
1625605489,13.0,48.0,402.0,42.0
1625605492,11.0,55.0,399.0,42.0
1625605495,9.0,38.0,400.0,42.0
1625605498,9.0,54.0,392.0,42.0
1625605501,10.0,44.0,391.0,42.0
1625605504,10.0,66.0,382.0,42.0
1625605507,11.0,35.0,391.0,42.0
1625605510,8.0,29.0,395.0,42.0
1625605513,9.0,25.0,402.0,42.0
1625605516,10.0,16.0,407.0,42.0
1625605519,9.0,16.0,407.0,42.0
1625605522,10.0,18.0,403.0,42.0
1625605525,10.0,36.0,407.0,42.0
1625605528,9.0,13.0,413.0,42.0
