sec,adc,ppm
1279,628,1202.76
1280,431,817.62
1281,385,727.69
1282,432,819.57
1283,406,768.74
1284,353,665.13
1285,335,629.94
1286,328,616.25
1287,325,610.39
1288,326,612.34
1289,328,616.25
1290,333,626.03
1291,339,637.76
1292,342,643.62
1293,350,659.26
1294,357,672.95
1295,363,684.68
1296,366,690.54
1297,369,696.41
1298,371,700.32
1299,373,704.23
1300,370,698.36
1301,364,686.63
1302,360,678.81
1303,353,665.13
1304,357,672.95
1305,360,678.81
1306,352,663.17
1307,346,651.44
1308,339,637.76
1309,330,620.16
1310,330,620.16
1311,323,606.48
1312,323,606.48
1313,317,594.75
1314,315,590.84
1315,311,583.02
1316,306,573.24
1317,306,573.24
1318,303,567.38
1319,278,518.5
1320,288,538.05
1321,288,538.05
1322,290,541.96
1323,290,541.96
1324,274,510.68
1325,275,512.63
1326,276,514.59
1327,278,518.5
1328,274,510.68
1329,276,514.59
1330,266,495.04
1331,271,504.81
1332,269,500.9
1333,270,502.86
1334,275,512.63
1335,273,508.72
1336,277,516.54
1337,280,522.41
1338,275,512.63
1339,284,530.23
1340,290,541.96
1341,297,555.65
1342,285,532.18
1343,284,530.23
1344,279,520.45
1345,286,534.14
1346,290,541.96
1347,301,563.47
1348,304,569.33
1349,303,567.38
1350,322,604.52
1351,315,590.84
1352,315,590.84
1353,312,584.97
1354,328,616.25
1355,332,624.07
1356,330,620.16
1357,333,626.03
1358,339,637.76
1359,337,633.85
1360,344,647.53
1361,338,635.8
1362,338,635.8
1363,334,627.98
1364,329,618.21
1365,386,729.64
1366,357,672.95
1367,352,663.17
1368,341,641.67
1369,327,614.3
1370,315,590.84
1371,315,590.84
1372,309,579.11
1373,312,584.97
1374,307,575.2
1375,305,571.29
1376,299,559.56
1377,299,559.56
1378,307,575.2
1379,317,594.75
1380,311,583.02
1381,311,583.02
1382,315,590.84
1383,315,590.84
1384,311,583.02
1385,305,571.29
1386,304,569.33
1387,301,563.47
1388,303,567.38
1389,304,569.33
1390,295,551.74
1391,291,543.91
1392,292,545.87
1393,284,530.23
1394,281,524.36
1395,284,530.23
1396,279,520.45
1397,281,524.36
1398,271,504.81
1399,277,516.54
1400,276,514.59
1401,270,502.86
1402,267,496.99
1403,265,493.08
1404,262,487.22
1405,261,485.26
1406,258,479.4
1407,259,481.35
1408,260,483.31
1409,262,487.22
1410,259,481.35
1411,259,481.35
1412,257,477.44
1413,257,477.44
1414,260,483.31
1415,258,479.4
1416,260,483.31
1417,281,524.36
1418,276,514.59
1419,277,516.54
1420,272,506.77
1421,269,500.9
