C,,,H-NS,PPM,,SL-N,,,SL-NS,
4,550,,4,550,,4,436,,4,416
5,550,,5,550,,5,436,,5,416
7,550,,7,550,,7,436,,7,398
8,550,,8,550,,8,466,,8,398
10,550,,10,550,,10,466,,10,398
11,550,,11,550,,11,466,,11,372
13,550,,13,550,,13,421,,13,372
14,550,,14,550,,14,421,,14,387
16,550,,16,550,,16,417,,16,387
17,550,,17,550,,17,417,,17,387
19,550,,19,550,,19,417,,19,434
20,550,,20,550,,20,390,,20,434
22,550,,22,550,,22,390,,22,434
23,550,,23,550,,23,390,,23,414
25,550,,25,550,,25,389,,25,414
26,550,,26,550,,26,389,,26,414
28,550,,28,550,,28,417,,28,414
29,550,,29,567,,30,417,,29,414
31,1284,,31,567,,31,417,,31,438
32,1283,,32,567,,33,432,,33,438
34,1282,,34,567,,34,432,,34,426
36,1283,,36,567,,36,411,,36,426
37,1283,,37,566,,37,411,,37,426
39,1284,,39,566,,39,411,,39,406
40,1285,,40,566,,40,408,,40,406
42,1287,,42,567,,42,408,,42,406
43,1288,,43,567,,43,408,,43,426
45,1290,,45,567,,45,429,,45,426
46,1290,,46,567,,46,429,,46,443
48,1292,,48,567,,48,395,,48,443
49,1292,,49,567,,49,395,,49,443
51,1293,,51,567,,51,395,,51,465
52,1294,,52,567,,52,431,,52,465
54,1297,,54,567,,54,431,,54,465
55,1298,,55,567,,55,428,,55,443
57,1300,,57,566,,57,428,,57,443
58,1301,,58,566,,58,428,,58,433
60,1301,,60,566,,60,391,,60,433
61,1301,,61,566,,61,391,,61,433
63,1300,,63,565,,63,391,,63,416
64,1300,,64,565,,65,424,,64,416
66,1298,,66,564,,66,424,,66,431
67,1297,,67,564,,68,441,,67,431
69,1296,,69,563,,69,441,,69,431
70,1295,,71,563,,71,441,,71,470
72,1295,,72,562,,72,423,,72,470
74,1295,,74,562,,74,423,,74,470
75,1295,,75,561,,75,423,,75,474
77,1295,,77,560,,77,411,,77,474
78,1294,,78,560,,78,411,,78,458
80,1294,,80,560,,80,415,,80,458
81,1293,,81,560,,81,415,,81,458
83,1292,,83,559,,83,415,,83,464
84,1292,,84,559,,84,423,,84,464
86,1291,,86,559,,86,423,,86,464
87,1290,,87,559,,87,422,,87,473
89,1291,,89,559,,89,422,,89,473
90,1291,,90,559,,90,422,,90,461
92,1292,,92,559,,92,416,,92,461
93,1292,,93,559,,93,416,,93,461
95,1292,,95,560,,95,416,,95,450
96,1293,,96,560,,96,411,,96,450
98,1293,,98,560,,98,411,,98,443
99,1293,,99,561,,99,419,,99,443
101,1294,,101,561,,101,419,,101,443
102,1293,,102,561,,103,419,,102,437
104,1294,,104,562,,104,414,,104,437
105,1294,,105,562,,106,414,,105,437
107,1294,,107,562,,107,414,,107,436
108,1294,,109,562,,109,406,,109,436
110,1293,,110,562,,110,406,,110,430
111,1292,,112,562,,112,417,,112,430
113,1292,,113,562,,113,417,,113,430
115,1290,,115,562,,115,417,,115,428
116,1289,,116,562,,116,417,,116,428
118,1288,,118,563,,118,417,,118,428
119,1285,,119,563,,119,403,,119,432
121,1284,,121,563,,121,403,,121,432
122,1283,,122,563,,122,403,,122,433
124,1282,,124,563,,124,403,,124,433
125,1281,,125,563,,125,403,,125,433
127,1280,,127,563,,127,403,,127,422
128,1279,,128,563,,128,412,,128,422
130,1278,,130,564,,130,412,,130,422
131,1277,,131,564,,131,415,,131,406
133,1276,,133,565,,133,415,,133,406
134,1275,,134,565,,134,415,,134,405
136,1275,,136,565,,136,415,,136,405
137,1275,,137,565,,137,415,,137,405
139,1274,,139,565,,139,416,,139,407
140,1275,,140,565,,140,416,,140,407
142,1276,,142,565,,142,416,,142,401
143,1276,,143,565,,144,410,,143,401
145,1276,,145,565,,145,410,,145,401
146,1276,,146,565,,147,410,,146,401
148,1276,,148,565,,148,408,,148,401
149,1275,,149,565,,150,408,,150,401
151,1275,,151,565,,151,414,,151,402
153,1274,,153,564,,153,414,,153,402
154,1274,,154,564,,154,414,,154,395
156,1275,,156,563,,156,403,,156,395
157,1275,,157,563,,157,403,,157,395
159,1276,,159,563,,159,403,,159,396
160,1276,,160,563,,160,395,,160,396
162,1276,,162,562,,162,395,,162,396
163,1275,,163,562,,163,401,,163,399
165,1275,,165,562,,165,401,,165,399
166,1274,,166,562,,166,401,,166,398
168,1274,,168,562,,168,404,,168,398
169,1272,,169,561,,169,404,,169,398
171,1271,,171,561,,171,408,,171,396
172,1270,,172,561,,172,408,,172,396
174,1270,,174,562,,174,408,,174,392
175,1269,,175,562,,175,416,,175,392
177,1268,,177,562,,177,416,,177,392
178,1267,,178,562,,178,416,,178,390
180,1266,,180,562,,180,425,,180,390
181,1265,,181,563,,181,425,,181,390
183,1264,,183,563,,183,423,,183,396
184,1263,,184,564,,184,423,,184,396
186,1263,,186,564,,186,423,,186,397
187,1263,,187,564,,188,417,,187,397
189,1262,,189,564,,189,417,,189,397
190,1263,,190,565,,191,417,,191,395
192,1264,,192,565,,192,422,,192,395
194,1265,,194,565,,194,422,,194,395
195,1265,,195,566,,195,419,,195,395
197,1266,,197,566,,197,419,,197,395
198,1266,,198,565,,198,419,,198,394
200,1267,,200,565,,200,412,,200,394
201,1267,,201,565,,201,412,,201,394
203,1267,,203,565,,203,416,,203,393
204,1267,,204,565,,204,416,,204,393
206,1266,,206,565,,206,416,,206,393
207,1265,,207,564,,207,424,,207,396
209,1263,,209,564,,209,424,,209,396
210,1263,,210,564,,210,424,,210,400
212,1260,,212,564,,212,430,,212,400
213,1260,,213,564,,213,430,,213,400
215,1258,,215,564,,215,430,,215,395
216,1257,,216,564,,216,430,,216,395
218,1256,,218,564,,218,430,,218,391
219,1256,,219,565,,220,428,,219,391
221,1254,,221,565,,221,428,,221,391
222,1254,,222,566,,223,421,,222,390
224,1253,,224,566,,224,421,,224,390
225,1252,,225,567,,226,421,,225,390
227,1250,,227,568,,227,412,,227,389
