15min 50 s 14 mAh 70 mWh
Read times - Voltage  graph	Voltage(V) - Voltage  graph	Read times - Current graph	Current(A) - Current graph	
0	4.989	0	0.0000	
1	4.989	1	0.0000	
2	4.989	2	0.0003	
3	4.988	3	0.0003	
4	4.988	4	0.0002	
5	4.989	5	0.0002	
6	4.989	6	0.0004	
7	4.989	7	0.0004	
8	4.989	8	0.0005	
9	4.987	9	0.0005	
10	4.987	10	0.0006	
11	4.989	11	0.0006	
12	4.989	12	0.0006	
13	4.989	13	0.0003	
14	4.989	14	0.0003	
15	4.989	15	0.0003	
16	4.989	16	0.0001	
17	4.979	17	0.0001	
18	4.979	18	0.0536	
19	4.981	19	0.0536	
20	4.981	20	0.0564	
21	4.979	21	0.0564	
22	4.979	22	0.0564	
23	4.980	23	0.0564	
24	4.980	24	0.0562	
25	4.979	25	0.0562	
26	4.979	26	0.0558	
27	4.979	27	0.0558	
28	4.979	28	0.0559	
29	4.980	29	0.0559	
30	4.980	30	0.0555	
31	4.980	31	0.0555	
32	4.980	32	0.0555	
33	4.980	33	0.0555	
34	4.980	34	0.0552	
35	4.980	35	0.0552	
36	4.980	36	0.0553	
37	4.981	37	0.0553	
38	4.981	38	0.0519	
39	4.981	39	0.0519	
40	4.981	40	0.0520	
41	4.981	41	0.0520	
42	4.981	42	0.0519	
43	4.981	43	0.0519	
44	4.981	44	0.0521	
45	4.981	45	0.0521	
46	4.981	46	0.0517	
47	4.981	47	0.0517	
48	4.981	48	0.0513	
49	4.981	49	0.0513	
50	4.981	50	0.0529	
51	4.980	51	0.0529	
52	4.980	52	0.0526	
53	4.980	53	0.0526	
54	4.980	54	0.0526	
55	4.980	55	0.0526	
56	4.980	56	0.0525	
57	4.979	57	0.0525	
58	4.979	58	0.0556	
59	4.980	59	0.0556	
60	4.980	60	0.0555	
61	4.979	61	0.0555	
62	4.979	62	0.0554	
63	4.980	63	0.0554	
64	4.980	64	0.0554	
65	4.979	65	0.0554	
66	4.979	66	0.0554	
67	4.980	67	0.0554	
68	4.980	68	0.0554	
69	4.979	69	0.0554	
70	4.979	70	0.0551	
71	4.979	71	0.0551	
72	4.979	72	0.0552	
73	4.979	73	0.0552	
74	4.979	74	0.0550	
75	4.980	75	0.0550	
76	4.980	76	0.0523	
77	4.980	77	0.0523	
78	4.980	78	0.0519	
79	4.980	79	0.0519	
80	4.980	80	0.0521	
81	4.980	81	0.0521	
82	4.980	82	0.0518	
83	4.980	83	0.0518	
84	4.980	84	0.0520	
85	4.981	85	0.0520	
86	4.981	86	0.0520	
87	4.980	87	0.0520	
88	4.980	88	0.0520	
89	4.981	89	0.0520	
90	4.981	90	0.0518	
91	4.981	91	0.0518	
92	4.981	92	0.0516	
93	4.981	93	0.0516	
94	4.981	94	0.0558	
95	4.981	95	0.0558	
96	4.981	96	0.0554	
97	4.981	97	0.0554	
98	4.981	98	0.0555	
99	4.981	99	0.0555	
100	4.981	100	0.0552	
101	4.981	101	0.0552	
102	4.981	102	0.0554	
103	4.981	103	0.0554	
104	4.981	104	0.0555	
105	4.981	105	0.0555	
106	4.981	106	0.0555	
107	4.981	107	0.0555	
108	4.981	108	0.0555	
109	4.981	109	0.0555	
110	4.981	110	0.0553	
111	4.981	111	0.0553	
112	4.981	112	0.0521	
113	4.981	113	0.0521	
114	4.981	114	0.0518	
115	4.981	115	0.0518	
116	4.981	116	0.0520	
117	4.981	117	0.0520	
118	4.981	118	0.0518	
119	4.980	119	0.0518	
120	4.980	120	0.0520	
121	4.982	121	0.0520	
122	4.982	122	0.0520	
123	4.981	123	0.0520	
124	4.981	124	0.0522	
125	4.982	125	0.0522	
126	4.982	126	0.0522	
127	4.981	127	0.0522	
128	4.981	128	0.0522	
129	4.982	129	0.0522	
130	4.982	130	0.0560	
131	4.981	131	0.0560	
132	4.981	132	0.0556	
133	4.980	133	0.0556	
134	4.980	134	0.0556	
135	4.980	135	0.0556	
136	4.980	136	0.0553	
137	4.980	137	0.0553	
138	4.980	138	0.0554	
139	4.981	139	0.0554	
140	4.981	140	0.0554	
141	4.981	141	0.0554	
142	4.981	142	0.0555	
143	4.981	143	0.0555	
144	4.981	144	0.0553	
145	4.981	145	0.0553	
146	4.981	146	0.0553	
147	4.981	147	0.0553	
148	4.981	148	0.0536	
149	4.981	149	0.0536	
150	4.981	150	0.0515	
151	4.981	151	0.0515	
152	4.981	152	0.0519	
153	4.981	153	0.0519	
154	4.981	154	0.0517	
155	4.981	155	0.0517	
156	4.981	156	0.0520	
157	4.981	157	0.0520	
158	4.981	158	0.0518	
159	4.981	159	0.0518	
160	4.981	160	0.0520	
161	4.982	161	0.0520	
162	4.982	162	0.0520	
163	4.980	163	0.0520	
164	4.980	164	0.0521	
165	4.981	165	0.0521	
166	4.981	166	0.0522	
167	4.980	167	0.0522	
168	4.980	168	0.0556	
169	4.981	169	0.0556	
170	4.981	170	0.0556	
171	4.980	171	0.0556	
172	4.980	172	0.0552	
173	4.981	173	0.0552	
174	4.981	174	0.0553	
175	4.980	175	0.0553	
176	4.980	176	0.0550	
177	4.980	177	0.0550	
178	4.980	178	0.0552	
179	4.980	179	0.0552	
180	4.980	180	0.0550	
181	4.980	181	0.0550	
182	4.980	182	0.0552	
183	4.981	183	0.0552	
184	4.981	184	0.0553	
185	4.981	185	0.0553	
186	4.981	186	0.0521	
187	4.982	187	0.0521	
188	4.982	188	0.0521	
189	4.981	189	0.0521	
190	4.981	190	0.0518	
191	4.981	191	0.0518	
192	4.981	192	0.0520	
193	4.981	193	0.0520	
194	4.981	194	0.0517	
195	4.981	195	0.0517	
196	4.981	196	0.0520	
197	4.981	197	0.0520	
198	4.981	198	0.0518	
199	4.981	199	0.0518	
200	4.981	200	0.0520	
201	4.982	201	0.0520	
202	4.982	202	0.0520	
203	4.981	203	0.0520	
204	4.981	204	0.0558	
205	4.981	205	0.0558	
206	4.981	206	0.0557	
207	4.981	207	0.0557	
208	4.981	208	0.0556	
209	4.981	209	0.0556	
210	4.981	210	0.0556	
211	4.981	211	0.0556	
212	4.981	212	0.0552	
213	4.981	213	0.0552	
214	4.981	214	0.0553	
215	4.980	215	0.0553	
216	4.980	216	0.0550	
217	4.981	217	0.0550	
218	4.981	218	0.0553	
219	4.981	219	0.0553	
220	4.981	220	0.0551	
221	4.981	221	0.0551	
222	4.981	222	0.0523	
223	4.981	223	0.0523	
224	4.981	224	0.0520	
225	4.981	225	0.0520	
226	4.981	226	0.0522	
227	4.982	227	0.0522	
228	4.982	228	0.0522	
229	4.981	229	0.0522	
230	4.981	230	0.0523	
231	4.982	231	0.0523	
232	4.982	232	0.0527	
233	4.980	233	0.0527	
234	4.980	234	0.0527	
235	4.981	235	0.0527	
236	4.981	236	0.0523	
237	4.981	237	0.0523	
238	4.981	238	0.0520	
239	4.981	239	0.0520	
240	4.981	240	0.0524	
241	4.981	241	0.0524	
242	4.981	242	0.0554	
243	4.979	243	0.0554	
244	4.979	244	0.0554	
245	4.981	245	0.0554	
246	4.981	246	0.0554	
247	4.981	247	0.0554	
248	4.981	248	0.0555	
249	4.981	249	0.0555	
250	4.981	250	0.0556	
251	4.981	251	0.0556	
252	4.981	252	0.0553	
253	4.981	253	0.0553	
254	4.981	254	0.0555	
255	4.981	255	0.0555	
256	4.981	256	0.0553	
257	4.981	257	0.0553	
258	4.981	258	0.0555	
259	4.982	259	0.0555	
260	4.982	260	0.0519	
261	4.981	261	0.0519	
262	4.981	262	0.0521	
263	4.982	263	0.0521	
264	4.982	264	0.0522	
265	4.981	265	0.0522	
266	4.981	266	0.0519	
267	4.981	267	0.0519	
268	4.981	268	0.0520	
269	4.981	269	0.0520	
270	4.981	270	0.0518	
271	4.981	271	0.0518	
272	4.981	272	0.0520	
273	4.981	273	0.0520	
274	4.981	274	0.0518	
275	4.981	275	0.0518	
276	4.981	276	0.0520	
277	4.981	277	0.0520	
278	4.981	278	0.0552	
279	4.981	279	0.0552	
280	4.981	280	0.0554	
281	4.981	281	0.0554	
282	4.981	282	0.0554	
283	4.981	283	0.0554	
284	4.981	284	0.0555	
285	4.981	285	0.0555	
286	4.981	286	0.0555	
287	4.981	287	0.0555	
288	4.981	288	0.0552	
289	4.981	289	0.0552	
290	4.981	290	0.0554	
291	4.981	291	0.0554	
292	4.981	292	0.0552	
293	4.981	293	0.0552	
294	4.981	294	0.0553	
295	4.981	295	0.0553	
296	4.981	296	0.0515	
297	4.981	297	0.0515	
298	4.981	298	0.0518	
299	4.982	299	0.0518	
300	4.982	300	0.0519	
301	4.981	301	0.0519	
302	4.981	302	0.0521	
303	4.982	303	0.0521	
304	4.982	304	0.0522	
305	4.981	305	0.0522	
306	4.981	306	0.0521	
307	4.982	307	0.0521	
308	4.982	308	0.0522	
309	4.981	309	0.0522	
310	4.981	310	0.0519	
311	4.981	311	0.0519	
312	4.981	312	0.0522	
313	4.981	313	0.0522	
314	4.981	314	0.0542	
315	4.981	315	0.0542	
316	4.981	316	0.0558	
317	4.981	317	0.0558	
318	4.981	318	0.0554	
319	4.980	319	0.0554	
320	4.980	320	0.0555	
321	4.981	321	0.0555	
322	4.981	322	0.0554	
323	4.980	323	0.0554	
324	4.980	324	0.0556	
325	4.981	325	0.0556	
326	4.981	326	0.0556	
327	4.981	327	0.0556	
328	4.981	328	0.0557	
329	4.981	329	0.0557	
330	4.981	330	0.0556	
331	4.981	331	0.0556	
332	4.981	332	0.0552	
333	4.981	333	0.0552	
334	4.981	334	0.0521	
335	4.981	335	0.0521	
336	4.981	336	0.0519	
337	4.981	337	0.0519	
338	4.981	338	0.0521	
339	4.982	339	0.0521	
340	4.982	340	0.0521	
341	4.981	341	0.0521	
342	4.981	342	0.0522	
343	4.982	343	0.0522	
344	4.982	344	0.0522	
345	4.981	345	0.0522	
346	4.981	346	0.0522	
347	4.982	347	0.0522	
348	4.982	348	0.0523	
349	4.981	349	0.0523	
350	4.981	350	0.0521	
351	4.981	351	0.0521	
352	4.981	352	0.0560	
353	4.981	353	0.0560	
354	4.981	354	0.0556	
355	4.979	355	0.0556	
356	4.979	356	0.0557	
357	4.980	357	0.0557	
358	4.980	358	0.0554	
359	4.981	359	0.0554	
360	4.981	360	0.0554	
361	4.981	361	0.0554	
362	4.981	362	0.0552	
363	4.981	363	0.0552	
364	4.981	364	0.0554	
365	4.981	365	0.0554	
366	4.981	366	0.0555	
367	4.981	367	0.0555	
368	4.981	368	0.0555	
369	4.982	369	0.0555	
370	4.982	370	0.0523	
371	4.981	371	0.0523	
372	4.981	372	0.0520	
373	4.981	373	0.0520	
374	4.981	374	0.0521	
375	4.981	375	0.0521	
376	4.981	376	0.0518	
377	4.981	377	0.0518	
378	4.981	378	0.0520	
379	4.981	379	0.0520	
380	4.981	380	0.0518	
381	4.981	381	0.0518	
382	4.981	382	0.0521	
383	4.982	383	0.0521	
