Time,Voltage(V),Current(A),D+(V),D-(V)
15:13:17,5.075,0,0.73,0.34
15:13:18,5.075,0,0.75,0.35
15:13:19,5.075,0.0001,0.76,0.36
15:13:20,5.075,0.0005,0.75,0.35
15:13:21,5.053,0.0005,0.75,0.35
15:13:22,5.026,0.8626,0.7,0.32
15:13:23,5.026,0.8748,0.75,0.34
15:13:24,5.028,0.8738,0.75,0.36
15:13:25,5.031,0.8821,0.75,0.36
15:13:26,5.031,0.8575,0.72,0.33
15:13:27,5.04,0.8673,0.66,0.29
15:13:28,5.035,0.8673,0.75,0.36
15:13:29,5.042,0.8804,0.75,0.35
15:13:30,5.039,0.865,0.75,0.35
15:13:31,5.043,0.8833,0.68,0.3
15:13:32,5.042,0.8525,0.75,0.35
15:13:33,5.042,0.8636,0.75,0.36
15:13:34,5.041,0.8525,0.75,0.35
15:13:35,5.041,0.859,0.72,0.36
15:13:36,5.037,0.8502,0.74,0.36
15:13:37,5.043,0.8551,0.74,0.36
15:13:38,5.041,0.8551,0.74,0.37
15:13:39,5.044,0.8527,0.74,0.37
15:13:40,5.043,0.8582,0.75,0.35
15:13:41,5.045,0.8732,0.75,0.35
15:13:42,5.044,0.8511,0.74,0.35
15:13:43,5.043,0.859,0.71,0.32
15:13:44,5.043,0.8509,0.74,0.38
15:13:45,5.043,0.8559,0.74,0.39
15:13:46,5.038,0.8478,0.74,0.38
15:13:47,5.044,0.8525,0.72,0.35
15:13:48,5.042,0.8529,0.64,0.31
15:13:49,5.045,0.8529,0.74,0.36
15:13:50,5.044,0.8528,0.74,0.36
15:13:51,5.046,0.8719,0.74,0.38
15:13:52,5.045,0.85,0.68,0.31
15:13:53,5.046,0.8679,0.75,0.35
15:13:54,5.046,0.8484,0.75,0.36
15:13:55,5.044,0.8622,0.75,0.36
15:13:56,5.041,0.8462,0.75,0.35
15:13:57,5.044,0.8533,0.75,0.36
15:13:58,5.041,0.8448,0.74,0.35
15:13:59,5.046,0.8448,0.74,0.37
15:14:00,5.042,0.8513,0.74,0.38
15:14:01,5.047,0.8545,0.71,0.36
15:14:02,5.045,0.8546,0.74,0.36
15:14:03,5.047,0.8756,0.73,0.35
15:14:04,5.047,0.8474,0.74,0.37
15:14:05,5.044,0.8725,0.74,0.38
15:14:06,5.046,0.8456,0.74,0.39
15:14:07,5.046,0.8612,0.73,0.35
15:14:08,5.04,0.8423,0.72,0.34
15:14:09,5.047,0.8423,0.74,0.36
15:14:10,5.041,0.8553,0.74,0.38
15:14:11,5.047,0.8419,0.74,0.38
15:14:12,5.044,0.8577,0.74,0.37
15:14:13,5.048,0.8788,0.69,0.32
15:14:14,5.047,0.8442,0.75,0.36
15:14:15,5.047,0.8736,0.75,0.36
15:14:16,5.047,0.8438,0.76,0.36
15:14:17,5.043,0.8644,0.75,0.36
15:14:18,5.04,0.8405,0.65,0.3
15:14:19,5.048,0.8569,0.74,0.35
15:14:20,5.04,0.8569,0.74,0.36
15:14:21,5.048,0.8409,0.74,0.37
15:14:22,5.044,0.8632,0.66,0.3
15:14:23,5.049,0.8575,0.74,0.38
15:14:24,5.049,0.8547,0.74,0.38
15:14:25,5.042,0.8788,0.74,0.36
15:14:26,5.047,0.8438,0.72,0.36
15:14:27,5.043,0.8723,0.74,0.38
15:14:28,5.042,0.8399,0.74,0.36
15:14:29,5.045,0.8642,0.73,0.34
15:14:30,5.041,0.8381,0.69,0.31
15:14:31,5.048,0.8381,0.75,0.36
15:14:32,5.041,0.86,0.75,0.36
15:14:33,5.049,0.861,0.74,0.35
15:14:34,5.042,0.8575,0.7,0.32
15:14:35,5.042,0.8788,0.74,0.35
15:14:36,5.049,0.8555,0.74,0.38
15:14:37,5.041,0.8762,0.74,0.37
15:14:38,5.046,0.844,0.72,0.33
15:14:39,5.043,0.8758,0.66,0.3
15:14:40,5.042,0.8758,0.74,0.38
15:14:41,5.044,0.8421,0.74,0.36
15:14:42,5.041,0.8742,0.74,0.36
15:14:43,5.048,0.8496,0.75,0.37
15:14:44,5.042,0.8626,0.74,0.35
15:14:45,5.05,0.8778,0.74,0.37
15:14:46,5.05,0.8513,0.74,0.36
15:14:47,5.043,0.8774,0.73,0.35
15:14:48,5.047,0.8492,0.74,0.35
15:14:49,5.042,0.8742,0.73,0.35
15:14:50,5.042,0.8373,0.73,0.36
15:14:51,5.043,0.8373,0.74,0.37
15:14:52,5.042,0.8731,0.71,0.37
15:14:53,5.047,0.849,0.74,0.37
15:14:54,5.042,0.8697,0.73,0.36
15:14:55,5.047,0.8628,0.71,0.33
15:14:56,5.047,0.8697,0.74,0.36
15:14:57,5.042,0.8746,0.74,0.37
15:14:58,5.045,0.8642,0.74,0.37
15:14:59,5.041,0.8717,0.72,0.34
15:15:00,5.045,0.8652,0.67,0.31
15:15:01,5.042,0.8652,0.74,0.37
15:15:02,5.042,0.8703,0.74,0.37
15:15:03,5.043,0.8598,0.74,0.37
15:15:04,5.042,0.8675,0.74,0.37
15:15:05,5.045,0.8659,0.74,0.37
15:15:06,5.042,0.8673,0.74,0.37
15:15:07,5.042,0.8729,0.74,0.37
15:15:08,5.043,0.8654,0.74,0.39
15:15:09,5.041,0.8713,0.74,0.36
15:15:10,5.042,0.863,0.74,0.35
15:15:11,5.042,0.8691,0.74,0.35
15:15:12,5.041,0.8691,0.75,0.36
15:15:13,5.042,0.8541,0.75,0.35
15:15:14,5.041,0.8669,0.76,0.36
15:15:15,5.043,0.8602,0.75,0.35
15:15:16,5.042,0.8659,0.73,0.34
15:15:17,5.042,0.8673,0.75,0.36
15:15:18,5.044,0.8655,0.75,0.36
15:15:19,5.041,0.8707,0.75,0.36
15:15:20,5.043,0.8626,0.75,0.36
15:15:21,5.042,0.8677,0.75,0.36
15:15:22,5.041,0.8596,0.75,0.36
15:15:23,5.042,0.865,0.75,0.35
15:15:24,5.042,0.8673,0.73,0.33
15:15:25,5.044,0.8673,0.74,0.36
15:15:26,5.042,0.864,0.62,0.28
15:15:27,5.044,0.8671,0.74,0.36
15:15:28,5.044,0.8646,0.74,0.37
15:15:29,5.042,0.8705,0.74,0.38
15:15:30,5.043,0.8618,0.74,0.37
15:15:31,5.042,0.8673,0.75,0.35
15:15:32,5.044,0.8608,0.74,0.35
15:15:33,5.043,0.8608,0.75,0.35
15:15:34,5.042,0.8665,0.75,0.36
15:15:35,5.044,0.858,0.75,0.36
15:15:36,5.043,0.863,0.76,0.36
15:15:37,5.045,0.8654,0.73,0.34
15:15:38,5.043,0.864,0.66,0.31
15:15:39,5.043,0.8697,0.74,0.35
15:15:40,5.045,0.8624,0.74,0.37
15:15:41,5.042,0.8681,0.74,0.37
15:15:42,5.043,0.8602,0.7,0.33
15:15:43,5.044,0.8665,0.75,0.36
15:15:44,5.043,0.8665,0.75,0.36
15:15:45,5.044,0.8579,0.75,0.36
15:15:46,5.043,0.8648,0.75,0.35
15:15:47,5.045,0.8582,0.76,0.36
15:15:48,5.043,0.8624,0.75,0.35
15:15:49,5.045,0.8691,0.73,0.35
15:15:50,5.045,0.8618,0.74,0.36
15:15:51,5.044,0.8691,0.72,0.37
15:15:52,5.044,0.8608,0.74,0.38
15:15:53,5.044,0.8659,0.73,0.35
15:15:54,5.043,0.8579,0.72,0.34
15:15:55,5.044,0.8579,0.74,0.37
15:15:56,5.043,0.865,0.74,0.37
15:15:57,5.045,0.8567,0.74,0.36
15:15:58,5.044,0.862,0.74,0.36
15:15:59,5.046,0.8681,0.68,0.32
15:16:00,5.044,0.8616,0.74,0.35
15:16:01,5.044,0.8689,0.74,0.38
15:16:02,5.046,0.8602,0.74,0.37
15:16:03,5.044,0.8659,0.73,0.37
15:16:04,5.042,0.8577,0.61,0.29
15:16:05,5.045,0.8648,0.74,0.36
15:16:06,5.043,0.8648,0.74,0.38
15:16:07,5.045,0.8569,0.74,0.37
15:16:08,5.044,0.8626,0.74,0.38
15:16:09,5.046,0.8648,0.74,0.36
15:16:10,5.044,0.8626,0.74,0.35
15:16:11,5.044,0.8689,0.75,0.36
15:16:12,5.046,0.8614,0.75,0.35
15:16:13,5.044,0.8675,0.75,0.36
15:16:14,5.044,0.859,0.75,0.36
15:16:15,5.045,0.8648,0.74,0.34
15:16:16,5.044,0.8575,0.67,0.32
15:16:17,5.046,0.8575,0.7,0.36
15:16:18,5.044,0.8634,0.74,0.37
15:16:19,5.046,0.8582,0.74,0.38
15:16:20,5.045,0.8616,0.7,0.33
15:16:21,5.047,0.8687,0.75,0.35
15:16:22,5.047,0.8612,0.75,0.36
15:16:23,5.045,0.8687,0.74,0.37
15:16:24,5.046,0.8604,0.74,0.35
15:16:25,5.044,0.8657,0.65,0.3
15:16:26,5.044,0.8575,0.75,0.35
15:16:27,5.046,0.8575,0.74,0.37
15:16:28,5.044,0.8648,0.75,0.36
15:16:29,5.046,0.8563,0.75,0.36
15:16:30,5.045,0.8618,0.75,0.36
15:16:31,5.047,0.8663,0.74,0.35
15:16:32,5.047,0.863,0.75,0.36
15:16:33,5.045,0.8689,0.75,0.36
15:16:34,5.046,0.8602,0.75,0.36
15:16:35,5.045,0.8661,0.75,0.36
15:16:36,5.044,0.8579,0.74,0.35
15:16:37,5.046,0.8652,0.68,0.32
15:16:38,5.045,0.8652,0.74,0.35
15:16:39,5.046,0.8571,0.74,0.43
15:16:40,5.045,0.8624,0.74,0.37
15:16:41,5.047,0.8652,0.71,0.34
15:16:42,5.045,0.8626,0.63,0.3
15:16:43,5.045,0.8687,0.74,0.37
15:16:44,5.047,0.8614,0.74,0.37
15:16:45,5.044,0.8671,0.74,0.35
15:16:46,5.046,0.8588,0.74,0.37
15:16:47,5.045,0.8648,0.74,0.37
15:16:48,5.045,0.8577,0.73,0.36
15:16:49,5.047,0.8577,0.74,0.36
15:16:50,5.045,0.8626,0.73,0.35
15:16:51,5.047,0.858,0.74,0.37
15:16:52,5.046,0.8616,0.74,0.37
15:16:53,5.047,0.8675,0.73,0.35
15:16:54,5.046,0.8602,0.69,0.32
15:16:55,5.046,0.8669,0.73,0.36
15:16:56,5.046,0.8598,0.75,0.36
15:16:57,5.045,0.8655,0.75,0.35
15:16:58,5.044,0.8573,0.71,0.33
15:16:59,5.047,0.8628,0.75,0.36
15:17:00,5.045,0.8628,0.75,0.36
15:17:01,5.046,0.8588,0.75,0.36
15:17:02,5.045,0.8614,0.74,0.35
15:17:03,5.048,0.8675,0.65,0.3
15:17:04,5.046,0.861,0.75,0.35
15:17:05,5.046,0.8685,0.75,0.36
15:17:06,5.047,0.8602,0.75,0.36
15:17:07,5.045,0.8657,0.75,0.36
15:17:08,5.044,0.8553,0.75,0.36
15:17:09,5.046,0.865,0.73,0.35
15:17:10,5.045,0.865,0.74,0.37
15:17:11,5.047,0.8571,0.74,0.37
15:17:12,5.046,0.8624,0.74,0.37
15:17:13,5.047,0.8646,0.74,0.37
15:17:14,5.046,0.863,0.73,0.35
15:17:15,5.046,0.8689,0.73,0.37
15:17:16,5.048,0.8614,0.74,0.36
15:17:17,5.045,0.8673,0.74,0.36
15:17:18,5.046,0.8594,0.74,0.37
15:17:19,5.046,0.8652,0.71,0.34
15:17:20,5.045,0.8557,0.65,0.3
15:17:21,5.047,0.8557,0.74,0.37
15:17:22,5.046,0.8632,0.74,0.37
15:17:23,5.047,0.8582,0.74,0.36
15:17:24,5.046,0.8618,0.67,0.31
15:17:25,5.048,0.8693,0.74,0.36
15:17:26,5.048,0.8616,0.74,0.37
15:17:27,5.046,0.8691,0.74,0.37
15:17:28,5.047,0.8608,0.72,0.36
15:17:29,5.046,0.8661,0.74,0.36
15:17:30,5.045,0.858,0.74,0.35
15:17:31,5.047,0.858,0.74,0.38
15:17:32,5.045,0.8648,0.74,0.36
15:17:33,5.047,0.8563,0.74,0.37
15:17:34,5.046,0.8618,0.74,0.37
15:17:35,5.048,0.8665,0.74,0.35
15:17:36,5.048,0.8634,0.76,0.36
15:17:37,5.046,0.8691,0.75,0.35
15:17:38,5.047,0.8606,0.75,0.36
15:17:39,5.046,0.8663,0.75,0.35
15:17:40,5.047,0.8596,0.71,0.34
15:17:41,5.047,0.8596,0.72,0.36
15:17:42,5.046,0.8659,0.74,0.37
15:17:43,5.047,0.8549,0.74,0.36
15:17:44,5.046,0.8628,0.74,0.36
15:17:45,5.049,0.8652,0.68,0.32
15:17:46,5.046,0.8638,0.74,0.36
15:17:47,5.046,0.8697,0.74,0.36
15:17:48,5.048,0.8622,0.73,0.36
15:17:49,5.046,0.8681,0.74,0.35
15:17:50,5.046,0.8557,0.61,0.27
15:17:51,5.047,0.8669,0.73,0.35
15:17:52,5.046,0.8669,0.74,0.37
15:17:53,5.047,0.8539,0.74,0.36
15:17:54,5.046,0.8655,0.7,0.35
15:17:55,5.048,0.8569,0.73,0.36
15:17:56,5.046,0.864,0.73,0.35
15:17:57,5.046,0.8596,0.74,0.37
15:17:58,5.049,0.8642,0.74,0.37
15:17:59,5.046,0.8701,0.74,0.37
15:18:00,5.048,0.8614,0.74,0.36
15:18:01,5.046,0.8669,0.71,0.34
15:18:02,5.046,0.8567,0.67,0.3
15:18:03,5.047,0.8567,0.76,0.36
15:18:04,5.046,0.8663,0.75,0.36
15:18:05,5.048,0.8553,0.75,0.36
15:18:06,5.047,0.8628,0.71,0.33
15:18:07,5.049,0.8644,0.73,0.36
15:18:08,5.049,0.8644,0.74,0.36
15:18:09,5.046,0.8701,0.74,0.36
15:18:10,5.048,0.8616,0.74,0.37
15:18:11,5.046,0.8673,0.65,0.29
15:18:12,5.051,0.8565,0.73,0.36
15:18:13,5.047,0.8565,0.74,0.37
15:18:14,5.046,0.8667,0.75,0.36
15:18:15,5.048,0.8539,0.76,0.35
15:18:16,5.047,0.8638,0.74,0.36
