Time,Voltage(V),Current(A),D+(V),D-(V)
20:03:54,5.027,0,2.01,2.67
20:03:55,5.027,0,2.01,2.67
20:03:56,5.03,0,2.01,2.67
20:03:57,5.03,0,2.01,2.67
20:03:58,5.03,0,2.01,2.67
20:03:59,5.03,0.0003,2.01,2.67
20:04:00,4.956,0.0004,3.25,2.63
20:04:01,4.937,0.2325,3.25,2.63
20:04:02,4.937,0.2324,3.26,2.63
20:04:03,4.937,0.2311,3.26,2.63
20:04:04,4.937,0.231,3.26,2.63
20:04:05,4.936,0.2313,3.26,2.63
20:04:06,4.934,0.2315,3.26,2.63
20:04:07,4.938,0.2312,3.26,2.63
20:04:08,4.937,0.2312,3.26,2.63
20:04:09,4.937,0.2314,3.26,2.63
20:04:10,4.937,0.2313,3.26,2.63
20:04:11,4.938,0.2316,3.26,2.63
20:04:12,4.938,0.2316,3.26,2.63
20:04:13,4.937,0.2313,3.26,2.63
20:04:14,4.937,0.2314,3.26,2.63
20:04:15,4.936,0.231,3.26,2.63
20:04:16,4.935,0.2308,3.26,2.63
20:04:17,4.935,0.2308,3.26,2.63
20:04:18,4.937,0.2319,3.26,2.63
20:04:19,4.938,0.2319,3.26,2.63
20:04:20,4.938,0.2315,3.26,2.63
20:04:21,4.937,0.2318,3.26,2.63
20:04:22,4.937,0.2319,3.26,2.63
20:04:23,4.937,0.232,3.26,2.63
20:04:24,4.937,0.2322,3.26,2.63
20:04:25,4.938,0.2311,3.26,2.63
20:04:26,4.938,0.2311,3.26,2.63
20:04:27,4.937,0.2315,3.26,2.63
20:04:28,4.935,0.2315,3.26,2.63
20:04:29,4.935,0.2314,3.26,2.63
20:04:30,4.935,0.2313,3.26,2.63
20:04:31,4.938,0.2311,3.26,2.63
20:04:32,4.938,0.2311,3.26,2.63
20:04:33,4.938,0.2321,3.26,2.63
20:04:34,4.938,0.2318,3.26,2.63
20:04:35,4.938,0.2307,3.26,2.63
20:04:36,4.938,0.2308,3.26,2.63
20:04:37,4.937,0.2311,3.26,2.63
20:04:38,4.937,0.2312,3.26,2.63
20:04:39,4.937,0.2311,3.26,2.63
20:04:40,4.935,0.2312,3.26,2.63
20:04:41,4.934,0.2313,3.26,2.63
20:04:42,4.937,0.2315,3.26,2.63
20:04:43,4.938,0.2315,3.26,2.63
20:04:44,4.938,0.2313,3.26,2.63
20:04:45,4.937,0.2323,3.26,2.63
20:04:46,4.938,0.2325,3.26,2.63
20:04:47,4.938,0.2313,3.25,2.63
20:04:48,4.938,0.2313,3.25,2.63
20:04:49,4.937,0.2316,3.26,2.63
20:04:50,4.935,0.2316,3.26,2.63
20:04:51,4.935,0.2315,3.25,2.63
20:04:52,4.935,0.2314,3.25,2.63
20:04:53,4.935,0.2313,3.25,2.63
20:04:54,4.938,0.2313,3.26,2.63
20:04:55,4.938,0.2313,3.26,2.63
20:04:56,4.938,0.2317,3.26,2.63
20:04:57,4.938,0.2316,3.26,2.63
20:04:58,4.938,0.2314,3.26,2.63
20:04:59,4.938,0.2315,3.26,2.63
20:05:00,4.938,0.2314,3.26,2.63
20:05:01,4.936,0.2312,3.26,2.63
20:05:02,4.935,0.2312,3.26,2.63
20:05:03,4.937,0.2313,3.26,2.63
20:05:04,4.938,0.2314,3.26,2.63
20:05:05,4.938,0.2314,3.26,2.63
20:05:06,4.938,0.2312,3.26,2.63
20:05:07,4.938,0.2325,3.26,2.63
20:05:08,4.938,0.2324,3.26,2.63
20:05:09,4.937,0.2324,3.26,2.63
20:05:10,4.938,0.2311,3.26,2.63
20:05:11,4.938,0.2312,3.26,2.63
20:05:12,4.936,0.2313,3.26,2.63
20:05:13,4.935,0.2313,3.26,2.63
20:05:14,4.935,0.2313,3.26,2.63
20:05:15,4.935,0.2312,3.26,2.63
20:05:16,4.938,0.2312,3.25,2.63
20:05:17,4.937,0.2312,3.25,2.63
20:05:18,4.938,0.2315,3.25,2.63
20:05:19,4.938,0.2314,3.25,2.63
20:05:20,4.938,0.2314,3.25,2.63
20:05:21,4.938,0.2314,3.25,2.63
20:05:22,4.938,0.2315,3.25,2.63
20:05:23,4.938,0.2318,3.25,2.63
20:05:24,4.938,0.2315,3.25,2.63
20:05:25,4.938,0.2315,3.25,2.63
20:05:26,4.935,0.2317,3.25,2.63
20:05:27,4.935,0.2318,3.25,2.63
20:05:28,4.938,0.2315,3.25,2.63
20:05:29,4.938,0.2315,3.25,2.63
20:05:30,4.938,0.2314,3.25,2.63
20:05:31,4.937,0.2318,3.25,2.63
20:05:32,4.938,0.2319,3.25,2.63
20:05:33,4.938,0.2309,3.25,2.63
20:05:34,4.938,0.2313,3.25,2.63
20:05:35,4.937,0.2314,3.25,2.63
20:05:36,4.935,0.2313,3.25,2.63
20:05:37,4.935,0.2312,3.25,2.63
20:05:38,4.935,0.2311,3.25,2.63
20:05:39,4.938,0.2313,3.25,2.63
20:05:40,4.938,0.2313,3.25,2.63
20:05:41,4.938,0.2316,3.25,2.63
20:05:42,4.938,0.2316,3.25,2.63
20:05:43,4.938,0.2316,3.25,2.63
20:05:44,4.938,0.2317,3.25,2.63
20:05:45,4.938,0.2314,3.25,2.63
20:05:46,4.937,0.2313,3.25,2.63
20:05:47,4.935,0.2314,3.25,2.63
20:05:48,4.935,0.2315,3.25,2.63
20:05:49,4.935,0.2316,3.25,2.63
20:05:50,4.935,0.2317,3.25,2.63
20:05:51,4.938,0.2314,3.25,2.63
20:05:52,4.938,0.2314,3.25,2.63
20:05:53,4.938,0.2313,3.25,2.63
20:05:54,4.938,0.2323,3.25,2.63
20:05:55,4.938,0.2323,3.25,2.63
20:05:56,4.938,0.2309,3.25,2.63
20:05:57,4.938,0.2319,3.25,2.63
20:05:58,4.937,0.2316,3.25,2.63
20:05:59,4.935,0.2314,3.25,2.63
20:06:00,4.935,0.2312,3.25,2.63
20:06:01,4.935,0.231,3.25,2.63
20:06:02,4.938,0.2314,3.25,2.63
20:06:03,4.938,0.2314,3.25,2.63
20:06:04,4.938,0.2316,3.25,2.63
20:06:05,4.938,0.2317,3.25,2.63
20:06:06,4.938,0.2319,3.25,2.63
20:06:07,4.938,0.2321,3.25,2.63
20:06:08,4.938,0.232,3.25,2.63
20:06:09,4.938,0.2309,3.25,2.63
20:06:10,4.937,0.2313,3.25,2.63
20:06:11,4.935,0.2316,3.25,2.63
20:06:12,4.935,0.2318,3.25,2.63
20:06:13,4.935,0.2318,3.25,2.63
20:06:14,4.938,0.2307,3.26,2.63
20:06:15,4.938,0.2307,3.26,2.63
20:06:16,4.938,0.2317,3.26,2.63
20:06:17,4.938,0.2319,3.26,2.63
20:06:18,4.938,0.2318,3.26,2.63
20:06:19,4.938,0.2316,3.26,2.63
20:06:20,4.938,0.2313,3.26,2.63
20:06:21,4.938,0.2316,3.26,2.63
20:06:22,4.936,0.2312,3.26,2.63
20:06:23,4.936,0.231,3.26,2.63
20:06:24,4.936,0.2309,3.26,2.63
20:06:25,4.935,0.2309,3.26,2.63
20:06:26,4.938,0.2321,3.26,2.63
20:06:27,4.938,0.2321,3.25,2.63
20:06:28,4.938,0.2317,3.25,2.63
20:06:29,4.938,0.232,3.26,2.63
20:06:30,4.938,0.2319,3.26,2.63
20:06:31,4.938,0.2322,3.26,2.63
20:06:32,4.937,0.2319,3.26,2.63
20:06:33,4.937,0.2315,3.26,2.63
20:06:34,4.937,0.2318,3.26,2.63
20:06:35,4.936,0.2319,3.26,2.63
20:06:36,4.935,0.2319,3.26,2.63
20:06:37,4.935,0.2318,3.26,2.63
20:06:38,4.938,0.2313,3.25,2.63
20:06:39,4.938,0.2313,3.25,2.63
20:06:40,4.938,0.2317,3.25,2.63
20:06:41,4.938,0.2318,3.25,2.63
20:06:42,4.938,0.2318,3.25,2.63
20:06:43,4.938,0.2317,3.25,2.63
20:06:44,4.938,0.2316,3.26,2.63
20:06:45,4.938,0.2316,3.26,2.63
20:06:46,4.938,0.2312,3.26,2.63
20:06:47,4.935,0.231,3.26,2.63
20:06:48,4.935,0.231,3.26,2.63
20:06:49,4.938,0.2311,3.26,2.63
20:06:50,4.938,0.2315,3.26,2.63
20:06:51,4.938,0.2315,3.26,2.63
20:06:52,4.938,0.2313,3.26,2.63
20:06:53,4.938,0.2323,3.26,2.63
20:06:54,4.938,0.2321,3.26,2.63
20:06:55,4.938,0.2317,3.26,2.63
20:06:56,4.938,0.2314,3.26,2.63
20:06:57,4.937,0.2316,3.26,2.63
20:06:58,4.935,0.2316,3.26,2.63
20:06:59,4.935,0.2315,3.26,2.63
20:07:00,4.935,0.2316,3.26,2.63
20:07:01,4.938,0.2313,3.26,2.63
20:07:02,4.938,0.2313,3.26,2.63
20:07:03,4.938,0.2323,3.26,2.63
20:07:04,4.938,0.2321,3.26,2.63
20:07:05,4.938,0.232,3.26,2.63
20:07:06,4.938,0.2317,3.26,2.63
20:07:07,4.938,0.2317,3.26,2.63
20:07:08,4.938,0.2317,3.26,2.63
20:07:09,4.937,0.2314,3.26,2.63
20:07:10,4.935,0.2312,3.26,2.63
20:07:11,4.936,0.2312,3.26,2.63
20:07:12,4.935,0.2313,3.25,2.63
20:07:13,4.938,0.2315,3.25,2.63
20:07:14,4.938,0.2315,3.26,2.63
20:07:15,4.938,0.2313,3.25,2.63
20:07:16,4.938,0.2325,3.25,2.63
20:07:17,4.938,0.2324,3.25,2.63
20:07:18,4.938,0.2313,3.25,2.63
