Time,Voltage(V),Current(A),D+(V),D-(V),Date
13:17:48,4.538,0.8417,0.95,0.49,6/10/2020
13:17:49,5.065,0.8051,0.72,0.35,6/10/2020
13:17:50,5.067,0.7783,0.72,0.36,6/10/2020
13:17:51,5.068,0.7782,0.73,0.37,6/10/2020
13:17:52,5.071,0.7779,0.73,0.35,6/10/2020
13:17:53,5.069,0.7779,0.73,0.35,6/10/2020
13:17:54,5.073,0.7775,0.72,0.36,6/10/2020
13:17:55,5.072,0.7775,0.72,0.36,6/10/2020
13:17:56,5.075,0.7772,0.71,0.35,6/10/2020
13:17:57,5.075,0.777,0.72,0.36,6/10/2020
13:17:58,5.063,0.7769,0.7,0.36,6/10/2020
13:17:59,5.056,0.7769,0.72,0.36,6/10/2020
13:18:00,5.076,0.777,0.72,0.35,6/10/2020
13:18:01,5.073,0.777,0.74,0.36,6/10/2020
13:18:02,5.074,0.7771,0.74,0.36,6/10/2020
13:18:03,5.075,0.7775,0.73,0.35,6/10/2020
13:18:04,5.077,0.7773,0.73,0.35,6/10/2020
13:18:05,5.077,0.7771,0.75,0.35,6/10/2020
13:18:06,5.071,0.7771,0.74,0.35,6/10/2020
13:18:07,5.062,0.7771,0.59,0.3,6/10/2020
13:18:08,5.078,0.7771,0.72,0.36,6/10/2020
13:18:09,5.08,0.7771,0.73,0.37,6/10/2020
13:18:10,5.079,0.7771,0.68,0.35,6/10/2020
13:18:11,5.078,0.777,0.61,0.31,6/10/2020
13:18:12,5.078,0.7769,0.74,0.34,6/10/2020
13:18:13,5.069,0.7769,0.75,0.35,6/10/2020
13:18:14,5.041,0.7769,0.7,0.35,6/10/2020
13:18:15,5.082,0.777,0.64,0.34,6/10/2020
13:18:16,5.081,0.777,0.73,0.37,6/10/2020
13:18:17,5.081,0.7771,0.72,0.36,6/10/2020
13:18:18,5.082,0.777,0.71,0.35,6/10/2020
13:18:19,5.082,0.7769,0.73,0.36,6/10/2020
13:18:20,5.068,0.7769,0.73,0.38,6/10/2020
13:18:21,5.046,0.7769,0.72,0.36,6/10/2020
13:18:22,5.084,0.7769,0.72,0.35,6/10/2020
13:18:23,5.084,0.7769,0.74,0.36,6/10/2020
13:18:24,5.083,0.777,0.73,0.36,6/10/2020
13:18:25,5.085,0.7774,0.56,0.27,6/10/2020
13:18:26,5.085,0.777,0.73,0.36,6/10/2020
13:18:27,5.085,0.7768,0.74,0.36,6/10/2020
13:18:28,5.074,0.7767,0.68,0.34,6/10/2020
13:18:29,5.089,0.7767,0.59,0.32,6/10/2020
13:18:30,5.089,0.7767,0.73,0.37,6/10/2020
13:18:31,5.089,0.7769,0.71,0.35,6/10/2020
13:18:32,5.084,0.7768,0.69,0.34,6/10/2020
13:18:33,5.084,0.7767,0.75,0.36,6/10/2020
13:18:34,5.073,0.7767,0.75,0.36,6/10/2020
13:18:35,5.05,0.7767,0.73,0.35,6/10/2020
13:18:36,5.089,0.7767,0.71,0.35,6/10/2020
13:18:37,5.09,0.7767,0.73,0.36,6/10/2020
13:18:38,5.089,0.7769,0.61,0.31,6/10/2020
13:18:39,5.092,0.7768,0.72,0.36,6/10/2020
13:18:40,5.092,0.7767,0.73,0.37,6/10/2020
13:18:41,5.077,0.7767,0.73,0.36,6/10/2020
13:18:42,5.057,0.7767,0.64,0.33,6/10/2020
13:18:43,5.091,0.7768,0.72,0.36,6/10/2020
13:18:44,5.09,0.7768,0.73,0.37,6/10/2020
13:18:45,5.094,0.7767,0.73,0.37,6/10/2020
13:18:46,5.092,0.7777,0.66,0.34,6/10/2020
13:18:47,5.093,0.7767,0.57,0.3,6/10/2020
13:18:48,5.093,0.7767,0.73,0.37,6/10/2020
13:18:49,5.078,0.7767,0.71,0.36,6/10/2020
13:18:50,5.092,0.7767,0.67,0.33,6/10/2020
13:18:51,5.094,0.7767,0.73,0.36,6/10/2020
13:18:52,5.094,0.7768,0.73,0.36,6/10/2020
13:18:53,5.093,0.7772,0.72,0.36,6/10/2020
13:18:54,5.092,0.7769,0.7,0.35,6/10/2020
13:18:55,5.092,0.7768,0.74,0.36,6/10/2020
13:18:56,5.076,0.7767,0.6,0.31,6/10/2020
13:18:57,5.093,0.7767,0.73,0.35,6/10/2020
13:18:58,5.094,0.7767,0.71,0.35,6/10/2020
13:18:59,5.094,0.7767,0.71,0.35,6/10/2020
13:19:00,5.085,0.7767,0.74,0.36,6/10/2020
13:19:01,5.092,0.7771,0.73,0.36,6/10/2020
