Time,Voltage(V),Current(A),D+(V),D-(V),Date
10:06:57,7.046,0,0.73,0.33,2020-06-12
10:06:58,7.048,0,0.74,0.35,2020-06-12
10:06:59,7.053,0,0.74,0.35,2020-06-12
10:07:00,7.058,0.0027,0.69,0.32,2020-06-12
10:07:01,4.808,0.0631,0.58,0.3,2020-06-12
10:07:02,4.639,0.0631,0.74,0.38,2020-06-12
10:07:03,4.634,0.0621,0.76,0.39,2020-06-12
10:07:04,4.645,0.0588,0.74,0.35,2020-06-12
10:07:05,4.645,0.0598,0.62,0.29,2020-06-12
10:07:06,4.627,0.0679,0.73,0.33,2020-06-12
10:07:07,4.627,0.069,0.99,0.5,2020-06-12
10:07:08,4.607,0.07,0.77,0.39,2020-06-12
10:07:09,4.63,0.071,0.73,0.38,2020-06-12
10:07:10,4.637,0.0722,0.73,0.33,2020-06-12
10:07:11,4.633,0.0734,0.72,0.35,2020-06-12
10:07:12,4.639,0.0734,1,0.47,2020-06-12
10:07:13,4.639,0.0716,0.86,0.43,2020-06-12
10:07:14,4.638,0.0681,0.75,0.34,2020-06-12
10:07:15,4.697,0.0698,0.72,0.33,2020-06-12
10:07:16,4.637,0.0775,0.71,0.34,2020-06-12
10:07:17,4.637,0.0789,0.96,0.42,2020-06-12
10:07:18,4.635,0.0803,0.76,0.39,2020-06-12
10:07:19,4.652,0.0813,0.74,0.36,2020-06-12
10:07:20,4.634,0.0817,0.72,0.34,2020-06-12
10:07:21,4.644,0.0835,0.65,0.32,2020-06-12
10:07:22,4.636,0.0835,0.73,0.39,2020-06-12
10:07:23,4.637,0.0835,0.75,0.38,2020-06-12
10:07:24,4.639,0.0785,0.83,0.43,2020-06-12
10:07:25,4.675,0.0805,0.7,0.33,2020-06-12
10:07:26,4.636,0.0888,0.63,0.31,2020-06-12
10:07:27,4.636,0.09,0.74,0.42,2020-06-12
10:07:28,4.679,0.0913,0.75,0.4,2020-06-12
10:07:29,4.647,0.0927,0.75,0.37,2020-06-12
10:07:30,4.642,0.0939,0.64,0.32,2020-06-12
10:07:31,4.638,0.0949,0.73,0.34,2020-06-12
10:07:32,4.639,0.0949,0.76,0.4,2020-06-12
10:07:33,4.642,0.0939,0.75,0.37,2020-06-12
10:07:34,4.643,0.0902,0.71,0.36,2020-06-12
10:07:35,4.646,0.0925,0.59,0.3,2020-06-12
10:07:36,4.638,0.1008,0.73,0.35,2020-06-12
10:07:37,4.638,0.102,0.76,0.38,2020-06-12
10:07:38,4.628,0.1036,0.75,0.35,2020-06-12
10:07:39,4.635,0.1046,0.74,0.36,2020-06-12
10:07:40,4.641,0.106,0.73,0.35,2020-06-12
10:07:41,4.639,0.1071,0.72,0.34,2020-06-12
10:07:42,4.649,0.1071,0.76,0.36,2020-06-12
10:07:43,4.642,0.1081,0.76,0.34,2020-06-12
10:07:44,4.641,0.103,0.74,0.35,2020-06-12
10:07:45,4.637,0.1119,0.74,0.34,2020-06-12
10:07:46,4.637,0.1135,0.98,0.45,2020-06-12
10:07:47,4.637,0.1152,0.89,0.46,2020-06-12
10:07:48,4.64,0.1166,0.72,0.35,2020-06-12
10:07:49,4.643,0.1178,0.77,0.36,2020-06-12
10:07:50,4.679,0.1194,0.72,0.34,2020-06-12
10:07:51,4.64,0.1194,0.76,0.36,2020-06-12
10:07:52,4.666,0.1182,0.76,0.36,2020-06-12
10:07:53,4.642,0.1146,0.75,0.36,2020-06-12
10:07:54,4.642,0.1158,0.72,0.35,2020-06-12
10:07:55,4.646,0.1255,0.68,0.33,2020-06-12
10:07:56,4.646,0.1267,0.76,0.35,2020-06-12
10:07:57,4.627,0.1285,0.75,0.35,2020-06-12
10:07:58,4.647,0.1298,0.75,0.35,2020-06-12
10:07:59,4.656,0.131,0.75,0.35,2020-06-12
10:08:00,4.641,0.1326,0.65,0.31,2020-06-12
10:08:01,4.641,0.1344,0.73,0.36,2020-06-12
10:08:02,4.659,0.1344,0.74,0.36,2020-06-12
10:08:03,4.648,0.1334,0.74,0.36,2020-06-12
10:08:04,4.649,0.1298,0.74,0.35,2020-06-12
10:08:05,4.646,0.1316,0.74,0.36,2020-06-12
10:08:06,4.649,0.1336,0.73,0.35,2020-06-12
10:08:07,4.644,0.1425,0.71,0.34,2020-06-12
10:08:08,4.644,0.1439,0.75,0.34,2020-06-12
10:08:09,4.634,0.1456,0.62,0.29,2020-06-12
10:08:10,4.645,0.1476,0.74,0.35,2020-06-12
10:08:11,4.648,0.1476,0.99,0.5,2020-06-12
10:08:12,4.646,0.1478,0.69,0.33,2020-06-12
10:08:13,4.556,0.1312,0.74,0.37,2020-06-12
10:08:14,4.691,0.0925,0.74,0.34,2020-06-12
10:08:15,5.189,0.0501,0.73,0.34,2020-06-12
10:08:16,5.189,0.167,0.75,0.36,2020-06-12
10:08:17,4.643,0.1695,0.76,0.36,2020-06-12
10:08:18,4.644,0.1699,0.96,0.49,2020-06-12
10:08:19,4.652,0.1723,0.73,0.33,2020-06-12
10:08:20,4.646,0.1743,0.71,0.34,2020-06-12
10:08:21,4.653,0.1758,0.66,0.32,2020-06-12
10:08:22,4.648,0.1758,0.76,0.36,2020-06-12
10:08:23,4.648,0.1756,0.76,0.36,2020-06-12
10:08:24,4.662,0.1737,0.73,0.34,2020-06-12
10:08:25,4.653,0.1829,0.68,0.33,2020-06-12
10:08:26,4.653,0.1853,0.73,0.36,2020-06-12
10:08:27,4.656,0.1875,0.75,0.36,2020-06-12
10:08:28,4.656,0.1897,0.75,0.35,2020-06-12
10:08:29,4.657,0.1914,0.75,0.35,2020-06-12
10:08:30,4.655,0.1932,0.64,0.31,2020-06-12
10:08:31,4.648,0.1954,0.74,0.35,2020-06-12
10:08:32,4.65,0.1954,0.74,0.36,2020-06-12
10:08:33,4.653,0.1956,0.73,0.36,2020-06-12
10:08:34,4.652,0.1926,0.65,0.31,2020-06-12
10:08:35,4.651,0.2019,0.74,0.36,2020-06-12
10:08:36,4.651,0.2039,0.75,0.36,2020-06-12
10:08:37,4.639,0.2064,0.75,0.36,2020-06-12
10:08:38,4.65,0.2086,0.76,0.36,2020-06-12
10:08:39,4.653,0.2108,0.71,0.35,2020-06-12
10:08:40,4.644,0.2131,0.74,0.34,2020-06-12
10:08:41,4.654,0.2151,0.72,0.34,2020-06-12
10:08:42,4.654,0.2151,0.75,0.36,2020-06-12
10:08:43,4.654,0.2151,0.76,0.35,2020-06-12
10:08:44,4.649,0.2127,0.74,0.35,2020-06-12
10:08:45,4.656,0.2234,0.73,0.35,2020-06-12
10:08:46,4.656,0.2258,0.75,0.36,2020-06-12
10:08:47,4.648,0.2281,0.75,0.35,2020-06-12
10:08:48,4.656,0.2307,0.75,0.35,2020-06-12
10:08:49,4.669,0.2327,0.74,0.35,2020-06-12
10:08:50,4.656,0.2353,0.71,0.34,2020-06-12
10:08:51,4.666,0.2353,0.75,0.36,2020-06-12
10:08:52,4.655,0.235,0.71,0.35,2020-06-12
