Time,Voltage(V),Current(A),D+(V),D-(V)
10:10:49,7.27,0,0.71,0.36
10:10:50,7.27,0,0.74,0.38
10:10:51,7.265,0,0.74,0.37
10:10:52,7.267,0,0.73,0.36
10:10:53,7.269,0,0.72,0.34
10:10:54,7.269,0,0.74,0.36
10:10:55,7.267,0,0.74,0.38
10:10:56,7.267,0.0002,0.74,0.37
10:10:57,7.267,0.0001,0.74,0.38
10:10:58,7.267,0.0004,0.73,0.36
10:10:59,7.267,0.0005,0.71,0.35
10:11:00,7.265,0.0003,0.55,0.25
10:11:01,7.269,0.0001,0.73,0.35
10:11:02,7.269,0.0132,0.75,0.36
10:11:03,7.009,0.3797,0.71,0.3
10:11:04,4.882,0.3878,0.74,0.35
10:11:05,4.677,0.394,0.73,0.36
10:11:06,4.669,0.394,0.73,0.45
10:11:07,4.675,0.3963,0.74,0.36
10:11:08,4.675,0.3936,0.63,0.31
10:11:09,4.67,0.4026,0.73,0.35
10:11:10,4.67,0.4046,0.73,0.37
10:11:11,4.677,0.4088,0.74,0.36
10:11:12,4.675,0.4109,0.72,0.36
10:11:13,4.68,0.4135,0.55,0.27
10:11:14,4.68,0.4153,0.72,0.35
10:11:15,4.676,0.4153,0.74,0.38
10:11:16,4.686,0.4182,0.74,0.37
10:11:17,4.677,0.4208,0.74,0.37
10:11:18,4.677,0.4169,0.74,0.37
10:11:19,4.688,0.4212,0.71,0.34
10:11:20,4.674,0.4301,0.66,0.32
10:11:21,4.674,0.433,0.74,0.4
10:11:22,4.674,0.4356,0.74,0.39
10:11:23,4.677,0.4386,0.74,0.39
10:11:24,4.681,0.4405,0.73,0.37
10:11:25,4.679,0.4427,0.61,0.3
10:11:26,4.681,0.4467,0.73,0.35
10:11:27,4.682,0.4467,0.74,0.37
10:11:28,4.685,0.4467,0.74,0.4
10:11:29,4.682,0.4453,0.74,0.4
10:11:30,4.691,0.4456,0.74,0.39
10:11:31,4.688,0.4542,0.73,0.37
10:11:32,4.676,0.4577,0.69,0.33
10:11:33,4.691,0.4621,0.63,0.3
10:11:34,4.691,0.4646,0.74,0.38
10:11:35,4.682,0.4674,0.74,0.38
10:11:36,4.683,0.4692,0.74,0.38
10:11:37,4.692,0.4719,0.66,0.33
10:11:38,4.681,0.4743,0.54,0.26
10:11:39,4.685,0.4743,0.74,0.36
10:11:40,4.685,0.4747,0.74,0.39
10:11:41,4.682,0.4723,0.74,0.38
10:11:42,4.69,0.4804,0.61,0.3
10:11:43,4.686,0.4848,0.74,0.35
10:11:44,4.686,0.4879,0.74,0.36
10:11:45,4.692,0.4903,0.75,0.35
10:11:46,4.686,0.4935,0.75,0.34
10:11:47,4.689,0.4936,0.74,0.35
10:11:48,4.694,0.4962,0.72,0.35
10:11:49,4.691,0.4962,0.74,0.38
10:11:50,4.691,0.4972,0.72,0.36
10:11:51,4.696,0.495,0.68,0.36
10:11:52,4.682,0.5027,0.74,0.38
10:11:53,4.692,0.5026,0.7,0.34
10:11:54,4.686,0.5096,0.65,0.31
10:11:55,4.686,0.512,0.75,0.36
10:11:56,4.685,0.514,0.74,0.39
10:11:57,4.688,0.5167,0.73,0.36
10:11:58,4.69,0.517,0.73,0.36
10:11:59,4.691,0.5191,0.58,0.28
10:12:00,4.692,0.5223,0.74,0.35
10:12:01,4.688,0.5223,0.74,0.38
10:12:02,4.694,0.524,0.74,0.37
10:12:03,4.692,0.5183,0.73,0.37
10:12:04,4.699,0.5207,0.73,0.36
10:12:05,4.696,0.5317,0.71,0.35
10:12:06,4.696,0.5339,0.73,0.34
10:12:07,4.695,0.5359,0.74,0.39
10:12:08,4.694,0.5381,0.74,0.38
10:12:09,4.692,0.5385,0.74,0.39
10:12:10,4.694,0.5404,0.69,0.35
10:12:11,4.7,0.5442,0.63,0.31
10:12:12,4.688,0.5442,0.73,0.34
10:12:13,4.7,0.543,0.74,0.39
10:12:14,4.689,0.5412,0.74,0.36
10:12:15,4.688,0.5416,0.66,0.33
10:12:16,4.695,0.5507,0.59,0.29
10:12:17,4.695,0.5509,0.75,0.36
10:12:18,4.69,0.5558,0.74,0.35
