Time,Voltage(V),Current(A)
12:09:58,4.834,0.8148
12:09:59,4.831,0.8147
12:10:00,4.831,0.8144
12:10:01,4.836,0.8142
12:10:02,4.836,0.8152
12:10:03,4.831,0.8148
12:10:04,4.837,0.8148
12:10:05,4.833,0.8134
12:10:06,4.838,0.8156
12:10:07,4.838,0.8158
12:10:08,4.83,0.816
12:10:09,4.833,0.8157
12:10:10,4.828,0.8158
12:10:11,4.834,0.8154
12:10:12,4.834,0.8166
12:10:13,4.831,0.8154
12:10:14,4.831,0.8142
12:10:15,4.832,0.8143
12:10:16,4.838,0.8143
12:10:17,4.831,0.8139
12:10:18,4.835,0.8079
12:10:19,4.833,0.8069
12:10:20,4.828,0.8059
12:10:21,4.834,0.8073
12:10:22,4.829,0.8123
12:10:23,4.837,0.8067
12:10:24,4.834,0.8138
12:10:25,4.834,0.8154
12:10:26,4.833,0.8138
12:10:27,4.831,0.8128
12:10:28,4.831,0.8148
12:10:29,4.828,0.8145
12:10:30,4.828,0.8156
12:10:31,4.833,0.8152
12:10:32,4.831,0.8149
12:10:33,4.831,0.813
12:10:34,4.833,0.8131
12:10:35,4.828,0.8131
12:10:36,4.834,0.8119
12:10:37,4.83,0.8118
12:10:38,4.837,0.8065
12:10:39,4.831,0.8063
12:10:40,4.831,0.8073
12:10:41,4.835,0.8077
12:10:42,4.83,0.813
12:10:43,4.835,0.8132
12:10:44,4.835,0.8156
12:10:45,4.83,0.8138
12:10:46,4.831,0.8142
12:10:47,4.831,0.8162
12:10:48,4.831,0.8146
12:10:49,4.834,0.8146
12:10:50,4.874,0.8101
12:10:51,4.874,0.8104
12:10:52,4.876,0.8117
12:10:53,4.875,0.8099
12:10:54,4.87,0.8124
12:10:55,4.87,0.8124
12:10:56,4.866,0.8073
12:10:57,4.862,0.8101
12:10:58,4.868,0.8038
12:10:59,4.863,0.804
12:11:00,4.869,0.8028
12:11:01,4.863,0.803
12:11:02,4.859,0.8091
12:11:03,4.866,0.8024
12:11:04,4.859,0.8119
12:11:05,4.859,0.8109
12:11:06,4.863,0.8111
12:11:07,4.86,0.8113
12:11:08,4.865,0.8124
12:11:09,4.86,0.8123
12:11:10,4.866,0.8107
12:11:11,4.858,0.811
12:11:12,4.858,0.811
12:11:13,4.86,0.8109
12:11:14,4.861,0.811
12:11:15,4.867,0.8114
12:11:16,4.861,0.8114
12:11:17,4.866,0.8112
12:11:18,4.862,0.8051
12:11:19,4.859,0.803
12:11:20,4.864,0.8033
12:11:21,4.861,0.8047
12:11:22,4.866,0.8095
12:11:23,4.862,0.8036
12:11:24,4.858,0.8063
12:11:25,4.863,0.8109
12:11:26,4.863,0.8106
12:11:27,4.858,0.8109
12:11:28,4.858,0.8113
12:11:29,4.859,0.8113
12:11:30,4.861,0.811
12:11:31,4.855,0.8121
12:11:32,4.858,0.8124
12:11:33,4.859,0.812
12:11:34,4.858,0.8122
12:11:35,4.864,0.8122
12:11:36,4.86,0.8099
12:11:37,4.866,0.8089
12:11:38,4.861,0.8038
12:11:39,4.862,0.8053
12:11:40,4.863,0.8032
12:11:41,4.858,0.8047
12:11:42,4.865,0.8101
12:11:43,4.86,0.8053
12:11:44,4.866,0.8134
12:11:45,4.866,0.8131
12:11:46,4.861,0.8142
12:11:47,4.865,0.8123
12:11:48,4.858,0.8127
12:11:49,4.859,0.8123
12:11:50,4.86,0.8136
12:11:51,4.858,0.8136
12:11:52,4.865,0.8134
12:11:53,4.858,0.8133
12:11:54,4.859,0.8136
12:11:55,4.862,0.8136
12:11:56,4.859,0.8113
12:11:57,4.865,0.8115
12:11:58,4.86,0.8073
12:11:59,4.866,0.8063
12:12:00,4.863,0.8065
12:12:01,4.859,0.8075
12:12:02,4.864,0.8113
12:12:03,4.859,0.8069
12:12:04,4.866,0.8068
12:12:05,4.861,0.8071
12:12:06,4.866,0.8144
12:12:07,4.866,0.8128
12:12:08,4.861,0.8142
12:12:09,4.861,0.8139
12:12:10,4.857,0.8138
12:12:11,4.857,0.8134
12:12:12,4.862,0.8134
12:12:13,4.856,0.8132
12:12:14,4.86,0.8131
12:12:15,4.855,0.8133
12:12:16,4.858,0.8132
12:12:17,4.862,0.8152
12:12:18,4.86,0.814
12:12:19,4.865,0.814
12:12:20,4.86,0.8124
12:12:21,4.866,0.8065
12:12:22,4.862,0.8121
12:12:23,4.856,0.8063
12:12:24,4.863,0.8095
12:12:25,4.859,0.8071
12:12:26,4.868,0.8107
12:12:27,4.862,0.8097
12:12:28,4.863,0.8138
12:12:29,4.863,0.8138
12:12:30,4.861,0.815
12:12:31,4.86,0.8147
12:12:32,4.863,0.8136
12:12:33,4.855,0.8126
12:12:34,4.861,0.8125
12:12:35,4.856,0.8138
12:12:36,4.861,0.8136
12:12:37,4.86,0.8139
12:12:38,4.857,0.814
12:12:39,4.864,0.814
12:12:40,4.857,0.8115
12:12:41,4.865,0.8075
12:12:42,4.86,0.8123
12:12:43,4.866,0.8083
12:12:44,4.862,0.8111
12:12:45,4.859,0.8138
12:12:46,4.864,0.8148
12:12:47,4.864,0.8148
12:12:48,4.857,0.8132
12:12:49,4.861,0.8142
12:12:50,4.854,0.8154
12:12:51,4.86,0.8124
12:12:52,4.861,0.8142
12:12:53,4.857,0.8138
12:12:54,4.859,0.8138
12:12:55,4.854,0.8156
12:12:56,4.86,0.8158
12:12:57,4.859,0.8154
12:12:58,4.863,0.8138
12:12:59,4.862,0.8138
12:13:00,4.858,0.8126
12:13:01,4.862,0.8087
12:13:02,4.858,0.8105
12:13:03,4.865,0.8087
12:13:04,4.86,0.8075
12:13:05,4.862,0.8097
12:13:06,4.862,0.8095
12:13:07,4.858,0.8075
12:13:08,4.864,0.8148
12:13:09,4.864,0.8162
12:13:10,4.859,0.814
12:13:11,4.858,0.815
12:13:12,4.854,0.8154
12:13:13,4.861,0.8152
12:13:14,4.855,0.8151
12:13:15,4.854,0.8154
12:13:16,4.864,0.8166
12:13:17,4.858,0.8166
12:13:18,4.863,0.8126
12:13:19,4.859,0.8091
12:13:20,4.866,0.8092
12:13:21,4.862,0.8087
12:13:22,4.857,0.8103
12:13:23,4.863,0.8075
12:13:24,4.858,0.8074
12:13:25,4.863,0.8148
12:13:26,4.863,0.815
12:13:27,4.859,0.815
12:13:28,4.859,0.8148
12:13:29,4.853,0.8152
12:13:30,4.858,0.8153
12:13:31,4.857,0.8164
12:13:32,4.855,0.815
12:13:33,4.858,0.815
12:13:34,4.856,0.8151
12:13:35,4.864,0.815
12:13:36,4.861,0.815
12:13:37,4.862,0.8147
12:13:38,4.861,0.8103
12:13:39,4.856,0.8087
12:13:40,4.862,0.8085
12:13:41,4.858,0.8086
12:13:42,4.864,0.8101
12:13:43,4.86,0.8075
12:13:44,4.856,0.816
12:13:45,4.856,0.8156
12:13:46,4.858,0.8156
12:13:47,4.854,0.8155
12:13:48,4.858,0.8156
12:13:49,4.853,0.8159
12:13:50,4.859,0.8159
12:13:51,4.855,0.816
12:13:52,4.853,0.8162
