Time,Voltage(V),Current(A),D+(V),D-(V)
10:12:19,6.811,0,1,0.51
10:12:20,6.811,0.0001,1,0.5
10:12:21,6.81,0.0005,1,0.51
10:12:22,6.811,0.0006,1,0.51
10:12:23,6.812,0.0004,1,0.51
10:12:24,6.809,0.0002,1,0.51
10:12:25,6.807,0.0004,0.73,0.45
10:12:26,4.455,0.0298,0.96,0.63
10:12:27,4.455,0.0404,0.74,0.35
10:12:28,4.456,0.0382,0.76,0.37
10:12:29,4.472,0.0469,0.74,0.39
10:12:30,4.472,0.0465,0.98,0.49
10:12:31,4.474,0.045,0.72,0.33
10:12:32,4.465,0.0452,0.76,0.37
10:12:33,4.496,0.0467,0.75,0.36
10:12:34,4.473,0.0489,0.75,0.36
10:12:35,4.455,0.0485,0.71,0.37
10:12:36,4.455,0.0485,0.72,0.39
10:12:37,4.456,0.0446,0.74,0.36
10:12:38,4.457,0.0416,0.75,0.36
10:12:39,4.458,0.0473,0.75,0.45
10:12:40,4.454,0.0373,0.67,0.34
10:12:41,4.459,0.0485,0.75,0.36
10:12:42,4.459,0.0475,0.75,0.36
10:12:43,4.469,0.0479,0.74,0.36
10:12:44,4.466,0.0479,0.75,0.36
10:12:45,4.461,0.0479,0.74,0.35
10:12:46,4.461,0.0481,0.97,0.5
10:12:47,4.483,0.0513,0.75,0.36
10:12:48,4.503,0.0513,0.97,0.49
10:12:49,4.468,0.0512,0.72,0.43
10:12:50,4.495,0.0497,0.75,0.37
10:12:51,4.466,0.0497,0.75,0.35
10:12:52,4.465,0.0497,0.74,0.34
10:12:53,4.466,0.0432,0.98,0.5
10:12:54,4.463,0.0501,0.86,0.46
10:12:55,4.463,0.0502,0.75,0.37
10:12:56,4.463,0.0504,0.75,0.37
10:12:57,4.475,0.0505,0.76,0.36
10:12:58,4.488,0.0504,0.98,0.49
10:12:59,4.46,0.05,0.81,0.43
10:13:00,4.458,0.0497,0.75,0.37
10:13:01,4.457,0.0497,0.98,0.49
10:13:02,4.458,0.0473,0.68,0.35
10:13:03,4.462,0.0495,0.74,0.37
10:13:04,4.462,0.0495,0.74,0.36
10:13:05,4.466,0.0495,0.96,0.49
10:13:06,4.503,0.0496,0.94,0.49
10:13:07,4.502,0.0495,0.96,0.48
10:13:08,4.505,0.0496,0.75,0.46
10:13:09,4.458,0.0496,0.73,0.37
10:13:10,4.458,0.0496,0.7,0.35
10:13:11,4.458,0.0496,0.98,0.49
10:13:12,4.458,0.0467,0.96,0.48
10:13:13,4.458,0.0438,0.96,0.49
10:13:14,4.458,0.0477,0.73,0.36
10:13:15,4.462,0.0497,0.75,0.36
10:13:16,4.462,0.0496,0.75,0.36
10:13:17,4.478,0.0497,0.76,0.36
10:13:18,4.5,0.0497,0.97,0.49
10:13:19,4.458,0.0497,0.96,0.49
10:13:20,4.496,0.0498,0.74,0.4
10:13:21,4.458,0.0497,0.75,0.36
10:13:22,4.458,0.0497,0.75,0.37
10:13:23,4.458,0.0494,0.76,0.36
10:13:24,4.457,0.0483,0.75,0.36
10:13:25,4.458,0.0469,0.75,0.36
10:13:26,4.462,0.0497,0.74,0.37
10:13:27,4.462,0.0499,0.98,0.5
10:13:28,4.47,0.05,0.75,0.36
10:13:29,4.471,0.05,0.75,0.36
10:13:30,4.489,0.05,0.76,0.36
10:13:31,4.491,0.0499,0.72,0.36
10:13:32,4.458,0.0499,0.74,0.38
10:13:33,4.458,0.0499,0.97,0.48
10:13:34,4.458,0.0497,0.75,0.45
10:13:35,4.458,0.042,0.73,0.37
10:13:36,4.458,0.0421,0.75,0.37
10:13:37,4.458,0.0432,0.74,0.38
10:13:38,4.461,0.0499,0.74,0.37
10:13:39,4.461,0.0499,0.97,0.49
10:13:40,4.474,0.0501,0.94,0.49
10:13:41,4.496,0.0501,0.74,0.38
10:13:42,4.494,0.0501,0.75,0.38
10:13:43,4.502,0.0502,0.73,0.36
10:13:44,4.458,0.0502,0.67,0.34
10:13:45,4.458,0.0502,0.97,0.48
10:13:46,4.458,0.0479,0.96,0.48
10:13:47,4.458,0.0426,0.74,0.38
10:13:48,4.458,0.0438,0.73,0.38
10:13:49,4.458,0.0487,0.75,0.39
10:13:50,4.461,0.0503,0.74,0.38
10:13:51,4.461,0.0503,0.97,0.49
10:13:52,4.469,0.0503,0.95,0.49
10:13:53,4.48,0.0503,0.75,0.46
10:13:54,4.47,0.0504,0.74,0.38
10:13:55,4.458,0.0502,0.74,0.36
10:13:56,4.458,0.0502,0.76,0.36
10:13:57,4.458,0.0483,0.96,0.49
10:13:58,4.458,0.0432,0.98,0.49
10:13:59,4.458,0.0485,0.98,0.49
10:14:00,4.458,0.0438,0.73,0.36
10:14:01,4.464,0.0503,0.65,0.33
10:14:02,4.464,0.0502,0.75,0.36
10:14:03,4.475,0.0503,0.98,0.49
10:14:04,4.472,0.0503,0.97,0.49
10:14:05,4.497,0.0503,0.96,0.49
10:14:06,4.486,0.0504,0.76,0.38
10:14:07,4.458,0.0503,0.75,0.36
10:14:08,4.458,0.0503,0.76,0.36
10:14:09,4.458,0.0502,0.76,0.36
10:14:10,4.458,0.0428,0.98,0.49
10:14:11,4.458,0.0429,0.75,0.36
10:14:12,4.462,0.0505,0.74,0.39
10:14:13,4.462,0.0504,0.73,0.37
10:14:14,4.461,0.0505,0.72,0.36
10:14:15,4.495,0.0506,0.75,0.38
10:14:16,4.516,0.0505,0.96,0.49
10:14:17,4.508,0.0505,0.72,0.37
10:14:18,4.458,0.0507,0.74,0.38
10:14:19,4.458,0.0507,0.74,0.46
10:14:20,4.458,0.0487,0.74,0.44
10:14:21,4.458,0.0438,0.75,0.38
10:14:22,4.458,0.0469,0.76,0.45
10:14:23,4.458,0.0472,0.96,0.48
10:14:24,4.458,0.0489,0.96,0.48
10:14:25,4.458,0.0436,0.73,0.39
10:14:26,4.463,0.0505,0.64,0.35
10:14:27,4.463,0.0507,0.74,0.38
10:14:28,4.474,0.0507,0.75,0.39
10:14:29,4.458,0.0507,0.73,0.37
10:14:30,4.458,0.0507,0.7,0.36
10:14:31,4.458,0.0507,0.98,0.49
10:14:32,4.458,0.0485,0.75,0.36
10:14:33,4.458,0.0436,0.75,0.37
10:14:34,4.458,0.0489,0.72,0.36
10:14:35,4.458,0.0511,0.75,0.36
10:14:36,4.458,0.051,0.98,0.49
10:14:37,4.46,0.0509,0.98,0.49
10:14:38,4.491,0.0509,0.97,0.49
10:14:39,4.46,0.0508,0.72,0.37
10:14:40,4.507,0.0508,0.75,0.36
10:14:41,4.458,0.0508,0.74,0.38
10:14:42,4.458,0.0508,0.97,0.49
10:14:43,4.458,0.0485,0.94,0.49
10:14:44,4.458,0.0489,0.96,0.48
10:14:45,4.458,0.044,0.74,0.46
10:14:46,4.458,0.044,0.73,0.37
10:14:47,4.458,0.0439,0.67,0.35
10:14:48,4.458,0.0509,0.74,0.37
10:14:49,4.458,0.0508,0.97,0.48
10:14:50,4.467,0.051,0.96,0.49
10:14:51,4.496,0.0511,0.74,0.46
10:14:52,4.483,0.0512,0.74,0.37
10:14:53,4.458,0.0513,0.74,0.37
10:14:54,4.466,0.0513,0.75,0.38
10:14:55,4.458,0.0489,0.95,0.49
10:14:56,4.458,0.0487,0.96,0.48
10:14:57,4.458,0.0432,0.98,0.49
10:14:58,4.458,0.045,0.75,0.37
10:14:59,4.458,0.0501,0.72,0.36
10:15:00,4.463,0.0513,0.74,0.39
10:15:01,4.463,0.0514,0.98,0.49
10:15:02,4.474,0.0515,0.98,0.49
10:15:03,4.508,0.0517,0.97,0.49
10:15:04,4.472,0.0518,0.68,0.34
10:15:05,4.459,0.0517,0.75,0.36
10:15:06,4.459,0.0517,0.75,0.36
10:15:07,4.459,0.0501,0.76,0.36
10:15:08,4.459,0.0452,0.96,0.49
10:15:09,4.459,0.0503,0.98,0.49
10:15:10,4.459,0.0452,0.75,0.36
10:15:11,4.461,0.0519,0.73,0.37
10:15:12,4.461,0.0521,0.74,0.37
10:15:13,4.475,0.0523,0.76,0.36
10:15:14,4.474,0.0525,0.98,0.49
10:15:15,4.517,0.0526,0.74,0.37
10:15:16,4.459,0.0525,0.71,0.36
10:15:17,4.459,0.0525,0.97,0.5
10:15:18,4.459,0.0501,0.75,0.36
10:15:19,4.459,0.0511,0.76,0.36
10:15:20,4.459,0.0455,0.76,0.36
10:15:21,4.459,0.0454,0.75,0.36
10:15:22,4.462,0.0534,0.74,0.38
10:15:23,4.462,0.0533,0.97,0.48
10:15:24,4.463,0.0534,0.74,0.46
10:15:25,4.511,0.0536,0.73,0.36
10:15:26,4.503,0.0538,0.74,0.38
10:15:27,4.509,0.0539,0.74,0.39
10:15:28,4.46,0.0541,0.72,0.37
10:15:29,4.46,0.0541,0.97,0.49
10:15:30,4.46,0.0523,0.74,0.39
10:15:31,4.46,0.0479,0.75,0.46
10:15:32,4.46,0.0476,0.75,0.39
10:15:33,4.46,0.0478,0.75,0.45
10:15:34,4.461,0.0536,0.75,0.41
10:15:35,4.466,0.055,0.74,0.38
10:15:36,4.466,0.0552,0.97,0.49
10:15:37,4.488,0.0556,0.73,0.4
10:15:38,4.514,0.0559,0.74,0.38
10:15:39,4.47,0.0559,0.74,0.38
10:15:40,4.462,0.0561,0.73,0.38
10:15:41,4.463,0.0561,0.97,0.49
10:15:42,4.463,0.0557,0.94,0.49
10:15:43,4.461,0.0491,0.74,0.37
10:15:44,4.462,0.0558,0.74,0.37
10:15:45,4.463,0.0505,0.72,0.36
10:15:46,4.462,0.0578,0.75,0.36
10:15:47,4.462,0.0581,0.99,0.49
10:15:48,4.468,0.0584,0.96,0.48
10:15:49,4.464,0.0586,0.95,0.48
10:15:50,4.502,0.0598,0.72,0.43
10:15:51,4.518,0.0598,0.74,0.36
10:15:52,4.485,0.0599,0.74,0.37
10:15:53,4.511,0.0601,0.95,0.48
10:15:54,4.471,0.0603,0.67,0.35
10:15:55,4.469,0.0606,0.74,0.37
10:15:56,4.468,0.0606,0.75,0.45
10:15:57,4.469,0.0596,0.73,0.37
10:15:58,4.47,0.0625,0.71,0.35
10:15:59,4.47,0.0624,0.98,0.49
10:16:00,4.486,0.0635,0.98,0.49
10:16:01,4.522,0.0636,0.98,0.49
10:16:02,4.508,0.0638,0.73,0.37
10:16:03,4.474,0.0651,0.75,0.36
10:16:04,4.472,0.0651,0.76,0.36
10:16:05,4.472,0.0627,0.76,0.36
10:16:06,4.473,0.0586,0.98,0.49
10:16:07,4.473,0.0583,0.96,0.49
10:16:08,4.473,0.06,0.98,0.49
10:16:09,4.473,0.0659,0.75,0.37
10:16:10,4.473,0.0679,0.73,0.36
10:16:11,4.473,0.0682,0.76,0.36
10:16:12,4.476,0.0692,0.98,0.49
10:16:13,4.515,0.0696,0.98,0.49
10:16:14,4.477,0.07,0.74,0.36
10:16:15,4.473,0.0704,0.68,0.36
10:16:16,4.474,0.0704,0.74,0.45
10:16:17,4.474,0.0701,0.74,0.37
10:16:18,4.475,0.0651,0.74,0.37
10:16:19,4.475,0.071,0.95,0.49
10:16:20,4.476,0.07,0.74,0.38
10:16:21,4.477,0.0746,0.74,0.38
10:16:22,4.477,0.0749,0.74,0.45
10:16:23,4.481,0.0761,0.74,0.37
10:16:24,4.475,0.0765,0.74,0.36
10:16:25,4.523,0.0777,0.96,0.48
10:16:26,4.512,0.078,0.73,0.37
10:16:27,4.481,0.0791,0.71,0.36
10:16:28,4.481,0.0791,0.72,0.47
10:16:29,4.482,0.0793,0.74,0.37
10:16:30,4.483,0.0726,0.74,0.37
10:16:31,4.483,0.0744,0.72,0.37
10:16:32,4.485,0.0827,0.67,0.34
10:16:33,4.485,0.0829,0.97,0.48
10:16:34,4.483,0.0844,0.96,0.48
10:16:35,4.52,0.0854,0.74,0.45
10:16:36,4.522,0.0856,0.74,0.37
10:16:37,4.503,0.0866,0.74,0.38
10:16:38,4.488,0.088,0.73,0.37
10:16:39,4.489,0.088,0.97,0.49
10:16:40,4.49,0.0858,0.95,0.49
10:16:41,4.49,0.0825,0.75,0.45
10:16:42,4.491,0.0836,0.75,0.36
10:16:43,4.491,0.0862,0.76,0.36
10:16:44,4.492,0.0908,0.71,0.36
10:16:45,4.494,0.0937,0.74,0.37
10:16:46,4.494,0.0949,0.96,0.49
10:16:47,4.505,0.0965,0.95,0.48
10:16:48,4.517,0.0977,0.73,0.37
10:16:49,4.494,0.098,0.64,0.33
10:16:50,4.497,0.0998,0.74,0.4
10:16:51,4.498,0.0998,0.96,0.48
10:16:52,4.498,0.0999,0.95,0.49
10:16:53,4.499,0.0955,0.94,0.5
10:16:54,4.5,0.1018,0.74,0.37
10:16:55,4.502,0.1046,0.75,0.36
10:16:56,4.502,0.1058,0.76,0.36
10:16:57,4.509,0.1071,0.97,0.49
10:16:58,4.524,0.1081,0.98,0.49
10:16:59,4.505,0.1097,0.98,0.49
10:17:00,4.53,0.1109,0.98,0.49
10:17:01,4.531,0.1121,0.7,0.36
10:17:02,4.508,0.1133,0.74,0.37
10:17:03,4.511,0.1133,0.74,0.37
10:17:04,4.512,0.1144,0.95,0.48
10:17:05,4.514,0.1091,0.95,0.49
10:17:06,4.517,0.1107,0.74,0.39
10:17:07,4.523,0.119,0.74,0.37
10:17:08,4.523,0.1204,0.74,0.38
10:17:09,4.525,0.1223,0.75,0.39
10:17:10,4.544,0.1233,0.93,0.49
10:17:11,4.553,0.1249,0.74,0.37
10:17:12,4.549,0.1259,0.73,0.38
10:17:13,4.554,0.1259,0.96,0.49
10:17:14,4.558,0.1277,0.72,0.42
10:17:15,4.568,0.1221,0.74,0.37
