UNIXTIME,CO2
2.0,1581879075.0
3.0,1581879076.0
4.0,1581879077.0
5.0,1581879078.0
6.0,1581879079.0
7.0,1581879080.0
8.0,1581879081.0
9.0,1581879082.0
10.0,1581879083.0
11.0,1581879084.0
12.0,1581879085.0
13.0,1581879086.0
14.0,1581879087.0
15.0,1581879088.0
16.0,1581879089.0
17.0,1581879090.0
18.0,1581879091.0
19.0,1581879092.0
20.0,1581879094.0
21.0,1581879095.0
22.0,1581879096.0
23.0,1581879097.0
24.0,1581879098.0
25.0,1581879099.0
26.0,1581879100.0
27.0,1581879101.0
28.0,1581879102.0
29.0,1581879103.0
30.0,1581879104.0
31.0,1581879105.0
32.0,1581879106.0
33.0,1581879107.0
34.0,1581879108.0
35.0,1581879109.0
36.0,1581879110.0
37.0,1581879111.0
38.0,1581879112.0
39.0,1581879113.0
40.0,1581879114.0
41.0,1581879115.0
42.0,1581879116.0
43.0,1581879117.0
44.0,1581879118.0
45.0,1581879119.0
46.0,1581879120.0
47.0,1581879121.0
48.0,1581879122.0
49.0,1581879123.0
50.0,1581879124.0
51.0,1581879125.0
52.0,1581879126.0
53.0,1581879127.0
54.0,1581879128.0
55.0,1581879129.0
56.0,1581879130.0
57.0,1581879131.0
58.0,1581879133.0
59.0,1581879134.0
60.0,1581879135.0
61.0,1581879136.0
62.0,1581879137.0
63.0,1581879138.0
64.0,1581879139.0
65.0,1581879140.0
66.0,1581879141.0
67.0,1581879142.0
68.0,1581879143.0
69.0,1581879144.0
70.0,1581879145.0
71.0,1581879146.0
72.0,1581879147.0
73.0,1581879148.0
74.0,1581879149.0
75.0,1581879150.0
76.0,1581879151.0
77.0,1581879152.0
78.0,1581879153.0
79.0,1581879154.0
80.0,1581879155.0
81.0,1581879156.0
82.0,1581879157.0
83.0,1581879158.0
84.0,1581879159.0
85.0,1581879160.0
86.0,1581879161.0
87.0,1581879162.0
88.0,1581879163.0
89.0,1581879164.0
90.0,1581879165.0
91.0,1581879166.0
92.0,1581879167.0
93.0,1581879168.0
94.0,1581879169.0
95.0,1581879171.0
96.0,1581879172.0
97.0,1581879173.0
98.0,1581879174.0
99.0,1581879175.0
100.0,1581879176.0
101.0,1581879177.0
102.0,1581879178.0
103.0,1581879179.0
104.0,1581879180.0
105.0,1581879181.0
106.0,1581879182.0
107.0,1581879183.0
108.0,1581879184.0
109.0,1581879185.0
110.0,1581879186.0
111.0,1581879187.0
112.0,1581879188.0
113.0,1581879189.0
114.0,1581879190.0
115.0,1581879191.0
116.0,1581879192.0
117.0,1581879193.0
118.0,1581879194.0
119.0,1581879195.0
120.0,1581879196.0
121.0,1581879197.0
122.0,1581879198.0
123.0,1581879199.0
124.0,1581879200.0
125.0,1581879201.0
126.0,1581879202.0
127.0,1581879203.0
128.0,1581879204.0
129.0,1581879205.0
130.0,1581879206.0
131.0,1581879207.0
132.0,1581879209.0
133.0,1581879210.0
134.0,1581879211.0
135.0,1581879212.0
136.0,1581879213.0
137.0,1581879214.0
138.0,1581879215.0
139.0,1581879216.0
140.0,1581879217.0
141.0,1581879218.0
142.0,1581879219.0
143.0,1581879220.0
