UNIXTIMECO2,
1581879072,440
1581879073,441
1581879074,442
1581879075,459
1581879076,497
1581879077,560
1581879078,626
1581879079,687
1581879080,739
1581879081,782
1581879082,823
1581879083,905
1581879084,1066
1581879085,1306
1581879086,1741
1581879087,1869
1581879088,1944
1581879089,1975
1581879090,1977
1581879091,1938
1581879092,1855
1581879094,1720
1581879095,1591
1581879096,1480
1581879097,1397
1581879098,1323
1581879099,1257
1581879100,1199
1581879101,1143
1581879102,1088
1581879103,1037
1581879104,996
1581879105,962
1581879106,931
1581879107,900
1581879108,868
1581879109,835
1581879110,804
1581879111,775
1581879112,751
1581879113,728
1581879114,705
1581879115,684
1581879116,665
1581879117,650
1581879118,638
1581879119,633
1581879120,630
1581879121,630
1581879122,628
1581879123,627
1581879124,624
1581879125,622
1581879126,619
1581879127,616
1581879128,613
1581879129,610
1581879130,606
1581879131,603
1581879133,600
1581879134,596
1581879135,593
1581879136,589
1581879137,585
1581879138,581
1581879139,577
1581879140,573
1581879141,569
1581879142,565
1581879143,557
1581879144,553
1581879145,549
1581879146,546
1581879147,542
1581879148,538
1581879149,535
1581879150,531
1581879151,527
1581879152,523
1581879153,520
1581879154,517
1581879155,514
1581879156,511
1581879157,508
1581879158,505
1581879159,502
1581879160,499
1581879161,497
1581879162,494
1581879163,492
1581879164,490
1581879165,487
1581879166,485
1581879167,483
1581879168,481
1581879169,479
1581879171,477
1581879172,475
1581879173,473
1581879174,471
1581879175,469
1581879176,467
1581879177,465
1581879178,464
1581879179,462
1581879180,461
1581879181,460
1581879182,458
1581879183,457
1581879184,455
1581879185,453
1581879186,452
1581879187,451
1581879188,450
1581879189,449
1581879190,448
1581879191,447
1581879192,446
1581879193,446
1581879194,445
1581879195,444
1581879196,443
1581879197,442
1581879198,441
1581879199,440
1581879200,439
1581879201,439
1581879202,438
1581879203,438
1581879204,437
1581879205,437
1581879206,437
1581879207,437
1581879209,436
1581879210,436
1581879211,436
1581879212,435
1581879213,435
1581879214,435
1581879215,434
1581879216,434
1581879217,433
1581879218,433
1581879219,432
1581879220,432
1581879221,432
1581879222,431
1581879223,431
1581879224,431
1581879225,431
1581879226,431
1581879227,431
1581879228,431
1581879229,431
1581879230,431
1581879231,431
1581879232,431
1581879233,431
1581879234,431
1581879235,431
1581879236,430
1581879237,430
1581879238,430
1581879239,429
1581879240,429
1581879241,428
1581879242,428
1581879243,428
1581879244,427
1581879245,427
1581879246,427
1581879248,427
1581879249,427
1581879250,427
1581879251,427
1581879252,427
1581879253,427
1581879254,427
1581879255,427
1581879256,427
1581879257,427
1581879258,427
1581879259,427
1581879260,426
1581879261,426
1581879262,426
1581879263,426
1581879264,427
1581879265,428
1581879266,429
1581879267,430
1581879268,431
1581879269,432
1581879270,434
1581879271,435
1581879272,437
1581879273,438
1581879274,439
1581879275,440
1581879276,441
1581879277,442
1581879278,443
1581879279,443
1581879280,444
1581879281,444
1581879282,444
1581879283,444
1581879284,445
1581879286,445
1581879287,446
1581879288,446
1581879289,446
1581879290,446
1581879291,445
1581879292,445
1581879293,445
1581879294,445
1581879295,445
1581879296,445
1581879297,445
1581879298,445
1581879299,444
1581879300,444
1581879301,444
1581879302,444
1581879303,444
1581879304,445
1581879305,446
1581879306,447
1581879307,448
1581879308,449
1581879309,450
1581879310,451
1581879311,451
1581879312,452
1581879313,452
1581879314,452
1581879315,452
1581879316,452
1581879317,452
1581879318,452
1581879319,451
1581879320,451
1581879321,451
1581879322,450
1581879323,450
1581879325,449
1581879326,449
1581879327,448
1581879328,447
1581879329,446
1581879330,446
1581879331,445
1581879332,445
1581879333,444
1581879334,444
1581879335,443
1581879336,442
1581879337,442
1581879338,442
1581879339,442
1581879340,442
1581879341,442
1581879342,441
1581879343,441
1581879344,440
1581879345,440
1581879346,440
1581879347,440
1581879348,440
1581879349,439
1581879350,439
1581879351,439
1581879352,438
1581879353,438
1581879354,438
1581879355,438
1581879356,438
1581879357,438
1581879358,437
1581879359,437
1581879360,437
1581879361,437
1581879363,437
1581879364,437
1581879365,437
1581879366,437
1581879367,437
1581879368,438
1581879369,438
1581879370,439
1581879371,439
1581879372,439
1581879373,439
1581879374,440
1581879375,440
1581879376,440
1581879377,441
1581879378,442
1581879379,443
1581879380,444
1581879381,445
1581879382,447
1581879383,447
1581879384,448
1581879385,449
1581879386,450
1581879387,450
1581879388,451
1581879389,451
1581879390,452
1581879391,452
1581879392,452
1581879393,453
1581879394,453
1581879395,453
1581879396,453
1581879397,453
1581879399,453
1581879400,453
1581879401,453
1581879402,453
1581879403,454
1581879404,454
1581879405,453
1581879406,453
1581879407,452
1581879408,452
1581879409,451
1581879410,451
1581879411,451
1581879412,450
1581879413,450
1581879414,450
1581879415,450
1581879416,450
1581879417,449
1581879418,449
1581879419,449
1581879420,449
1581879421,449
1581879422,449
1581879423,448
1581879424,447
1581879425,447
1581879426,446
1581879427,446
1581879428,446
1581879429,446
1581879430,446
1581879431,445
1581879432,445
1581879433,444
1581879434,444
1581879435,443
1581879436,443
1581879438,443
1581879439,443
1581879440,443
1581879441,443
1581879442,443
1581879443,442
1581879444,442
1581879445,442
1581879446,442
1581879447,442
1581879448,441
1581879449,441
1581879450,441
1581879451,441
1581879452,441
1581879453,441
1581879454,441
1581879455,441
1581879456,441
1581879457,441
1581879458,442
1581879459,442
1581879460,441
1581879461,441
1581879462,441
1581879463,440
1581879464,440
1581879465,439
1581879466,439
1581879467,439
1581879468,439
1581879469,439
1581879470,439
1581879471,439
1581879472,439
1581879473,439
1581879474,439
1581879476,439
1581879477,438
1581879478,438
1581879479,438
1581879480,438
1581879481,438
1581879482,438
1581879483,438
1581879484,437
1581879485,437
1581879486,437
1581879487,437
1581879488,437
1581879489,437
1581879490,438
1581879491,438
1581879492,437
1581879493,437
1581879494,437
1581879495,437
1581879496,437
1581879497,438
1581879498,438
1581879499,438
1581879500,438
1581879501,438
1581879502,438
1581879503,438
1581879504,438
1581879505,437
1581879506,437
1581879507,437
1581879508,437
1581879509,437
1581879510,436
1581879511,436
1581879512,436
1581879514,435
1581879515,435
1581879516,435
1581879517,435
1581879518,435
1581879519,435
1581879520,435
1581879521,435
1581879522,435
1581879523,435
1581879524,436
1581879525,436
1581879526,435
1581879527,435
1581879528,435
1581879529,435
1581879530,436
1581879531,436
1581879532,436
1581879533,436
1581879534,436
1581879535,437
1581879536,437
1581879537,437
1581879538,436
1581879539,436
1581879540,435
1581879541,435
1581879542,435
1581879543,435
1581879544,435
1581879545,435
1581879546,435
1581879547,436
1581879548,436
1581879549,436
1581879550,436
1581879552,437
1581879553,437
1581879554,437
1581879555,437
1581879556,437
1581879557,437
1581879558,437
1581879559,436
1581879560,436
1581879561,435
1581879562,435
1581879563,435
1581879564,435
1581879565,436
1581879566,436
1581879567,436
1581879568,436
1581879569,436
1581879570,436
1581879571,436
1581879572,436
1581879573,435
1581879574,435
1581879575,435
1581879576,435
1581879577,435
1581879578,435
1581879579,435
1581879580,436
1581879581,436
1581879582,436
1581879583,436
1581879584,435
1581879585,435
1581879586,434
1581879587,434
1581879588,433
1581879589,432
1581879591,432
1581879592,432
1581879593,432
1581879594,432
1581879595,431
1581879596,431
1581879597,431
1581879598,431
1581879599,431
1581879600,431
1581879601,431
1581879602,431
