UNIXTIMECO2,
1580807283,410
1580807284,410
1580807285,410
1580807286,1660
1580807287,1660
1580807288,1660
1580807289,1660
1580807290,1660
1580807291,1660
1580807292,1659
1580807293,1659
1580807294,1658
1580807295,1658
1580807296,1657
1580807297,1655
1580807298,1654
1580807299,1652
1580807301,1650
1580807302,1649
1580807303,1647
1580807304,1646
1580807305,1644
1580807306,1642
1580807307,1640
1580807308,1638
1580807309,1636
1580807310,1634
1580807311,1633
1580807312,1631
1580807313,1630
1580807314,1628
1580807315,1625
1580807316,1623
1580807317,1621
1580807318,1619
1580807319,1618
1580807320,1617
1580807321,1616
1580807322,1614
1580807323,1613
1580807324,1611
1580807325,1609
1580807326,1608
1580807327,1606
1580807328,1604
1580807329,1602
1580807330,1600
1580807331,1599
1580807332,1597
1580807333,1595
1580807334,1594
1580807335,1593
1580807336,1591
1580807337,1590
1580807338,1589
1580807340,1587
1580807341,1586
1580807342,1585
1580807343,1584
1580807344,1583
1580807345,1583
1580807346,1582
1580807347,1580
1580807348,1580
1580807349,1579
1580807350,1578
1580807351,1577
1580807352,1576
1580807353,1575
1580807354,1575
1580807355,1575
1580807356,1575
1580807357,1574
1580807358,1574
1580807359,1573
1580807360,1572
1580807361,1571
1580807362,1571
1580807363,1570
1580807364,1570
1580807365,1570
1580807366,1570
1580807367,1570
1580807368,1570
1580807369,1570
1580807370,1569
1580807371,1569
1580807372,1568
1580807373,1568
1580807374,1569
1580807375,1568
1580807376,1568
1580807378,1567
1580807379,1567
1580807380,1567
1580807381,1567
1580807382,1568
1580807383,1568
1580807384,1569
1580807385,1569
1580807386,1570
1580807387,1570
1580807388,1570
1580807389,1570
1580807390,1569
1580807391,1569
1580807392,1569
1580807393,1570
1580807394,1570
1580807395,1570
1580807396,1570
1580807397,1570
1580807398,1570
1580807399,1569
1580807400,1569
1580807401,1569
1580807402,1568
1580807403,1568
1580807404,1568
1580807405,1568
1580807406,1568
1580807407,1568
1580807408,1568
1580807409,1567
1580807410,1567
1580807411,1566
1580807412,1566
1580807413,1566
1580807414,1566
1580807416,1566
1580807417,1566
1580807418,1566
1580807419,1566
1580807420,1566
1580807421,1565
1580807422,1565
1580807423,1565
1580807424,1565
1580807425,1565
1580807426,1565
1580807427,1566
1580807428,1567
1580807429,1567
1580807430,1568
1580807431,1568
1580807432,1568
1580807433,1568
1580807434,1568
1580807435,1568
1580807436,1568
1580807437,1568
1580807438,1568
1580807439,1568
1580807440,1568
1580807441,1569
1580807442,1569
1580807443,1569
1580807444,1568
1580807445,1568
1580807446,1568
1580807447,1568
1580807448,1568
1580807449,1567
