UNIXTIME,CO2
1580860803,670
1580860804,671
1580860805,671
1580860806,670
1580860807,670
1580860808,669
1580860809,669
1580860810,669
1580860811,670
1580860812,670
1580860813,670
1580860814,670
1580860815,671
1580860816,671
1580860818,670
1580860819,670
1580860820,670
1580860821,670
1580860822,670
1580860823,670
1580860824,670
1580860825,670
1580860826,670
1580860827,670
1580860828,670
1580860829,670
1580860830,671
1580860831,671
1580860832,671
1580860833,671
1580860834,671
1580860835,671
1580860836,671
1580860837,671
1580860838,671
1580860839,671
1580860840,671
1580860841,671
1580860842,672
1580860843,672
1580860844,671
1580860845,671
1580860846,671
1580860847,671
1580860848,671
1580860849,671
1580860850,671
1580860851,672
1580860852,672
1580860853,672
1580860854,672
1580860856,672
1580860857,673
1580860858,673
1580860859,673
1580860860,672
1580860861,672
1580860862,672
1580860863,673
1580860864,673
1580860865,674
1580860866,674
1580860867,674
1580860868,674
1580860869,674
1580860870,674
1580860871,674
1580860872,674
1580860873,674
1580860874,673
1580860875,673
1580860876,673
1580860877,673
1580860878,673
1580860879,673
1580860880,673
1580860881,674
1580860882,674
1580860883,674
1580860884,674
1580860885,674
1580860886,674
1580860887,674
1580860888,674
1580860889,675
1580860890,675
1580860891,676
1580860892,676
1580860894,676
1580860895,676
1580860896,677
1580860897,677
1580860898,677
1580860899,678
1580860900,678
1580860901,678
1580860902,677
1580860903,677
1580860904,677
1580860905,677
1580860906,677
1580860907,677
1580860908,677
1580860909,677
1580860910,676
1580860911,676
1580860912,675
1580860913,675
1580860914,675
1580860915,675
1580860916,675
1580860917,675
1580860918,675
1580860919,675
1580860920,675
1580860921,675
1580860922,675
1580860923,675
1580860924,675
1580860925,675
1580860926,675
1580860927,675
1580860928,675
1580860929,675
1580860930,675
1580860932,675
1580860933,675
1580860934,676
1580860935,676
1580860936,676
1580860937,676
1580860938,676
1580860939,676
1580860940,676
1580860941,676
1580860942,676
1580860943,676
1580860944,676
1580860945,676
1580860946,676
1580860947,676
1580860948,676
1580860949,676
1580860950,677
1580860951,677
1580860952,677
1580860953,677
1580860954,678
1580860955,678
1580860956,678
1580860957,679
1580860958,679
1580860959,679
1580860960,679
1580860961,679
1580860962,679
1580860963,679
1580860964,678
1580860965,678
1580860966,678
1580860967,678
1580860968,678
1580860969,678
1580860971,678
1580860972,678
1580860973,678
1580860974,678
1580860975,679
1580860976,679
1580860977,679
1580860978,680
1580860979,680
1580860980,681
1580860981,681
1580860982,681
1580860983,681
1580860984,681
1580860985,682
1580860986,682
1580860987,682
1580860988,682
1580860989,682
1580860990,682
1580860991,682
1580860992,682
1580860993,682
1580860994,682
1580860995,681
1580860996,681
1580860997,681
1580860998,681
1580860999,681
1580861000,680
1580861001,680
1580861002,680
1580861003,680
1580861004,680
1580861005,680
1580861006,681
1580861007,681
1580861009,681
1580861010,681
1580861011,681
1580861012,681
1580861013,681
1580861014,681
1580861015,681
1580861016,681
1580861017,681
1580861018,681
1580861019,681
1580861020,681
1580861021,681
1580861022,681
1580861023,682
1580861024,682
1580861025,682
1580861026,682
1580861027,682
1580861028,682
1580861029,682
1580861030,682
1580861031,682
1580861032,682
1580861033,682
1580861034,683
1580861035,683
1580861036,683
1580861037,684
1580861038,684
1580861039,684
1580861040,684
1580861041,685
1580861042,685
1580861043,686
1580861044,686
1580861045,686
1580861046,686
1580861048,686
1580861049,685
1580861050,685
1580861051,684
1580861052,684
1580861053,683
1580861054,683
1580861055,683
1580861056,683
1580861057,683
1580861058,683
1580861059,683
1580861060,683
1580861061,683
1580861062,683
1580861063,683
1580861064,683
1580861065,684
1580861066,684
1580861067,685
1580861068,685
1580861069,686
1580861070,686
1580861071,686
1580861072,686
1580861073,686
1580861074,685
1580861075,685
1580861076,685
1580861077,685
1580861078,685
1580861079,685
1580861080,685
1580861081,685
1580861082,685
1580861083,685
1580861084,685
1580861086,686
1580861087,685
1580861088,685
1580861089,685
1580861090,685
1580861091,686
1580861092,686
1580861093,686
1580861094,686
1580861095,686
1580861096,687
1580861097,687
1580861098,687
1580861099,687
1580861100,687
1580861101,687
1580861102,688
1580861103,687
1580861104,687
1580861105,687
1580861106,686
1580861107,686
1580861108,686
1580861109,686
1580861110,686
1580861111,686
1580861112,686
1580861113,686
1580861114,686
1580861115,686
1580861116,686
1580861117,686
1580861118,686
1580861119,687
1580861120,687
1580861121,687
1580861122,687
1580861124,687
1580861125,687
1580861126,687
1580861127,686
1580861128,686
1580861129,686
1580861130,686
1580861131,686
1580861132,686
1580861133,686
1580861134,686
1580861135,687
1580861136,687
1580861137,687
1580861138,687
1580861139,687
1580861140,686
1580861141,686
1580861142,686
1580861143,686
1580861144,685
1580861145,685
1580861146,685
1580861147,685
1580861148,685
1580861149,685
1580861150,685
1580861151,685
1580861152,685
1580861153,686
1580861154,686
1580861155,686
1580861156,686
1580861157,686
1580861158,686
1580861159,686
1580861160,687
1580861162,687
1580861163,687
1580861164,687
1580861165,687
1580861166,688
1580861167,687
1580861168,687
1580861169,687
1580861170,687
1580861171,687
1580861172,686
1580861173,686
1580861174,686
1580861175,686
1580861176,686
1580861177,687
1580861178,687
1580861179,688
1580861180,688
1580861181,688
1580861182,688
1580861183,688
1580861184,688
1580861185,688
1580861186,688
1580861187,688
1580861188,688
1580861189,688
1580861190,688
1580861191,688
1580861192,688
1580861193,688
1580861194,688
1580861195,688
1580861196,688
1580861197,688
1580861198,688
1580861199,688
1580861201,689
1580861202,689
1580861203,689
1580861204,689
1580861205,689
1580861206,689
1580861207,689
1580861208,689
