UNIXTIME,CO2
1583967603,402.00
1583967604,402.00
1583967605,402.00
1583967606,402.00
1583967607,402.00
1583967608,402.00
1583967609,401.00
1583967610,401.00
1583967611,401.00
1583967612,401.00
1583967613,401.00
1583967614,401.00
1583967615,401.00
1583967616,401.00
1583967617,401.00
1583967618,401.00
1583967619,401.00
1583967620,401.00
1583967621,401.00
1583967622,401.00
1583967623,401.00
1583967624,401.00
1583967625,401.00
1583967626,402.00
1583967627,402.00
1583967628,403.00
1583967629,402.00
1583967630,402.00
1583967631,402.00
1583967632,401.00
1583967633,401.00
1583967634,401.00
1583967635,401.00
1583967636,401.00
1583967637,401.00
1583967638,400.00
1583967639,400.00
1583967640,400.00
1583967641,400.00
1583967642,401.00
1583967643,401.00
1583967644,401.00
1583967645,401.00
1583967646,401.00
1583967647,401.00
1583967648,401.00
1583967649,402.00
1583967650,402.00
1583967651,403.00
1583967652,403.00
1583967653,403.00
1583967654,403.00
1583967655,402.00
1583967656,402.00
1583967657,402.00
1583967658,402.00
1583967659,402.00
1583967660,402.00
1583967661,401.00
1583967662,401.00
1583967663,401.00
1583967664,401.00
1583967665,401.00
1583967666,401.00
1583967667,401.00
1583967668,401.00
1583967669,401.00
1583967670,401.00
1583967671,401.00
1583967672,402.00
1583967673,402.00
1583967674,402.00
1583967675,402.00
1583967676,402.00
1583967677,402.00
1583967678,401.00
1583967679,401.00
1583967680,401.00
1583967681,400.00
1583967682,400.00
1583967683,400.00
1583967684,400.00
1583967685,400.00
1583967686,400.00
1583967687,400.00
1583967688,400.00
1583967689,400.00
1583967690,400.00
1583967691,401.00
1583967692,401.00
1583967693,401.00
1583967694,401.00
1583967695,401.00
1583967696,402.00
1583967697,402.00
1583967698,402.00
1583967699,402.00
1583967700,402.00
1583967701,402.00
1583967702,402.00
1583967703,401.00
1583967704,401.00
1583967705,401.00
1583967706,401.00
1583967707,401.00
1583967708,401.00
1583967709,401.00
1583967710,401.00
1583967711,401.00
1583967712,401.00
1583967713,401.00
1583967714,401.00
1583967715,401.00
1583967716,401.00
1583967717,401.00
1583967718,401.00
1583967719,401.00
1583967720,401.00
1583967721,401.00
1583967722,402.00
1583967723,402.00
1583967724,402.00
1583967725,402.00
1583967726,402.00
1583967727,402.00
1583967728,402.00
1583967729,402.00
1583967730,402.00
1583967731,402.00
1583967732,402.00
1583967733,402.00
1583967734,402.00
1583967735,402.00
1583967736,402.00
1583967737,402.00
1583967738,402.00
1583967739,402.00
1583967740,402.00
1583967741,402.00
1583967742,402.00
1583967743,402.00
1583967744,402.00
1583967745,402.00
1583967746,402.00
1583967747,402.00
1583967748,402.00
1583967749,402.00
1583967750,402.00
1583967751,402.00
1583967752,402.00
1583967753,402.00
1583967754,402.00
1583967755,402.00
1583967756,402.00
1583967757,402.00
1583967758,402.00
1583967759,402.00
1583967760,402.00
1583967761,402.00
1583967762,403.00
1583967763,403.00
1583967764,403.00
1583967765,403.00
1583967766,403.00
1583967767,403.00
1583967768,403.00
1583967769,403.00
1583967770,403.00
1583967771,402.00
1583967772,402.00
1583967773,402.00
1583967774,402.00
1583967775,402.00
1583967776,402.00
1583967777,402.00
1583967778,402.00
1583967779,402.00
1583967780,403.00
1583967781,403.00
1583967782,403.00
1583967783,403.00
1583967784,403.00
1583967785,403.00
1583967786,403.00
1583967787,403.00
1583967788,403.00
1583967789,403.00
1583967790,403.00
1583967791,403.00
1583967792,403.00
1583967793,403.00
1583967794,403.00
1583967795,403.00
1583967796,403.00
1583967797,403.00
1583967798,403.00
1583967799,403.00
1583967800,403.00
1583967801,403.00
1583967802,403.00
1583967803,403.00
1583967804,404.00
1583967805,404.00
1583967806,404.00
1583967807,404.00
1583967808,404.00
1583967809,405.00
1583967810,405.00
1583967811,406.00
1583967812,406.00
1583967813,405.00
1583967814,405.00
1583967815,404.00
1583967816,403.00
1583967817,403.00
1583967818,403.00
1583967819,403.00
1583967820,403.00
1583967821,403.00
1583967822,403.00
1583967823,403.00
1583967824,403.00
1583967825,402.00
1583967826,402.00
1583967827,402.00
1583967828,401.00
1583967829,401.00
1583967830,401.00
1583967831,401.00
1583967832,402.00
1583967833,402.00
1583967834,402.00
1583967835,402.00
1583967836,402.00
1583967837,402.00
1583967838,401.00
1583967839,401.00
1583967840,401.00
1583967841,401.00
1583967842,401.00
1583967843,401.00
1583967844,401.00
1583967845,401.00
1583967846,402.00
1583967847,402.00
1583967848,402.00
1583967849,402.00
1583967850,402.00
1583967851,402.00
1583967852,402.00
1583967853,402.00
1583967854,402.00
1583967855,402.00
1583967856,402.00
1583967857,402.00
1583967858,402.00
1583967859,402.00
1583967860,402.00
1583967861,402.00
1583967862,402.00
1583967863,402.00
1583967864,402.00
1583967865,402.00
1583967866,402.00
1583967867,402.00
1583967868,402.00
1583967869,402.00
1583967870,402.00
1583967871,402.00
1583967872,402.00
1583967873,403.00
1583967874,403.00
1583967875,402.00
1583967876,402.00
1583967877,402.00
1583967878,402.00
1583967879,402.00
1583967880,401.00
1583967881,401.00
1583967882,401.00
1583967883,401.00
1583967884,401.00
1583967885,401.00
1583967886,402.00
1583967887,402.00
1583967888,401.00
1583967889,401.00
1583967890,401.00
1583967891,401.00
1583967892,401.00
1583967893,401.00
1583967894,401.00
1583967895,401.00
1583967896,401.00
1583967897,401.00
1583967898,402.00
1583967899,402.00
1583967900,403.00
1583967901,403.00
1583967902,404.00
1583967903,404.00
1583967904,404.00
1583967905,404.00
1583967906,403.00
1583967907,403.00
1583967908,403.00
1583967909,402.00
1583967910,402.00
1583967911,402.00
1583967912,402.00
1583967913,402.00
1583967914,403.00
1583967915,403.00
1583967916,403.00
1583967917,403.00
1583967918,403.00
1583967919,403.00
1583967920,403.00
1583967921,403.00
1583967922,403.00
1583967923,403.00
1583967924,403.00
1583967925,403.00
1583967926,404.00
1583967927,404.00
1583967928,404.00
