UNIXTIME,CO2
1583154001,575.00
1583154002,575.00
1583154003,575.00
1583154004,576.00
1583154005,576.00
1583154006,576.00
1583154007,576.00
1583154008,576.00
1583154009,576.00
1583154010,576.00
1583154011,576.00
1583154012,575.00
1583154013,575.00
1583154014,575.00
1583154015,575.00
1583154016,575.00
1583154017,575.00
1583154018,575.00
1583154019,575.00
1583154020,574.00
1583154021,574.00
1583154022,574.00
1583154023,574.00
1583154024,574.00
1583154025,574.00
1583154026,574.00
1583154027,574.00
1583154028,574.00
1583154029,575.00
1583154030,575.00
1583154031,575.00
1583154032,575.00
1583154033,575.00
1583154034,576.00
1583154035,576.00
1583154036,576.00
1583154037,576.00
1583154038,576.00
1583154039,577.00
1583154040,577.00
1583154041,577.00
1583154042,578.00
1583154043,578.00
1583154044,578.00
1583154045,578.00
1583154046,578.00
1583154047,578.00
1583154048,578.00
1583154049,578.00
1583154050,578.00
1583154051,577.00
1583154052,577.00
1583154053,577.00
1583154054,577.00
1583154055,577.00
1583154056,577.00
1583154057,577.00
1583154058,576.00
1583154059,576.00
1583154060,576.00
1583154061,576.00
1583154062,576.00
1583154063,576.00
1583154064,576.00
1583154065,576.00
1583154066,575.00
1583154067,575.00
1583154068,575.00
1583154069,575.00
1583154070,575.00
1583154071,575.00
1583154072,575.00
1583154073,575.00
1583154074,575.00
1583154075,575.00
1583154076,576.00
1583154077,575.00
1583154078,575.00
1583154079,575.00
1583154080,575.00
1583154081,575.00
1583154082,575.00
1583154083,575.00
1583154084,575.00
1583154085,575.00
1583154086,575.00
1583154087,575.00
1583154088,575.00
1583154089,575.00
1583154090,575.00
1583154091,575.00
1583154092,575.00
1583154093,575.00
1583154094,576.00
1583154095,576.00
1583154096,576.00
1583154097,576.00
1583154098,577.00
1583154099,577.00
1583154100,577.00
1583154101,578.00
1583154102,578.00
1583154103,578.00
1583154104,578.00
1583154105,578.00
1583154106,578.00
1583154107,578.00
1583154108,578.00
1583154109,578.00
1583154110,578.00
1583154111,578.00
1583154112,578.00
1583154113,578.00
1583154114,578.00
1583154115,578.00
1583154116,579.00
1583154117,579.00
1583154118,579.00
1583154119,579.00
1583154120,579.00
1583154121,579.00
1583154122,579.00
1583154123,579.00
1583154124,579.00
1583154125,579.00
1583154126,579.00
1583154127,578.00
1583154128,578.00
