UNIXTIME,CO2
1583060401.0,1.0
1583060402.0,1.0
1583060403.0,1.0
1583060404.0,1.0
1583060405.0,1.0
1583060406.0,1.0
1583060407.0,1.0
1583060408.0,1.0
1583060409.0,1.0
1583060410.0,1.0
1583060411.0,1.0
1583060412.0,1.0
1583060413.0,1.0
1583060414.0,1.0
1583060415.0,1.0
1583060416.0,1.0
1583060417.0,1.0
1583060418.0,1.0
1583060419.0,1.0
1583060420.0,1.0
1583060421.0,1.0
1583060422.0,1.0
1583060423.0,1.0
1583060424.0,1.0
1583060425.0,1.0
1583060426.0,1.0
1583060427.0,1.0
1583060428.0,1.0
1583060429.0,1.0
1583060430.0,1.0
1583060431.0,1.0
1583060432.0,1.0
1583060433.0,1.0
1583060434.0,1.0
1583060435.0,1.0
1583060436.0,1.0
1583060437.0,1.0
1583060438.0,1.0
1583060439.0,1.0
1583060440.0,1.0
1583060441.0,1.0
1583060442.0,1.0
1583060443.0,1.0
1583060444.0,1.0
1583060445.0,1.0
1583060446.0,1.0
1583060447.0,1.0
1583060448.0,1.0
1583060449.0,1.0
1583060450.0,1.0
1583060451.0,1.0
1583060452.0,1.0
1583060453.0,1.0
1583060454.0,1.0
1583060455.0,1.0
1583060456.0,1.0
1583060457.0,1.0
1583060458.0,1.0
1583060459.0,1.0
1583060460.0,1.0
1583060461.0,1.0
1583060462.0,1.0
1583060463.0,1.0
1583060464.0,1.0
1583060465.0,1.0
1583060466.0,1.0
1583060467.0,1.0
1583060468.0,1.0
1583060469.0,1.0
1583060470.0,1.0
1583060471.0,1.0
1583060472.0,1.0
1583060473.0,1.0
1583060474.0,1.0
1583060475.0,1.0
1583060476.0,1.0
1583060477.0,1.0
1583060478.0,1.0
1583060479.0,1.0
1583060480.0,1.0
1583060481.0,1.0
1583060482.0,1.0
1583060483.0,1.0
1583060484.0,1.0
1583060485.0,1.0
1583060486.0,1.0
1583060487.0,1.0
1583060488.0,1.0
1583060489.0,1.0
1583060490.0,1.0
1583060491.0,1.0
1583060492.0,1.0
1583060493.0,1.0
1583060494.0,1.0
1583060495.0,1.0
1583060496.0,1.0
1583060497.0,1.0
1583060498.0,1.0
1583060499.0,1.0
1583060500.0,1.0
1583060501.0,1.0
1583060502.0,1.0
1583060503.0,1.0
1583060504.0,1.0
1583060505.0,1.0
1583060506.0,1.0
1583060507.0,1.0
1583060508.0,1.0
1583060509.0,1.0
1583060510.0,1.0
1583060511.0,1.0
1583060512.0,1.0
1583060513.0,1.0
1583060514.0,1.0
1583060515.0,1.0
1583060516.0,1.0
1583060517.0,1.0
1583060518.0,1.0
1583060519.0,1.0
1583060520.0,1.0
1583060521.0,1.0
1583060522.0,1.0
1583060523.0,1.0
1583060524.0,1.0
1583060525.0,1.0
1583060526.0,1.0
1583060527.0,1.0
1583060528.0,1.0
1583060529.0,1.0
1583060530.0,1.0
1583060531.0,1.0
1583060532.0,1.0
1583060533.0,1.0
1583060534.0,1.0
1583060535.0,1.0
1583060536.0,1.0
1583060537.0,1.0
1583060538.0,1.0
1583060539.0,1.0
1583060540.0,1.0
1583060541.0,1.0
1583060542.0,1.0
1583060543.0,1.0
1583060544.0,1.0
1583060545.0,1.0
1583060546.0,1.0
1583060547.0,1.0
1583060548.0,1.0
1583060549.0,1.0
1583060550.0,1.0
1583060551.0,1.0
1583060552.0,1.0
1583060553.0,1.0
1583060554.0,1.0
1583060555.0,1.0
1583060556.0,1.0
1583060557.0,1.0
1583060558.0,1.0
1583060559.0,1.0
1583060560.0,1.0
1583060561.0,1.0
1583060562.0,1.0
1583060563.0,1.0
1583060564.0,1.0
1583060565.0,1.0
1583060566.0,1.0
1583060567.0,1.0
1583060568.0,1.0
1583060569.0,1.0
1583060570.0,1.0
1583060571.0,1.0
1583060572.0,1.0
1583060573.0,1.0
1583060574.0,1.0
1583060575.0,1.0
1583060576.0,1.0
1583060577.0,1.0
1583060578.0,1.0
1583060579.0,1.0
1583060580.0,1.0
1583060581.0,1.0
1583060582.0,1.0
1583060583.0,1.0
1583060584.0,1.0
1583060585.0,1.0
1583060586.0,1.0
1583060587.0,1.0
1583060588.0,1.0
1583060589.0,1.0
1583060590.0,1.0
1583060591.0,1.0
1583060592.0,1.0
1583060593.0,1.0
1583060594.0,1.0
1583060595.0,1.0
1583060596.0,1.0
1583060597.0,1.0
1583060598.0,1.0
1583060599.0,1.0
1583060600.0,1.0
1583060601.0,1.0
1583060602.0,1.0
1583060603.0,1.0
1583060604.0,1.0
1583060605.0,1.0
1583060606.0,1.0
1583060607.0,1.0
1583060608.0,1.0
1583060609.0,1.0
1583060610.0,1.0
1583060611.0,1.0
1583060612.0,1.0
1583060613.0,1.0
1583060614.0,1.0
1583060615.0,1.0
1583060616.0,1.0
1583060617.0,1.0
1583060618.0,1.0
1583060619.0,1.0
1583060620.0,1.0
1583060621.0,1.0
1583060622.0,1.0
1583060623.0,1.0
1583060624.0,1.0
1583060625.0,1.0
1583060626.0,1.0
1583060627.0,1.0
1583060628.0,1.0
1583060629.0,1.0
1583060630.0,1.0
1583060631.0,1.0
1583060632.0,1.0
1583060633.0,1.0
1583060634.0,1.0
1583060635.0,1.0
1583060636.0,1.0
1583060637.0,1.0
1583060638.0,1.0
