UNIXTIME,CO2
1583308801,425
1583308802,425
1583308803,425
1583308804,424
1583308805,424
1583308806,424
1583308807,424
1583308808,424
1583308809,425
1583308810,425
1583308811,425
1583308812,426
1583308813,426
1583308814,0
1583308815,426
1583308816,426
1583308817,426
1583308818,426
1583308819,426
1583308820,425
1583308821,425
1583308822,425
1583308823,425
1583308824,425
1583308825,425
1583308826,426
1583308827,426
1583308828,426
1583308829,426
1583308830,427
1583308831,427
1583308832,350
1583308833,427
1583308834,427
1583308835,427
1583308836,427
1583308837,427
1583308838,427
1583308839,426
1583308840,426
1583308841,426
1583308842,426
1583308843,426
1583308844,426
1583308845,426
1583308846,426
1583308847,426
1583308848,426
1583308849,425
1583308850,425
1583308851,425
1583308852,425
1583308853,425
1583308854,425
1583308855,0
1583308856,425
1583308857,425
1583308858,424
1583308859,424
1583308860,424
1583308861,424
1583308862,424
1583308863,424
1583308864,424
1583308865,424
1583308866,425
1583308867,425
1583308868,425
1583308869,425
1583308870,425
1583308871,425
1583308872,425
1583308873,425
1583308874,424
1583308875,424
1583308876,424
1583308877,424
1583308878,424
1583308879,425
1583308880,425
1583308881,425
1583308882,425
1583308883,425
1583308884,5000
1583308885,425
1583308886,425
1583308887,425
1583308888,425
1583308889,425
1583308890,425
1583308891,424
1583308892,424
1583308893,424
1583308894,425
1583308895,425
1583308896,425
1583308897,425
1583308898,426
1583308899,426
1583308900,426
1583308901,426
1583308902,426
1583308903,426
1583308904,426
1583308905,426
1583308906,426
1583308907,426
1583308908,426
1583308909,426
1583308910,426
1583308911,426
1583308912,426
1583308913,426
1583308914,426
1583308915,426
1583308916,5000
1583308917,426
1583308918,426
1583308919,426
1583308920,426
1583308921,426
1583308922,426
1583308923,426
1583308924,425
1583308925,425
1583308926,425
1583308927,425
1583308928,425
1583308929,425
1583308930,425
1583308931,425
1583308932,426
1583308933,426
1583308934,426
1583308935,426
1583308936,426
1583308937,426
1583308938,426
1583308939,426
1583308940,426
1583308941,426
1583308942,426
1583308943,425
1583308944,425
1583308945,425
1583308946,425
1583308947,425
1583308948,425
1583308949,425
1583308950,425
1583308951,425
1583308952,426
1583308953,426
1583308954,426
1583308955,426
1583308956,350
1583308957,426
1583308958,426
1583308959,426
1583308960,426
1583308961,426
1583308962,426
1583308963,426
1583308964,426
1583308965,426
1583308966,426
1583308967,427
1583308968,427
1583308969,427
1583308970,426
1583308971,426
1583308972,426
1583308973,426
1583308974,426
1583308975,427
1583308976,426
1583308977,426
1583308978,426
1583308979,426
1583308980,426
1583308981,426
1583308982,426
1583308983,426
1583308984,426
1583308985,426
1583308986,426
1583308987,426
1583308988,426
1583308989,426
1583308990,426
1583308991,426
1583308992,426
1583308993,426
1583308994,426
1583308995,427
1583308996,427
1583308997,427
1583308998,427
1583308999,427
1583309000,427
1583309001,427
1583309002,427
1583309003,427
1583309004,427
1583309005,427
1583309006,427
1583309007,427
1583309008,427
1583309009,427
1583309010,427
1583309011,427
1583309012,427
1583309013,427
1583309014,427
1583309015,427
1583309016,427
1583309017,428
1583309018,428
1583309019,428
1583309020,428
1583309021,428
1583309022,428
1583309023,428
1583309024,429
1583309025,429
1583309026,429
1583309027,429
1583309028,428
1583309029,428
1583309030,428
1583309031,428
1583309032,428
1583309033,428
1583309034,428
1583309035,428
1583309036,429
1583309037,429
1583309038,429
1583309039,429
1583309040,429
1583309041,430
1583309042,430
1583309043,430
1583309044,431
1583309045,431
1583309046,431
1583309047,431
1583309048,431
1583309049,430
1583309050,430
1583309051,430
1583309052,430
1583309053,429
1583309054,429
1583309055,429
1583309056,429
1583309057,429
1583309058,429
1583309059,429
1583309060,429
1583309061,428
1583309062,428
1583309063,428
1583309064,428
1583309065,429
1583309066,429
1583309067,428
1583309068,428
1583309069,428
1583309070,428
1583309071,428
1583309072,428
1583309073,428
1583309074,429
1583309075,429
1583309076,429
1583309077,430
1583309078,430
1583309079,430
1583309080,430
1583309081,430
1583309082,430
1583309083,429
1583309084,429
1583309085,428
1583309086,428
1583309087,428
1583309088,427
1583309089,427
1583309090,427
1583309091,427
1583309092,427
1583309093,427
1583309094,427
1583309095,427
1583309096,426
1583309097,426
1583309098,426
1583309099,426
1583309100,426
1583309101,426
1583309102,426
1583309103,426
1583309104,426
1583309105,426
1583309106,426
1583309107,426
1583309108,426
1583309109,426
1583309110,426
1583309111,426
1583309112,426
1583309113,426
1583309114,426
1583309115,427
1583309116,427
1583309117,427
1583309118,427
1583309119,427
1583309120,427
1583309121,427
1583309122,427
1583309123,427
1583309124,427
1583309125,427
1583309126,427
1583309127,427
1583309128,428
1583309129,428
1583309130,428
1583309131,428
1583309132,428
1583309133,428
1583309134,428
1583309135,428
1583309136,428
1583309137,428
1583309138,428
1583309139,428
1583309140,428
1583309141,428
1583309142,427
1583309143,427
1583309144,427
1583309145,427
1583309146,427
1583309147,427
1583309148,427
1583309149,427
1583309150,427
1583309151,427
1583309152,427
1583309153,427
1583309154,427
1583309155,427
1583309156,427
1583309157,428
1583309158,428
1583309159,428
1583309160,428
1583309161,428
1583309162,428
1583309163,428
1583309164,427
1583309165,427
1583309166,427
1583309167,428
1583309168,428
1583309169,428
1583309170,428
1583309171,428
1583309172,428
1583309173,428
1583309174,428
1583309175,429
1583309176,429
1583309177,429
1583309178,429
1583309179,429
1583309180,429
1583309181,429
1583309182,429
1583309183,429
1583309184,429
1583309185,429
1583309186,429
1583309187,429
1583309188,429
1583309189,429
1583309190,429
1583309191,429
1583309192,429
1583309193,429
1583309194,429
1583309195,430
1583309196,430
1583309197,430
1583309198,430
1583309199,429
1583309200,429
1583309201,429
1583309202,429
1583309203,429
1583309204,428
1583309205,428
1583309206,428
1583309207,428
1583309208,428
1583309209,428
1583309210,428
1583309211,429
1583309212,429
1583309213,429
1583309214,429
1583309215,429
1583309216,429
1583309217,429
1583309218,429
1583309219,429
1583309220,429
1583309221,429
1583309222,429
1583309223,429
1583309224,429
1583309225,429
1583309226,429
1583309227,429
1583309228,428
1583309229,428
1583309230,428
1583309231,428
1583309232,428
1583309233,428
1583309234,428
1583309235,428
1583309236,428
1583309237,428
1583309238,429
1583309239,429
1583309240,429
1583309241,429
1583309242,429
1583309243,429
1583309244,428
1583309245,428
1583309246,428
1583309247,428
1583309248,428
1583309249,429
1583309250,429
1583309251,428
1583309252,428
1583309253,428
1583309254,428
1583309255,428
1583309256,428
1583309257,428
1583309258,428
1583309259,427
1583309260,427
1583309261,427
1583309262,427
1583309263,427
1583309264,428
1583309265,428
1583309266,427
1583309267,427
1583309268,427
1583309269,427
1583309270,428
1583309271,428
1583309272,428
1583309273,428
1583309274,428
1583309275,428
1583309276,428
1583309277,428
1583309278,428
1583309279,428
1583309280,428
1583309281,427
1583309282,427
1583309283,427
1583309284,427
1583309285,427
1583309286,427
1583309287,427
1583309288,427
1583309289,427
1583309290,427
1583309291,427
1583309292,427
1583309293,427
1583309294,427
1583309295,427
1583309296,427
1583309297,427
1583309298,427
1583309299,427
1583309300,427
1583309301,428
1583309302,428
1583309303,427
1583309304,427
1583309305,427
1583309306,427
1583309307,427
1583309308,427
1583309309,427
1583309310,427
1583309311,427
1583309312,426
1583309313,426
1583309314,426
1583309315,426
1583309316,426
1583309317,426
1583309318,426
1583309319,426
1583309320,426
1583309321,427
1583309322,427
1583309323,427
1583309324,427
1583309325,427
1583309326,427
1583309327,427
1583309328,427
1583309329,427
