UNIXTIME,CO2
1583258401,462.00
1583258402,462.00
1583258403,463.00
1583258404,463.00
1583258405,463.00
1583258406,464.00
1583258407,464.00
1583258408,464.00
1583258409,464.00
1583258410,464.00
1583258411,464.00
1583258412,464.00
1583258413,464.00
1583258414,464.00
1583258415,464.00
1583258416,464.00
1583258417,464.00
1583258418,464.00
1583258419,463.00
1583258420,463.00
1583258421,463.00
1583258422,463.00
1583258423,463.00
1583258424,463.00
1583258425,463.00
1583258426,462.00
1583258427,462.00
1583258428,462.00
1583258429,462.00
1583258430,462.00
1583258431,463.00
1583258432,463.00
1583258433,463.00
1583258434,462.00
1583258435,462.00
1583258436,462.00
1583258437,462.00
1583258438,462.00
1583258439,462.00
1583258440,462.00
1583258441,462.00
1583258442,462.00
1583258443,462.00
1583258444,462.00
1583258445,462.00
1583258446,462.00
1583258447,462.00
1583258448,462.00
1583258449,462.00
1583258450,462.00
1583258451,462.00
1583258452,462.00
1583258453,462.00
1583258454,462.00
1583258455,462.00
1583258456,462.00
1583258457,462.00
1583258458,461.00
1583258459,461.00
1583258460,461.00
1583258461,461.00
1583258462,460.00
1583258463,460.00
1583258464,460.00
1583258465,460.00
1583258466,460.00
1583258467,460.00
1583258468,460.00
1583258469,460.00
1583258470,460.00
1583258471,461.00
1583258472,461.00
1583258473,462.00
1583258474,462.00
1583258475,463.00
1583258476,463.00
1583258477,463.00
1583258478,462.00
1583258479,462.00
1583258480,462.00
1583258481,462.00
1583258482,462.00
1583258483,462.00
1583258484,463.00
1583258485,463.00
1583258486,463.00
1583258487,463.00
1583258488,463.00
1583258489,462.00
1583258490,462.00
1583258491,462.00
1583258492,462.00
1583258493,462.00
1583258494,462.00
1583258495,462.00
1583258496,462.00
1583258497,462.00
1583258498,462.00
1583258499,462.00
1583258500,463.00
1583258501,463.00
1583258502,463.00
1583258503,463.00
1583258504,463.00
1583258505,463.00
1583258506,463.00
1583258507,463.00
1583258508,463.00
1583258509,463.00
1583258510,463.00
1583258511,463.00
1583258512,463.00
1583258513,462.00
1583258514,462.00
1583258515,462.00
1583258516,462.00
1583258517,462.00
1583258518,462.00
1583258519,462.00
1583258520,462.00
1583258521,461.00
1583258522,461.00
1583258523,461.00
1583258524,461.00
1583258525,460.00
1583258526,460.00
1583258527,459.00
1583258528,459.00
1583258529,459.00
1583258530,459.00
1583258531,459.00
1583258532,459.00
1583258533,459.00
1583258534,459.00
1583258535,459.00
1583258536,459.00
1583258537,459.00
1583258538,459.00
1583258539,459.00
1583258540,460.00
1583258541,460.00
1583258542,460.00
1583258543,459.00
1583258544,459.00
1583258545,459.00
1583258546,459.00
1583258547,459.00
1583258548,459.00
1583258549,459.00
1583258550,459.00
1583258551,460.00
1583258552,460.00
1583258553,461.00
1583258554,460.00
1583258555,460.00
1583258556,460.00
1583258557,460.00
1583258558,460.00
1583258559,460.00
1583258560,460.00
1583258561,460.00
1583258562,460.00
1583258563,460.00
1583258564,460.00
1583258565,461.00
1583258566,461.00
1583258567,461.00
1583258568,461.00
1583258569,461.00
1583258570,461.00
1583258571,461.00
1583258572,461.00
1583258573,461.00
1583258574,460.00
1583258575,460.00
1583258576,460.00
1583258577,459.00
1583258578,459.00
1583258579,459.00
1583258580,459.00
1583258581,459.00
1583258582,459.00
1583258583,459.00
1583258584,459.00
1583258585,459.00
1583258586,459.00
1583258587,459.00
1583258588,460.00
1583258589,460.00
1583258590,460.00
1583258591,459.00
1583258592,459.00
1583258593,459.00
1583258594,459.00
1583258595,459.00
1583258596,458.00
1583258597,458.00
1583258598,458.00
1583258599,458.00
1583258600,458.00
1583258601,458.00
1583258602,458.00
1583258603,458.00
1583258604,458.00
1583258605,458.00
1583258606,458.00
1583258607,458.00
1583258608,458.00
1583258609,458.00
1583258610,458.00
1583258611,458.00
1583258612,458.00
1583258613,458.00
1583258614,458.00
1583258615,458.00
1583258616,458.00
1583258617,457.00
1583258618,457.00
1583258619,457.00
1583258620,457.00
1583258621,457.00
1583258622,457.00
1583258623,457.00
1583258624,456.00
1583258625,456.00
1583258626,456.00
1583258627,456.00
1583258628,456.00
1583258629,457.00
1583258630,457.00
1583258631,457.00
1583258632,457.00
1583258633,457.00
1583258634,457.00
1583258635,457.00
1583258636,458.00
1583258637,458.00
1583258638,459.00
1583258639,459.00
1583258640,460.00
1583258641,460.00
1583258642,460.00
1583258643,460.00
1583258644,460.00
1583258645,460.00
1583258646,460.00
1583258647,460.00
1583258648,460.00
1583258649,460.00
1583258650,460.00
1583258651,460.00
1583258652,460.00
1583258653,460.00
1583258654,460.00
1583258655,460.00
1583258656,460.00
