DATE,TIME,FRAC_DAYS_SINCE_JAN1,FRAC_HRS_SINCE_JAN1,EPOCH_TIME,CO2_sync,ANEMOMETER_C_sync,ANEMOMETER_UX_sync,ANEMOMETER_UY_sync,ANEMOMETER_UZ_sync,ANEMOMETER_T_sync
8/16/2019,24:50.8,227.6839213,5464.414111,1565997891,391.68,3.49E+02,2.55E+00,7.82E-01,5.45E-01,2.97E+01
8/16/2019,24:50.9,227.6839225,5464.414139,1565997891,391.56,3.50E+02,2.94E+00,5.92E-01,9.17E-01,3.02E+01
8/16/2019,24:51.0,227.6839236,5464.414167,1565997891,392.20,3.50E+02,3.45E+00,4.48E-01,9.46E-01,3.04E+01
8/16/2019,24:51.1,227.6839248,5464.414194,1565997891,392.66,3.50E+02,3.44E+00,5.19E-01,1.01E+00,3.05E+01
8/16/2019,24:51.2,227.6839259,5464.414222,1565997891,392.55,3.50E+02,3.21E+00,2.96E-01,6.81E-01,3.06E+01
8/16/2019,24:51.3,227.6839271,5464.41425,1565997891,392.24,3.50E+02,3.08E+00,9.45E-03,4.43E-01,3.06E+01
8/16/2019,24:51.4,227.6839282,5464.414278,1565997891,392.30,3.50E+02,3.63E+00,-2.40E-01,2.49E-01,3.06E+01
8/16/2019,24:51.5,227.6839294,5464.414306,1565997892,392.31,3.50E+02,3.52E+00,-1.82E-01,-2.65E-01,3.05E+01
8/16/2019,24:51.6,227.6839306,5464.414333,1565997892,391.79,3.50E+02,3.18E+00,6.70E-01,-2.29E-01,3.03E+01
8/16/2019,24:51.7,227.6839317,5464.414361,1565997892,391.56,3.50E+02,2.79E+00,1.10E-01,-1.91E-01,3.03E+01
8/16/2019,24:51.8,227.6839329,5464.414389,1565997892,391.87,3.50E+02,2.58E+00,-2.84E-01,2.36E-01,3.03E+01
8/16/2019,24:51.9,227.683934,5464.414417,1565997892,392.13,3.50E+02,2.55E+00,-2.57E-01,-9.08E-02,3.01E+01
8/16/2019,24:52.0,227.6839352,5464.414444,1565997892,391.84,3.50E+02,1.76E+00,-3.44E-01,-9.60E-01,3.00E+01
8/16/2019,24:52.1,227.6839363,5464.414472,1565997892,391.56,3.50E+02,2.29E+00,-1.06E+00,-6.55E-01,2.99E+01
8/16/2019,24:52.2,227.6839375,5464.4145,1565997892,391.24,3.50E+02,2.11E+00,-1.22E+00,-7.62E-01,2.99E+01
8/16/2019,24:52.3,227.6839387,5464.414528,1565997892,391.78,3.50E+02,2.22E+00,-1.39E+00,-1.01E+00,3.03E+01
8/16/2019,24:52.4,227.6839398,5464.414556,1565997892,391.19,3.50E+02,1.75E+00,-9.43E-01,-1.20E+00,3.04E+01
8/16/2019,24:52.5,227.683941,5464.414583,1565997893,390.78,3.50E+02,2.25E+00,-6.11E-02,-1.56E+00,3.04E+01
8/16/2019,24:52.6,227.6839421,5464.414611,1565997893,391.29,3.50E+02,3.08E+00,4.24E-01,-3.80E-01,3.05E+01
8/16/2019,24:52.7,227.6839433,5464.414639,1565997893,391.09,3.50E+02,3.09E+00,7.66E-01,-9.28E-02,2.99E+01
8/16/2019,24:52.8,227.6839444,5464.414667,1565997893,391.08,3.49E+02,2.64E+00,9.58E-01,4.20E-01,2.94E+01
8/16/2019,24:52.9,227.6839456,5464.414694,1565997893,391.29,3.49E+02,2.20E+00,1.13E+00,1.18E+00,2.96E+01
8/16/2019,24:53.0,227.6839468,5464.414722,1565997893,391.13,3.49E+02,2.26E+00,8.38E-01,2.20E+00,2.99E+01
8/16/2019,24:53.1,227.6839479,5464.41475,1565997893,390.83,3.50E+02,1.86E+00,3.76E-02,1.89E+00,3.04E+01
8/16/2019,24:53.2,227.6839491,5464.414778,1565997893,391.02,3.50E+02,2.17E+00,-3.47E-01,1.28E+00,3.03E+01
8/16/2019,24:53.3,227.6839502,5464.414806,1565997893,391.64,3.50E+02,2.92E+00,-1.43E+00,1.39E+00,3.02E+01
8/16/2019,24:53.4,227.6839514,5464.414833,1565997893,391.86,3.50E+02,2.76E+00,-2.10E+00,1.13E+00,3.01E+01
8/16/2019,24:53.5,227.6839526,5464.414861,1565997894,391.63,3.49E+02,2.37E+00,-2.37E+00,2.43E-01,2.97E+01
8/16/2019,24:53.6,227.6839537,5464.414889,1565997894,391.56,3.49E+02,1.71E+00,-3.08E+00,-6.42E-01,2.89E+01
8/16/2019,24:53.7,227.6839549,5464.414917,1565997894,391.34,3.49E+02,1.28E+00,-3.35E+00,-1.00E+00,2.89E+01
8/16/2019,24:53.8,227.683956,5464.414944,1565997894,391.37,3.49E+02,9.60E-01,-3.25E+00,-1.09E+00,2.91E+01
8/16/2019,24:53.9,227.6839572,5464.414972,1565997894,392.07,3.49E+02,1.06E+00,-3.13E+00,-1.32E+00,2.92E+01
8/16/2019,24:54.0,227.6839583,5464.415,1565997894,391.53,3.49E+02,1.19E+00,-3.08E+00,-1.29E+00,2.88E+01
8/16/2019,24:54.1,227.6839595,5464.415028,1565997894,391.23,3.49E+02,1.13E+00,-3.19E+00,-1.30E+00,2.87E+01
8/16/2019,24:54.2,227.6839607,5464.415056,1565997894,391.02,3.49E+02,1.02E+00,-3.08E+00,-1.33E+00,2.87E+01
8/16/2019,24:54.3,227.6839618,5464.415083,1565997894,391.16,3.49E+02,1.13E+00,-2.80E+00,-1.54E+00,2.92E+01
8/16/2019,24:54.4,227.683963,5464.415111,1565997894,391.45,3.49E+02,1.40E+00,-2.08E+00,-1.39E+00,2.95E+01
8/16/2019,24:54.5,227.6839641,5464.415139,1565997895,391.02,3.49E+02,1.34E+00,-2.70E+00,-7.96E-01,2.95E+01
8/16/2019,24:54.6,227.6839653,5464.415167,1565997895,391.15,3.49E+02,1.49E+00,-3.00E+00,-1.03E+00,2.97E+01
8/16/2019,24:54.7,227.6839664,5464.415194,1565997895,390.76,3.50E+02,1.32E+00,-3.13E+00,-7.69E-01,2.99E+01
8/16/2019,24:54.8,227.6839676,5464.415222,1565997895,390.91,3.49E+02,1.08E+00,-2.99E+00,-7.65E-01,2.99E+01
8/16/2019,24:54.9,227.6839688,5464.41525,1565997895,391.34,3.49E+02,8.42E-01,-2.57E+00,-1.03E+00,2.98E+01
8/16/2019,24:55.0,227.6839699,5464.415278,1565997895,391.10,3.50E+02,8.27E-01,-2.52E+00,-6.45E-01,3.02E+01
