unixtime,ws,wd,co2,temp
1625604925,4,83,419,41
1625604928,5,66,467,41
1625604931,6,76,502,41
1625604934,7,74,488,41
1625604937,7,69,466,41
1625604940,6,80,448,41
1625604943,6,86,455,41
1625604946,9,86,449,41
1625604949,10,91,444,41
1625604952,9,82,415,41
1625604955,7,99,465,41
1625604958,4,91,519,41
1625604961,4,89,370,41
1625604964,7,117,431,42
1625604967,9,121,377,42
1625604970,7,119,390,42
1625604973,7,121,398,42
1625604976,8,117,390,42
1625604979,8,118,386,42
1625604982,8,116,396,42
1625604985,8,74,410,42
1625604988,8,125,415,42
1625604991,11,117,420,42
1625604994,15,119,419,42
1625604997,12,116,396,42
1625605000,16,46,383,42
1625605003,17,67,352,42
1625605006,21,65,350,41
1625605009,17,39,395,41
1625605012,11,21,397,41
1625605015,8,46,415,41
1625605018,6,14,371,41
1625605021,12,17,357,41
1625605024,14,90,362,41
1625605027,12,17,545,41
1625605030,11,45,643,41
1625605033,9,26,623,41
1625605036,8,35,545,41
1625605039,8,19,503,41
1625605042,11,24,408,41
1625605045,10,38,425,41
1625605048,7,20,312,41
1625605051,8,14,541,41
1625605054,11,12,485,41
1625605057,12,13,510,41
1625605060,14,44,438,41
1625605063,10,16,451,41
1625605066,5,38,594,40
1625605069,5,27,646,40
1625605072,6,62,519,41
1625605075,7,94,471,41
1625605078,6,78,357,41
1625605081,7,79,399,41
1625605084,6,71,436,41
1625605087,4,124,414,41
1625605090,3,131,443,41
1625605093,3,62,388,41
1625605096,2,119,405,41
1625605099,6,63,452,41
1625605102,7,58,392,41
1625605105,6,58,381,41
1625605108,7,55,395,41
1625605111,9,45,371,41
1625605114,11,43,377,41
1625605117,12,54,395,41
1625605120,11,52,413,41
1625605123,11,41,412,41
1625605126,10,32,415,41
1625605129,10,47,434,41
1625605132,12,55,407,41
1625605135,10,33,463,41
1625605138,8,57,429,41
1625605141,5,55,390,41
1625605144,5,56,427,41
1625605147,5,54,435,41
1625605150,5,59,431,41
1625605153,9,54,374,41
1625605156,13,54,502,41
1625605159,13,49,459,41
1625605162,11,37,389,41
1625605165,9,33,409,41
1625605168,8,17,457,41
1625605171,6,19,490,41
1625605174,5,19,557,41
1625605177,9,15,531,41
1625605180,11,60,415,41
1625605183,11,17,328,41
1625605186,7,16,430,41
1625605189,5,20,515,41
1625605192,4,20,595,41
1625605195,8,46,609,41
1625605198,10,29,360,41
