"unixtime","datetime","date","ws","wd","co2","temp"
1625604925,2021-07-06 20:55:25,"07/06/2021 20:55",1.34,83,419,41
1625604928,2021-07-06 20:55:28,"07/06/2021 20:55",1.68,66,467,41
1625604931,2021-07-06 20:55:31,"07/06/2021 20:55",2.01,76,502,41
1625604934,2021-07-06 20:55:34,"07/06/2021 20:55",2.35,74,488,41
1625604937,2021-07-06 20:55:37,"07/06/2021 20:55",2.35,69,466,41
1625604940,2021-07-06 20:55:40,"07/06/2021 20:55",2.01,80,448,41
1625604943,2021-07-06 20:55:43,"07/06/2021 20:55",2.01,86,455,41
1625604946,2021-07-06 20:55:46,"07/06/2021 20:55",3.02,86,449,41
1625604949,2021-07-06 20:55:49,"07/06/2021 20:55",3.35,91,444,41
1625604952,2021-07-06 20:55:52,"07/06/2021 20:55",3.02,82,415,41
1625604955,2021-07-06 20:55:55,"07/06/2021 20:55",2.35,99,465,41
1625604958,2021-07-06 20:55:58,"07/06/2021 20:55",1.34,91,519,41
1625604961,2021-07-06 20:56:01,"07/06/2021 20:56",1.34,89,370,41
1625604964,2021-07-06 20:56:04,"07/06/2021 20:56",2.35,117,431,42
1625604967,2021-07-06 20:56:07,"07/06/2021 20:56",3.02,121,377,42
1625604970,2021-07-06 20:56:10,"07/06/2021 20:56",2.35,119,390,42
1625604973,2021-07-06 20:56:13,"07/06/2021 20:56",2.35,121,398,42
1625604976,2021-07-06 20:56:16,"07/06/2021 20:56",2.68,117,390,42
1625604979,2021-07-06 20:56:19,"07/06/2021 20:56",2.68,118,386,42
1625604982,2021-07-06 20:56:22,"07/06/2021 20:56",2.68,116,396,42
1625604985,2021-07-06 20:56:25,"07/06/2021 20:56",2.68,74,410,42
1625604988,2021-07-06 20:56:28,"07/06/2021 20:56",2.68,125,415,42
1625604991,2021-07-06 20:56:31,"07/06/2021 20:56",3.69,117,420,42
1625604994,2021-07-06 20:56:34,"07/06/2021 20:56",5.03,119,419,42
1625604997,2021-07-06 20:56:37,"07/06/2021 20:56",4.02,116,396,42
1625605000,2021-07-06 20:56:40,"07/06/2021 20:56",5.36,46,383,42
1625605003,2021-07-06 20:56:43,"07/06/2021 20:56",5.7,67,352,42
1625605006,2021-07-06 20:56:46,"07/06/2021 20:56",7.04,65,350,41
1625605009,2021-07-06 20:56:49,"07/06/2021 20:56",5.7,39,395,41
1625605012,2021-07-06 20:56:52,"07/06/2021 20:56",3.69,21,397,41
1625605015,2021-07-06 20:56:55,"07/06/2021 20:56",2.68,46,415,41
1625605018,2021-07-06 20:56:58,"07/06/2021 20:56",2.01,14,371,41
1625605021,2021-07-06 20:57:01,"07/06/2021 20:57",4.02,17,357,41
1625605024,2021-07-06 20:57:04,"07/06/2021 20:57",4.69,90,362,41
1625605027,2021-07-06 20:57:07,"07/06/2021 20:57",4.02,17,545,41
1625605030,2021-07-06 20:57:10,"07/06/2021 20:57",3.69,45,643,41
