unixtime,ws,wd,co2,temp
1625851236,11,199,419,40
1625851239,10,207,468,40
1625851242,9,198,458,40
1625851245,9,200,419,40
1625851248,9,203,387,40
1625851251,8,233,389,40
1625851254,6,213,370,40
1625851257,6,230,355,40
1625851260,6,213,345,40
1625851263,5,205,333,40
1625851266,6,203,331,40
1625851269,4,155,362,40
1625851272,4,119,378,40
1625851275,3,95,381,40
1625851278,3,87,421,40
1625851281,3,109,423,40
1625851284,5,64,357,40
1625851287,5,90,350,40
1625851290,6,95,343,40
1625851293,6,129,361,41
1625851296,9,209,358,41
1625851299,9,159,373,41
1625851302,9,242,384,41
1625851305,8,261,381,41
1625851308,8,225,385,41
1625851311,6,233,387,41
1625851314,6,160,380,41
1625851317,6,257,381,41
1625851320,7,219,386,41
1625851323,8,242,390,41
1625851326,9,253,394,41
1625851329,9,244,400,41
1625851332,6,207,404,41
1625851335,6,254,401,41
1625851338,6,279,460,41
1625851341,5,231,406,41
1625851344,7,194,450,41
1625851347,9,211,430,41
1625851350,11,213,340,41
1625851353,13,227,349,41
1625851356,13,207,441,41
1625851359,12,209,506,40
1625851362,12,218,438,40
1625851365,8,220,499,40
1625851368,8,223,412,41
1625851371,9,207,412,41
1625851374,6,223,430,40
1625851377,7,228,429,40
1625851380,9,195,415,41
1625851383,8,215,390,41
1625851386,11,207,414,40
1625851389,11,223,373,40
1625851392,11,205,257,40
1625851395,8,214,191,40
1625851398,7,226,188,40
1625851401,7,220,212,40
1625851404,10,250,254,40
1625851407,7,196,264,40
1625851410,6,232,315,40
1625851413,7,218,389,40
1625851416,7,218,276,41
1625851419,6,221,447,40
1625851422,5,211,426,40
1625851425,6,216,341,41
1625851428,6,216,358,41
1625851431,6,207,389,41
1625851434,5,211,370,41
1625851437,4,211,353,41
1625851440,4,213,385,41
1625851443,3,222,382,41
1625851446,3,228,397,41
1625851449,5,220,348,41
1625851452,3,220,390,41
1625851455,4,220,486,41
1625851458,5,235,390,41
1625851461,6,249,333,41
1625851464,7,267,348,41
1625851467,7,235,377,41
1625851470,6,247,383,41
1625851473,3,243,385,41
1625851476,4,243,386,41
1625851479,3,205,366,41
1625851482,2,225,389,41
1625851485,2,256,394,41
1625851488,2,257,387,41
1625851491,3,255,393,41
1625851494,4,245,399,42
1625851497,5,248,376,42
1625851500,6,244,392,42
1625851503,5,233,393,42
1625851506,6,223,393,42
1625851509,6,246,390,42
1625851512,6,217,381,42
