unixtime,ws,wd,co2,temp
1625851714,4,311,56,37
1625851717,4,309,91,37
1625851720,6,308,165,37
1625851723,8,296,138,37
1625851726,8,298,153,36
1625851729,10,319,233,36
1625851732,7,308,270,36
1625851735,5,302,202,36
1625851738,4,296,106,36
1625851741,5,260,49,36
1625851744,6,224,70,36
1625851747,6,225,97,36
1625851750,6,220,104,37
1625851753,5,211,122,37
1625851756,4,211,114,37
1625851759,4,215,115,37
1625851762,5,218,122,37
1625851765,4,223,124,37
1625851768,6,223,127,37
1625851771,6,304,140,37
1625851774,8,296,157,37
1625851777,5,295,151,37
1625851780,5,297,234,37
1625851783,6,298,326,37
1625851786,7,285,199,36
1625851789,7,285,118,36
1625851792,7,292,35,36
1625851795,7,314,376,36
1625851798,7,314,396,36
1625851801,6,312,272,36
1625851804,7,312,167,36
1625851807,6,312,153,36
1625851810,11,286,88,36
1625851813,9,283,0,36
1625851816,10,273,84,36
1625851819,12,265,92,36
1625851822,12,274,71,36
1625851825,9,280,185,35
1625851828,6,296,416,35
1625851831,5,296,323,35
1625851834,6,294,104,36
1625851837,8,285,87,36
1625851840,7,285,155,35
1625851843,6,285,173,35
1625851846,5,285,207,35
1625851849,7,286,165,35
1625851852,9,295,86,35
1625851855,7,310,116,35
1625851858,6,316,282,35
1625851861,6,316,337,35
1625851864,5,311,26,35
1625851867,3,311,0,35
1625851870,2,310,81,35
1625851873,1,309,154,36
1625851876,0,309,173,36
1625851879,0,309,165,36
1625851882,0,309,165,36
1625851885,0,310,173,36
1625851888,5,273,168,36
1625851891,6,248,164,36
1625851894,5,247,159,36
1625851897,4,247,153,36
1625851900,4,246,167,36
1625851903,3,269,185,36
1625851906,2,269,191,36
1625851909,3,269,242,36
1625851912,4,269,184,36
1625851915,7,232,244,37
1625851918,5,220,180,37
1625851921,4,219,126,37
1625851924,6,274,228,37
1625851927,5,275,149,37
1625851930,3,265,137,37
1625851933,3,264,185,37
1625851936,4,264,203,37
1625851939,8,264,207,37
1625851942,8,270,161,37
1625851945,6,267,168,37
1625851948,7,298,221,36
1625851951,8,304,289,36
1625851954,10,283,293,36
1625851957,10,292,212,36
1625851960,7,285,166,36
1625851963,7,283,194,36
1625851966,5,266,195,36
1625851969,7,289,191,36
1625851972,12,289,158,36
1625851975,10,281,0,36
1625851978,8,281,10,36
1625851981,7,238,319,35
1625851984,11,324,302,35
1625851987,10,282,178,35
1625851990,8,285,126,35
1625851993,7,285,89,36
1625851996,8,262,15,36
1625851999,6,268,25,36
1625852002,6,268,139,36
1625852005,5,268,162,36
1625852008,6,268,84,36
1625852011,9,308,113,36
1625852014,8,298,123,36
1625852017,8,284,296,36
1625852020,6,273,114,36
1625852023,5,265,155,36
1625852026,6,266,194,36
1625852029,7,253,137,36
1625852032,5,250,100,36
1625852035,6,306,190,36
1625852038,5,304,170,36
1625852041,4,304,121,36
1625852044,1,304,116,36
1625852047,1,304,139,36
1625852050,0,304,123,36
1625852053,1,304,158,36
1625852056,2,303,141,36
1625852059,3,295,40,36
1625852062,4,286,196,36
1625852065,4,283,132,36
1625852068,4,278,149,36
1625852071,2,264,232,36
1625852074,3,265,244,37
1625852077,3,265,111,37
1625852080,2,264,170,37
1625852083,5,263,140,37
1625852086,7,274,109,37
1625852089,8,282,144,37
1625852092,9,292,157,36
1625852095,5,271,163,36
1625852098,4,253,163,36
1625852101,4,253,185,36
1625852104,4,279,213,36
1625852107,4,279,312,36
1625852110,5,279,95,36
1625852113,4,279,0,36
1625852116,5,279,0,36
1625852119,6,285,5,36
1625852122,8,286,10,36
1625852125,7,284,0,36
1625852128,7,285,115,36
1625852131,6,285,106,36
1625852134,5,285,184,36
1625852137,5,286,237,36
1625852140,4,285,241,36
1625852143,5,286,178,36
1625852146,3,286,199,36
1625852149,4,286,10,36
1625852152,5,253,4,36
1625852155,3,253,36,36
1625852158,5,253,54,36
1625852161,5,253,99,36
1625852164,3,253,141,36
1625852167,3,253,216,36
1625852170,2,253,261,36
1625852173,2,253,207,36
1625852176,4,253,172,36
1625852179,4,253,191,36
1625852182,3,253,194,36
1625852185,2,253,254,36
1625852188,2,253,123,36
1625852191,1,253,95,36
1625852194,0,253,128,36
1625852197,2,251,127,36
1625852200,1,251,105,37
1625852203,3,251,95,37
1625852206,2,251,131,37
1625852209,3,251,138,37
1625852212,2,251,144,37
1625852215,2,249,147,37
1625852218,2,249,91,37
1625852221,3,252,168,37
1625852224,6,277,250,37
1625852227,6,281,223,37
1625852230,6,290,144,37
1625852233,5,290,179,37
1625852236,5,290,293,37
1625852239,5,290,109,37
1625852242,5,290,185,37
1625852245,7,289,0,37
1625852248,7,296,0,37
1625852251,7,280,71,36
1625852254,5,270,65,36
1625852257,6,271,89,36
1625852260,7,297,164,36
1625852263,5,297,197,36
1625852266,5,297,136,36
1625852269,9,294,167,36
1625852272,9,281,0,36
1625852275,11,285,44,36
1625852278,9,283,337,36
1625852281,7,277,358,36
1625852284,6,279,216,36
1625852287,7,292,236,36
1625852290,5,292,224,36
1625852293,6,300,254,36
1625852296,6,300,162,36
1625852299,7,300,99,36
1625852302,10,297,103,36
1625852305,9,301,0,36
1625852308,10,304,242,35
1625852311,9,300,196,36
1625852314,10,288,139,35
1625852317,8,285,228,35
1625852320,5,285,260,35
1625852323,5,285,303,35
1625852326,4,285,271,35
1625852329,3,285,261,35
1625852332,2,285,235,35
1625852335,3,285,166,36
1625852338,2,285,114,36
1625852341,3,285,122,36
1625852344,4,286,174,36
1625852347,4,286,242,36
1625852350,4,286,228,36
1625852353,3,286,187,36
1625852356,3,286,105,36
1625852359,3,286,96,36
1625852362,2,286,122,36
1625852365,2,286,135,36
1625852368,3,286,152,36
1625852371,3,286,155,36
1625852374,5,286,155,36
1625852377,7,298,165,36
1625852380,7,307,275,36
1625852383,6,304,264,36
1625852386,6,302,143,36
1625852389,6,296,176,36
1625852392,7,295,102,36
1625852395,7,295,58,36
1625852398,6,284,119,36
1625852401,4,278,158,36
1625852404,2,278,157,36
1625852407,3,278,63,36
1625852410,2,278,97,36
1625852413,4,278,184,36
1625852416,3,278,202,36
1625852419,3,280,173,36
1625852422,5,330,132,37
1625852425,5,332,182,36
1625852428,7,295,135,37
1625852431,6,280,113,36
1625852434,10,236,118,36
1625852437,9,236,83,36
1625852440,7,260,88,36
1625852443,5,264,127,36
1625852446,4,264,165,36
1625852449,4,264,186,36
1625852452,4,261,240,36
1625852455,2,261,227,36
1625852458,3,261,256,36
1625852461,2,261,226,37
1625852464,5,261,181,37
1625852467,6,261,118,37
1625852470,6,260,8,37
1625852473,5,260,84,37
1625852476,5,260,185,37
1625852479,4,260,174,37
1625852482,3,260,204,37
1625852485,3,260,294,36
1625852488,4,260,229,37
1625852491,9,224,152,37
1625852494,6,210,183,37
1625852497,6,210,132,37
1625852500,6,220,113,37
1625852503,7,220,71,37
1625852506,6,222,168,37
1625852509,6,222,231,37
1625852512,6,224,271,37
1625852515,5,264,195,37
1625852518,5,264,195,37
1625852521,3,264,178,37
1625852524,5,264,185,37
1625852527,4,264,223,37
1625852530,5,265,117,37
1625852533,5,265,166,37
1625852536,7,264,111,37
1625852539,4,263,91,37
1625852542,4,264,158,37
1625852545,4,264,121,37
1625852548,4,264,198,37
1625852551,3,264,187,37
1625852554,4,264,144,37
1625852557,4,264,120,37
1625852560,5,309,139,37
1625852563,4,272,188,37
1625852566,6,272,8,37
1625852569,4,315,101,37
1625852572,4,316,56,37
1625852575,4,315,46,37
1625852578,4,304,35,37
1625852581,4,304,86,37
1625852584,5,304,115,37
1625852587,5,303,119,37
1625852590,4,303,116,37
1625852593,2,303,152,37
1625852596,2,303,138,37
1625852599,2,303,131,37
1625852602,2,303,154,37
1625852605,2,303,123,37
1625852608,1,303,122,37
1625852611,1,303,131,37
1625852614,0,303,115,37
1625852617,0,303,101,37
1625852620,3,303,110,37
1625852623,5,300,108,37
1625852626,6,257,101,37
1625852629,6,257,116,37
1625852632,8,261,109,37
1625852635,12,288,106,37
1625852638,14,288,102,37
1625852641,11,294,128,36
1625852644,9,286,96,36
1625852647,8,304,155,36
1625852650,6,300,280,36
1625852653,6,269,289,36
1625852656,4,246,140,36
1625852659,5,269,13,36
1625852662,3,270,0,36
1625852665,2,270,40,36
1625852668,3,270,88,37
1625852671,3,270,263,37
1625852674,4,269,192,37
1625852677,5,270,121,37
1625852680,5,270,212,36
1625852683,4,270,220,36
1625852686,5,270,219,36
1625852689,3,270,161,37
1625852692,3,269,140,37
1625852695,4,269,172,37
1625852698,4,269,158,37
1625852701,4,269,160,37
1625852704,4,269,149,37
1625852707,4,269,150,37
1625852710,3,269,140,37
1625852713,4,269,146,37
1625852716,3,269,159,37
1625852719,3,269,162,37
1625852722,2,269,168,37
1625852725,1,269,170,37
1625852728,1,269,183,37
1625852731,0,269,191,37
1625852734,0,269,164,37
1625852737,0,269,134,37
1625852740,0,269,120,37
1625852743,0,269,138,37
1625852746,1,269,134,37
1625852749,2,269,108,38
1625852752,6,270,109,37
1625852755,7,305,136,37
1625852758,7,312,117,37
1625852761,4,308,133,37
1625852764,4,307,50,37
1625852767,2,307,125,37
1625852770,2,307,140,37
1625852773,3,307,104,37
1625852776,4,295,97,37
1625852779,3,293,121,37
1625852782,4,283,109,37
1625852785,4,277,87,37
1625852788,3,277,2,37
1625852791,2,277,342,37
1625852794,3,280,209,38
1625852797,3,280,263,37
1625852800,4,280,173,37
1625852803,4,280,143,37
1625852806,4,280,78,37
1625852809,5,280,20,37
1625852812,4,280,117,37
1625852815,4,280,183,37
1625852818,6,280,226,37
1625852821,9,280,194,37
1625852824,8,269,54,37
1625852827,8,272,75,37
1625852830,6,273,92,37
1625852833,5,269,202,37
1625852836,4,269,222,37
1625852839,4,269,181,37
1625852842,7,273,152,37
1625852845,9,281,153,37
1625852848,10,243,62,37
1625852851,11,302,61,37
1625852854,9,302,134,36
1625852857,8,302,142,36
1625852860,7,332,153,36
1625852863,6,336,88,36
1625852866,6,251,81,36
1625852869,6,235,62,37
1625852872,4,235,76,37
1625852875,4,235,53,37
1625852878,2,235,169,37
1625852881,2,235,225,37
1625852884,0,235,132,37
1625852887,3,237,178,37
1625852890,4,319,224,37
1625852893,4,319,213,37
1625852896,4,319,227,37
1625852899,4,318,236,37
