unixtime,date,ws,wd,co2,temp
1626112597,07/12/2021 17:56,0.0,11,672,47
1626112600,07/12/2021 17:56,0.0,24,535,47
1626112603,07/12/2021 17:56,0.34,25,467,47
1626112606,07/12/2021 17:56,0.0,26,465,47
1626112609,07/12/2021 17:56,0.34,11,460,47
1626112612,07/12/2021 17:56,0.0,11,459,47
1626112615,07/12/2021 17:56,0.0,10,460,47
1626112618,07/12/2021 17:56,0.34,11,453,47
1626112621,07/12/2021 17:57,0.0,11,429,47
1626112624,07/12/2021 17:57,0.0,10,416,47
1626112627,07/12/2021 17:57,0.0,12,427,47
1626112630,07/12/2021 17:57,0.34,11,435,47
1626112633,07/12/2021 17:57,0.0,11,403,47
1626112636,07/12/2021 17:57,0.34,10,398,47
1626112639,07/12/2021 17:57,0.0,10,438,47
1626112642,07/12/2021 17:57,0.0,12,384,47
1626112645,07/12/2021 17:57,0.34,10,396,48
1626112648,07/12/2021 17:57,0.0,11,398,48
1626112651,07/12/2021 17:57,0.0,10,397,48
1626112654,07/12/2021 17:57,0.0,10,390,48
1626112657,07/12/2021 17:57,0.0,12,359,48
1626112660,07/12/2021 17:57,0.0,11,380,48
1626112663,07/12/2021 17:57,0.0,11,381,48
1626112666,07/12/2021 17:57,0.34,10,401,48
1626112669,07/12/2021 17:57,0.34,11,410,48
1626112672,07/12/2021 17:57,0.34,12,443,48
1626112675,07/12/2021 17:57,0.34,10,484,48
1626112678,07/12/2021 17:57,0.34,11,494,48
1626112681,07/12/2021 17:58,0.34,11,466,48
1626112684,07/12/2021 17:58,0.34,10,480,48
1626112687,07/12/2021 17:58,0.34,12,488,48
1626112690,07/12/2021 17:58,0.34,10,452,48
1626112693,07/12/2021 17:58,1.01,11,423,48
1626112696,07/12/2021 17:58,1.01,10,396,48
1626112699,07/12/2021 17:58,1.01,10,415,48
1626112702,07/12/2021 17:58,1.34,12,296,48
1626112705,07/12/2021 17:58,1.01,8,352,48
1626112708,07/12/2021 17:58,1.68,191,334,48
1626112711,07/12/2021 17:58,1.34,193,353,48
1626112714,07/12/2021 17:58,1.34,194,347,48
1626112717,07/12/2021 17:58,1.34,194,271,48
1626112720,07/12/2021 17:58,1.01,195,287,48
1626112723,07/12/2021 17:58,1.34,194,253,48
1626112726,07/12/2021 17:58,1.34,205,380,48
1626112729,07/12/2021 17:58,1.01,205,375,48
1626112732,07/12/2021 17:58,1.01,204,447,48
1626112735,07/12/2021 17:58,1.01,205,474,48
1626112738,07/12/2021 17:58,1.01,203,462,48
1626112741,07/12/2021 17:59,1.34,205,398,48
1626112744,07/12/2021 17:59,1.34,205,356,48
1626112747,07/12/2021 17:59,1.34,210,362,48
1626112750,07/12/2021 17:59,2.01,211,360,48
1626112753,07/12/2021 17:59,1.68,204,325,48
1626112756,07/12/2021 17:59,1.68,206,642,48
1626112759,07/12/2021 17:59,1.34,206,195,48
1626112762,07/12/2021 17:59,1.34,205,180,48
1626112765,07/12/2021 17:59,1.01,206,282,48
1626112768,07/12/2021 17:59,0.67,204,348,48
1626112771,07/12/2021 17:59,1.01,206,409,48
1626112774,07/12/2021 17:59,0.67,206,418,48
1626112777,07/12/2021 17:59,0.67,206,356,48
1626112780,07/12/2021 17:59,1.01,207,365,48
1626112783,07/12/2021 17:59,0.67,205,378,48
1626112786,07/12/2021 17:59,0.67,206,364,48
1626112789,07/12/2021 17:59,0.34,206,338,48
1626112792,07/12/2021 17:59,0.34,206,312,48
1626112795,07/12/2021 17:59,0.67,207,349,48
1626112798,07/12/2021 17:59,0.67,205,388,48
1626112801,07/12/2021 18:00,0.67,207,394,48
1626112804,07/12/2021 18:00,0.67,206,508,48
1626112807,07/12/2021 18:00,0.67,205,313,48
1626112810,07/12/2021 18:00,0.34,207,317,48
1626112813,07/12/2021 18:00,0.67,205,360,48
1626112816,07/12/2021 18:00,0.34,206,354,48
1626112819,07/12/2021 18:00,0.34,206,368,48
1626112822,07/12/2021 18:00,0.34,206,418,48
1626112825,07/12/2021 18:00,0.0,207,401,48
1626112828,07/12/2021 18:00,0.0,206,379,48
1626112831,07/12/2021 18:00,0.0,207,283,48
1626112834,07/12/2021 18:00,0.0,206,259,48
1626112837,07/12/2021 18:00,0.0,206,301,48
1626112840,07/12/2021 18:00,0.0,206,329,48
1626112843,07/12/2021 18:00,0.0,206,328,48
1626112846,07/12/2021 18:00,0.0,206,333,48
