unixtime,date,ws,wd,co2,temp
1626554756,07/17/2021 20:45,0.34,283,498,42
1626554759,07/17/2021 20:45,0.0,282,511,42
1626554762,07/17/2021 20:46,0.34,247,573,42
1626554765,07/17/2021 20:46,0.34,247,495,42
1626554768,07/17/2021 20:46,0.34,247,500,42
1626554771,07/17/2021 20:46,0.34,246,496,42
1626554774,07/17/2021 20:46,0.34,247,472,42
1626554777,07/17/2021 20:46,0.34,247,501,42
1626554780,07/17/2021 20:46,0.0,247,635,42
1626554783,07/17/2021 20:46,0.34,247,758,42
1626554786,07/17/2021 20:46,0.0,247,522,42
1626554789,07/17/2021 20:46,0.0,247,530,42
1626554792,07/17/2021 20:46,0.0,247,503,42
1626554795,07/17/2021 20:46,0.0,247,513,42
1626554798,07/17/2021 20:46,0.0,247,507,42
1626554801,07/17/2021 20:46,0.0,247,523,42
1626554804,07/17/2021 20:46,0.0,247,522,42
1626554807,07/17/2021 20:46,0.34,235,483,43
1626554810,07/17/2021 20:46,0.34,228,472,43
1626554813,07/17/2021 20:46,0.34,229,485,43
1626554816,07/17/2021 20:46,0.67,228,497,43
1626554819,07/17/2021 20:46,0.67,228,499,43
1626554822,07/17/2021 20:47,1.01,229,490,43
1626554825,07/17/2021 20:47,1.01,229,484,43
1626554828,07/17/2021 20:47,1.01,228,483,43
1626554831,07/17/2021 20:47,1.34,228,476,43
1626554834,07/17/2021 20:47,1.01,228,481,43
1626554837,07/17/2021 20:47,1.01,228,491,43
1626554840,07/17/2021 20:47,1.01,228,482,43
1626554843,07/17/2021 20:47,1.34,228,483,43
1626554846,07/17/2021 20:47,1.01,228,472,43
1626554849,07/17/2021 20:47,0.67,227,473,43
1626554852,07/17/2021 20:47,0.67,228,465,43
1626554855,07/17/2021 20:47,0.67,227,463,43
1626554858,07/17/2021 20:47,0.0,228,457,43
1626554861,07/17/2021 20:47,0.0,228,464,43
1626554864,07/17/2021 20:47,0.0,228,436,43
1626554867,07/17/2021 20:47,0.0,228,490,43
1626554870,07/17/2021 20:47,0.0,228,548,43
1626554873,07/17/2021 20:47,0.0,228,463,43
1626554876,07/17/2021 20:47,0.0,228,570,43
1626554879,07/17/2021 20:47,0.0,228,579,44
1626554882,07/17/2021 20:48,0.0,228,660,44
1626554885,07/17/2021 20:48,0.0,228,402,44
1626554888,07/17/2021 20:48,0.0,228,533,44
1626554891,07/17/2021 20:48,0.0,228,484,44
1626554894,07/17/2021 20:48,0.0,227,566,44
1626554897,07/17/2021 20:48,0.0,228,644,44
1626554900,07/17/2021 20:48,0.0,227,573,44
1626554903,07/17/2021 20:48,0.0,228,546,44
1626554906,07/17/2021 20:48,0.0,228,561,44
1626554909,07/17/2021 20:48,0.0,228,593,44
1626554912,07/17/2021 20:48,0.34,228,617,44
1626554915,07/17/2021 20:48,0.0,228,605,44
1626554918,07/17/2021 20:48,0.67,225,574,44
1626554921,07/17/2021 20:48,0.67,225,572,44
1626554924,07/17/2021 20:48,0.67,225,538,44
1626554927,07/17/2021 20:48,0.67,225,549,44
1626554930,07/17/2021 20:48,0.34,225,471,44
1626554933,07/17/2021 20:48,0.34,225,410,44
1626554936,07/17/2021 20:48,0.34,225,463,44
