unixtime,date,ws,wd,co2,temp
1627400819,07/27/2021 15:46,0.0,233,522,28
1627400822,07/27/2021 15:47,0.0,233,522,28
1627400825,07/27/2021 15:47,0.0,232,517,28
1627400828,07/27/2021 15:47,0.0,233,510,28
1627400831,07/27/2021 15:47,0.0,232,508,28
1627400866,07/27/2021 15:47,0.0,232,574,29
1627400869,07/27/2021 15:47,0.0,233,566,29
1627400872,07/27/2021 15:47,0.0,233,551,29
1627400875,07/27/2021 15:47,0.0,233,565,29
1627400878,07/27/2021 15:47,0.0,233,557,29
1627400881,07/27/2021 15:48,0.0,232,555,29
1627400884,07/27/2021 15:48,0.0,233,556,29
1627400887,07/27/2021 15:48,0.0,233,546,29
1627400890,07/27/2021 15:48,0.0,232,542,29
1627400893,07/27/2021 15:48,0.0,233,542,29
1627400896,07/27/2021 15:48,0.0,231,539,29
1627400899,07/27/2021 15:48,0.0,233,544,29
1627400902,07/27/2021 15:48,0.0,231,547,29
1627400905,07/27/2021 15:48,0.0,233,552,29
1627400908,07/27/2021 15:48,0.0,233,551,29
1627400911,07/27/2021 15:48,0.0,233,548,29
1627400914,07/27/2021 15:48,0.0,233,547,28
1627400917,07/27/2021 15:48,0.0,233,539,29
1627400920,07/27/2021 15:48,0.0,233,536,29
1627400923,07/27/2021 15:48,0.0,233,534,29
1627400926,07/27/2021 15:48,0.0,233,534,29
1627400929,07/27/2021 15:48,0.0,232,532,29
1627400932,07/27/2021 15:48,0.0,233,531,29
1627400935,07/27/2021 15:48,0.0,231,529,29
1627400938,07/27/2021 15:48,0.0,233,528,29
1627400941,07/27/2021 15:49,0.0,231,529,29
1627400944,07/27/2021 15:49,0.0,233,526,29
1627400947,07/27/2021 15:49,0.0,233,525,29
1627400950,07/27/2021 15:49,0.0,233,522,29
1627400953,07/27/2021 15:49,0.0,233,523,29
1627400956,07/27/2021 15:49,0.0,232,520,29
1627400959,07/27/2021 15:49,0.0,233,519,29
1627400962,07/27/2021 15:49,0.0,233,520,29
1627400965,07/27/2021 15:49,0.0,233,522,29
1627400968,07/27/2021 15:49,0.0,233,521,29
1627400971,07/27/2021 15:49,0.0,233,521,29
1627400974,07/27/2021 15:49,0.0,231,521,29
1627400977,07/27/2021 15:49,0.0,233,521,29
1627400980,07/27/2021 15:49,0.0,231,522,29
1627400983,07/27/2021 15:49,0.0,233,524,29
1627400986,07/27/2021 15:49,0.0,232,524,28
1627400989,07/27/2021 15:49,0.0,233,526,28
1627400992,07/27/2021 15:49,0.0,233,526,28
1627400995,07/27/2021 15:49,0.0,233,523,28
1627400998,07/27/2021 15:49,0.0,233,524,28
1627401001,07/27/2021 15:50,0.0,233,525,28
1627401004,07/27/2021 15:50,0.0,233,521,28
1627401007,07/27/2021 15:50,0.0,233,517,28
1627401010,07/27/2021 15:50,0.0,233,514,28
1627401013,07/27/2021 15:50,0.0,231,515,28
1627401016,07/27/2021 15:50,0.0,233,512,28
1627401019,07/27/2021 15:50,0.0,231,506,28
1627401022,07/27/2021 15:50,0.0,233,503,28
1627401025,07/27/2021 15:50,0.0,233,504,28
1627401028,07/27/2021 15:50,0.0,233,508,28
1627401031,07/27/2021 15:50,0.0,233,509,28
1627401034,07/27/2021 15:50,0.0,233,509,28
1627401037,07/27/2021 15:50,0.0,233,515,28
1627401040,07/27/2021 15:50,0.0,233,516,28
1627401043,07/27/2021 15:50,0.0,233,505,28
1627401046,07/27/2021 15:50,0.0,233,501,28
1627401049,07/27/2021 15:50,0.0,233,500,28
1627401052,07/27/2021 15:50,0.0,232,504,28
1627401055,07/27/2021 15:50,0.0,233,504,28
1627401058,07/27/2021 15:50,0.0,232,499,28
1627401061,07/27/2021 15:51,0.0,233,495,28
1627401064,07/27/2021 15:51,0.0,232,505,28
1627401067,07/27/2021 15:51,0.0,233,496,28
1627401070,07/27/2021 15:51,0.0,233,495,28
1627401073,07/27/2021 15:51,0.0,233,480,28
1627401076,07/27/2021 15:51,0.0,233,498,28
1627401079,07/27/2021 15:51,0.0,233,500,28
1627401082,07/27/2021 15:51,0.0,233,488,28
1627401085,07/27/2021 15:51,0.0,233,496,28
1627401088,07/27/2021 15:51,0.0,233,504,28
1627401091,07/27/2021 15:51,0.0,231,488,28
1627401094,07/27/2021 15:51,0.0,233,508,28
1627401097,07/27/2021 15:51,0.0,232,511,28
1627401100,07/27/2021 15:51,0.0,233,519,28
1627401103,07/27/2021 15:51,0.0,231,525,28
1627401106,07/27/2021 15:51,0.0,233,519,28
1627401109,07/27/2021 15:51,0.0,233,517,28
1627401112,07/27/2021 15:51,0.0,233,518,28
1627401115,07/27/2021 15:51,0.0,233,514,28
1627401118,07/27/2021 15:51,0.0,233,514,28
1627401121,07/27/2021 15:52,0.0,233,518,28
1627401124,07/27/2021 15:52,0.0,233,519,28
1627401127,07/27/2021 15:52,0.0,233,514,28
1627401130,07/27/2021 15:52,0.0,232,515,28
1627401133,07/27/2021 15:52,0.0,233,514,28
1627401136,07/27/2021 15:52,0.0,231,516,28
1627401139,07/27/2021 15:52,0.0,233,523,28
1627401142,07/27/2021 15:52,0.0,231,525,28
1627401145,07/27/2021 15:52,0.0,233,522,28
1627401148,07/27/2021 15:52,0.0,233,520,28
1627401151,07/27/2021 15:52,0.0,233,520,28
1627401154,07/27/2021 15:52,0.0,233,520,28
1627401157,07/27/2021 15:52,0.0,233,522,28
1627401160,07/27/2021 15:52,0.0,233,522,28
1627401163,07/27/2021 15:52,0.0,233,520,28
1627401166,07/27/2021 15:52,0.0,233,518,28
1627401169,07/27/2021 15:52,0.0,233,516,28
1627401172,07/27/2021 15:52,0.0,233,509,28
1627401175,07/27/2021 15:52,0.0,232,503,28
1627401178,07/27/2021 15:52,0.0,233,507,28
1627401181,07/27/2021 15:53,0.0,231,509,28
1627401184,07/27/2021 15:53,0.0,233,517,28
1627401187,07/27/2021 15:53,0.0,233,517,28
1627401190,07/27/2021 15:53,0.0,233,521,28
1627401193,07/27/2021 15:53,0.0,233,517,28
1627401196,07/27/2021 15:53,0.0,233,515,28
1627401199,07/27/2021 15:53,0.0,233,517,28
1627401202,07/27/2021 15:53,0.0,233,515,28
1627401205,07/27/2021 15:53,0.0,233,514,28
1627401208,07/27/2021 15:53,0.0,233,514,28
1627401211,07/27/2021 15:53,0.0,233,510,28
1627401214,07/27/2021 15:53,0.0,231,507,28
1627401217,07/27/2021 15:53,0.0,233,505,28
1627401220,07/27/2021 15:53,0.0,232,508,28
1627401223,07/27/2021 15:53,0.0,233,510,28
1627401226,07/27/2021 15:53,0.0,233,510,28
1627401229,07/27/2021 15:53,0.0,233,507,28
1627401232,07/27/2021 15:53,0.0,233,508,28
1627401235,07/27/2021 15:53,0.0,233,511,28
1627401238,07/27/2021 15:53,0.0,233,508,28
1627401241,07/27/2021 15:54,0.0,233,508,28
1627401244,07/27/2021 15:54,0.0,233,508,28
1627401247,07/27/2021 15:54,0.0,233,508,28
1627401250,07/27/2021 15:54,0.0,233,509,28
1627401253,07/27/2021 15:54,0.0,231,512,28
1627401256,07/27/2021 15:54,0.0,233,513,28
1627401259,07/27/2021 15:54,0.0,232,512,28
1627401262,07/27/2021 15:54,0.0,233,511,28
1627401265,07/27/2021 15:54,0.0,231,510,28
1627401268,07/27/2021 15:54,0.0,233,504,28
1627401271,07/27/2021 15:54,0.0,233,505,28
1627401274,07/27/2021 15:54,0.0,233,505,28
1627401277,07/27/2021 15:54,0.0,233,504,28
1627401280,07/27/2021 15:54,0.0,233,502,28
1627401283,07/27/2021 15:54,0.0,233,499,28
1627401286,07/27/2021 15:54,0.0,233,501,28
1627401289,07/27/2021 15:54,0.0,233,501,28
1627401292,07/27/2021 15:54,0.0,232,502,28
1627401295,07/27/2021 15:54,0.0,233,504,28
1627401298,07/27/2021 15:54,0.0,232,507,28
1627401301,07/27/2021 15:55,0.0,233,511,28
1627401304,07/27/2021 15:55,0.0,231,512,28
1627401307,07/27/2021 15:55,0.0,233,514,28
1627401310,07/27/2021 15:55,0.0,233,515,28
1627401313,07/27/2021 15:55,0.0,233,516,28
1627401316,07/27/2021 15:55,0.0,233,516,28
1627401319,07/27/2021 15:55,0.0,233,516,27
1627401322,07/27/2021 15:55,0.0,233,516,27
1627401325,07/27/2021 15:55,0.0,233,517,27
1627401328,07/27/2021 15:55,0.0,233,519,27
1627401331,07/27/2021 15:55,0.0,232,521,27
1627401334,07/27/2021 15:55,0.0,233,514,28
1627401337,07/27/2021 15:55,0.0,231,504,28
1627401340,07/27/2021 15:55,0.0,233,475,28
1627401343,07/27/2021 15:55,0.0,231,486,28
1627401346,07/27/2021 15:55,0.0,233,493,28
1627401349,07/27/2021 15:55,0.0,233,498,28
1627401352,07/27/2021 15:55,0.0,233,504,28
1627401355,07/27/2021 15:55,0.0,233,502,28
1627401358,07/27/2021 15:55,0.0,233,512,28
1627401361,07/27/2021 15:56,0.0,233,510,28
1627401364,07/27/2021 15:56,0.0,233,513,28
1627401367,07/27/2021 15:56,0.0,233,520,28
1627401370,07/27/2021 15:56,0.0,233,523,28
1627401373,07/27/2021 15:56,0.0,233,518,28
1627401376,07/27/2021 15:56,0.0,231,517,28
1627401379,07/27/2021 15:56,0.0,233,521,28
1627401382,07/27/2021 15:56,0.0,231,516,28
1627401385,07/27/2021 15:56,0.0,233,506,28
1627401388,07/27/2021 15:56,0.0,233,506,28
1627401391,07/27/2021 15:56,0.0,233,511,28
1627401394,07/27/2021 15:56,0.0,233,513,28
1627401397,07/27/2021 15:56,0.0,233,510,28
1627401400,07/27/2021 15:56,0.0,233,511,28
1627401403,07/27/2021 15:56,0.0,233,514,28
1627401406,07/27/2021 15:56,0.0,233,519,28
1627401409,07/27/2021 15:56,0.0,233,521,28
1627401412,07/27/2021 15:56,0.0,233,518,28
1627401415,07/27/2021 15:56,0.0,232,513,28
1627401418,07/27/2021 15:56,0.0,233,512,28
1627401421,07/27/2021 15:57,0.0,231,512,28
1627401424,07/27/2021 15:57,0.0,233,514,28
1627401427,07/27/2021 15:57,0.0,232,515,28
1627401430,07/27/2021 15:57,0.0,233,515,28
1627401433,07/27/2021 15:57,0.0,233,513,28
1627401436,07/27/2021 15:57,0.0,233,510,28
1627401439,07/27/2021 15:57,0.0,233,510,28
1627401442,07/27/2021 15:57,0.0,233,511,28
1627401445,07/27/2021 15:57,0.0,233,513,28
1627401448,07/27/2021 15:57,0.0,233,511,28
1627401451,07/27/2021 15:57,0.0,233,508,28
1627401454,07/27/2021 15:57,0.0,232,505,28
1627401457,07/27/2021 15:57,0.0,233,506,28
1627401460,07/27/2021 15:57,0.0,231,506,28
1627401463,07/27/2021 15:57,0.0,233,508,28
1627401466,07/27/2021 15:57,0.0,231,511,28
1627401469,07/27/2021 15:57,0.0,233,515,28
1627401472,07/27/2021 15:57,0.0,233,516,28
1627401475,07/27/2021 15:57,0.0,233,518,28
1627401478,07/27/2021 15:57,0.0,233,517,28
1627401481,07/27/2021 15:58,0.0,232,516,28
1627401484,07/27/2021 15:58,0.0,233,516,28
1627401487,07/27/2021 15:58,0.0,233,517,28
1627401490,07/27/2021 15:58,0.0,233,515,28
1627401493,07/27/2021 15:58,0.0,233,515,28
1627401496,07/27/2021 15:58,0.0,233,513,28
1627401499,07/27/2021 15:58,0.0,231,514,28
1627401502,07/27/2021 15:58,0.0,233,517,28
1627401505,07/27/2021 15:58,0.0,231,513,28
1627401508,07/27/2021 15:58,0.0,233,511,28
1627401511,07/27/2021 15:58,0.0,233,507,28
1627401514,07/27/2021 15:58,0.0,233,513,28
1627401517,07/27/2021 15:58,0.0,233,516,28
1627401520,07/27/2021 15:58,0.0,233,505,28
1627401523,07/27/2021 15:58,0.0,233,500,28
1627401526,07/27/2021 15:58,0.0,233,504,28
1627401529,07/27/2021 15:58,0.0,233,500,28
1627401532,07/27/2021 15:58,0.0,233,481,28
1627401535,07/27/2021 15:58,0.0,233,476,28
1627401538,07/27/2021 15:58,0.0,231,452,28
1627401541,07/27/2021 15:59,0.0,233,440,28
1627401544,07/27/2021 15:59,0.0,232,452,28
1627401547,07/27/2021 15:59,0.0,233,486,28
1627401550,07/27/2021 15:59,0.0,232,501,28
1627401553,07/27/2021 15:59,0.0,233,496,28
1627401556,07/27/2021 15:59,0.0,233,506,28
1627401559,07/27/2021 15:59,0.0,233,536,28
1627401562,07/27/2021 15:59,0.0,233,533,28
1627401565,07/27/2021 15:59,0.0,233,528,28
1627401568,07/27/2021 15:59,0.0,233,479,28
1627401571,07/27/2021 15:59,0.0,233,454,28
1627401574,07/27/2021 15:59,0.0,233,474,28
1627401577,07/27/2021 15:59,0.0,232,460,28
1627401580,07/27/2021 15:59,0.0,233,508,28
1627401583,07/27/2021 15:59,0.0,232,529,28
1627401586,07/27/2021 15:59,0.0,233,548,28
1627401589,07/27/2021 15:59,0.0,231,521,28
1627401592,07/27/2021 15:59,0.0,233,474,28
1627401595,07/27/2021 15:59,0.0,233,472,28
1627401598,07/27/2021 15:59,0.0,233,488,28
1627401601,07/27/2021 16:00,0.0,233,507,28
1627401604,07/27/2021 16:00,0.0,233,519,28
1627401607,07/27/2021 16:00,0.0,233,522,28
1627401610,07/27/2021 16:00,0.0,233,524,28
1627401613,07/27/2021 16:00,0.0,233,513,28
1627401616,07/27/2021 16:00,0.0,232,516,28
1627401619,07/27/2021 16:00,0.0,233,528,28
1627401622,07/27/2021 16:00,0.0,231,530,28
1627401625,07/27/2021 16:00,0.0,233,532,28
1627401628,07/27/2021 16:00,0.0,232,535,28
1627401631,07/27/2021 16:00,0.0,233,524,28
1627401634,07/27/2021 16:00,0.0,233,523,28
1627401637,07/27/2021 16:00,0.0,233,519,28
1627401640,07/27/2021 16:00,0.0,233,518,28
1627401643,07/27/2021 16:00,0.0,233,519,28
1627401646,07/27/2021 16:00,0.0,233,525,28
1627401649,07/27/2021 16:00,0.0,233,523,28
1627401652,07/27/2021 16:00,0.0,233,531,28
1627401655,07/27/2021 16:00,0.0,233,539,28
1627401658,07/27/2021 16:00,0.0,233,528,28
1627401661,07/27/2021 16:01,0.0,231,513,28
1627401664,07/27/2021 16:01,0.0,233,532,28
1627401667,07/27/2021 16:01,0.0,232,534,28
1627401670,07/27/2021 16:01,0.0,233,532,28
1627401673,07/27/2021 16:01,0.0,233,545,28
