unixtime,date,ws,wd,co2,temp
1625851714,07/09/2021 17:28,1.34,311,56,37
1625851717,07/09/2021 17:28,1.34,309,91,37
1625851720,07/09/2021 17:28,2.01,308,165,37
1625851723,07/09/2021 17:28,2.68,296,138,37
1625851726,07/09/2021 17:28,2.68,298,153,36
1625851729,07/09/2021 17:28,3.35,319,233,36
1625851732,07/09/2021 17:28,2.35,308,270,36
1625851735,07/09/2021 17:28,1.68,302,202,36
1625851738,07/09/2021 17:28,1.34,296,106,36
1625851741,07/09/2021 17:29,1.68,260,49,36
1625851744,07/09/2021 17:29,2.01,224,70,36
1625851747,07/09/2021 17:29,2.01,225,97,36
1625851750,07/09/2021 17:29,2.01,220,104,37
1625851753,07/09/2021 17:29,1.68,211,122,37
1625851756,07/09/2021 17:29,1.34,211,114,37
1625851759,07/09/2021 17:29,1.34,215,115,37
1625851762,07/09/2021 17:29,1.68,218,122,37
1625851765,07/09/2021 17:29,1.34,223,124,37
1625851768,07/09/2021 17:29,2.01,223,127,37
1625851771,07/09/2021 17:29,2.01,304,140,37
1625851774,07/09/2021 17:29,2.68,296,157,37
1625851777,07/09/2021 17:29,1.68,295,151,37
1625851780,07/09/2021 17:29,1.68,297,234,37
1625851783,07/09/2021 17:29,2.01,298,326,37
1625851786,07/09/2021 17:29,2.35,285,199,36
1625851789,07/09/2021 17:29,2.35,285,118,36
1625851792,07/09/2021 17:29,2.35,292,35,36
1625851795,07/09/2021 17:29,2.35,314,376,36
1625851798,07/09/2021 17:29,2.35,314,396,36
1625851801,07/09/2021 17:30,2.01,312,272,36
1625851804,07/09/2021 17:30,2.35,312,167,36
1625851807,07/09/2021 17:30,2.01,312,153,36
1625851810,07/09/2021 17:30,3.69,286,88,36
1625851813,07/09/2021 17:30,3.02,283,0,36
1625851816,07/09/2021 17:30,3.35,273,84,36
1625851819,07/09/2021 17:30,4.02,265,92,36
1625851822,07/09/2021 17:30,4.02,274,71,36
1625851825,07/09/2021 17:30,3.02,280,185,35
1625851828,07/09/2021 17:30,2.01,296,416,35
1625851831,07/09/2021 17:30,1.68,296,323,35
1625851834,07/09/2021 17:30,2.01,294,104,36
1625851837,07/09/2021 17:30,2.68,285,87,36
1625851840,07/09/2021 17:30,2.35,285,155,35
1625851843,07/09/2021 17:30,2.01,285,173,35
1625851846,07/09/2021 17:30,1.68,285,207,35
1625851849,07/09/2021 17:30,2.35,286,165,35
1625851852,07/09/2021 17:30,3.02,295,86,35
1625851855,07/09/2021 17:30,2.35,310,116,35
1625851858,07/09/2021 17:30,2.01,316,282,35
1625851861,07/09/2021 17:31,2.01,316,337,35
1625851864,07/09/2021 17:31,1.68,311,26,35
1625851867,07/09/2021 17:31,1.01,311,0,35
1625851870,07/09/2021 17:31,0.67,310,81,35
1625851873,07/09/2021 17:31,0.34,309,154,36
1625851876,07/09/2021 17:31,0.0,309,173,36
1625851879,07/09/2021 17:31,0.0,309,165,36
1625851882,07/09/2021 17:31,0.0,309,165,36
1625851885,07/09/2021 17:31,0.0,310,173,36
1625851888,07/09/2021 17:31,1.68,273,168,36
1625851891,07/09/2021 17:31,2.01,248,164,36
1625851894,07/09/2021 17:31,1.68,247,159,36
1625851897,07/09/2021 17:31,1.34,247,153,36
1625851900,07/09/2021 17:31,1.34,246,167,36
1625851903,07/09/2021 17:31,1.01,269,185,36
1625851906,07/09/2021 17:31,0.67,269,191,36
1625851909,07/09/2021 17:31,1.01,269,242,36
1625851912,07/09/2021 17:31,1.34,269,184,36
1625851915,07/09/2021 17:31,2.35,232,244,37
1625851918,07/09/2021 17:31,1.68,220,180,37
1625851921,07/09/2021 17:32,1.34,219,126,37
1625851924,07/09/2021 17:32,2.01,274,228,37
1625851927,07/09/2021 17:32,1.68,275,149,37
1625851930,07/09/2021 17:32,1.01,265,137,37
1625851933,07/09/2021 17:32,1.01,264,185,37
1625851936,07/09/2021 17:32,1.34,264,203,37
1625851939,07/09/2021 17:32,2.68,264,207,37
1625851942,07/09/2021 17:32,2.68,270,161,37
1625851945,07/09/2021 17:32,2.01,267,168,37
1625851948,07/09/2021 17:32,2.35,298,221,36
1625851951,07/09/2021 17:32,2.68,304,289,36
1625851954,07/09/2021 17:32,3.35,283,293,36
1625851957,07/09/2021 17:32,3.35,292,212,36
1625851960,07/09/2021 17:32,2.35,285,166,36
1625851963,07/09/2021 17:32,2.35,283,194,36
1625851966,07/09/2021 17:32,1.68,266,195,36
1625851969,07/09/2021 17:32,2.35,289,191,36
1625851972,07/09/2021 17:32,4.02,289,158,36
1625851975,07/09/2021 17:32,3.35,281,0,36
1625851978,07/09/2021 17:32,2.68,281,10,36
1625851981,07/09/2021 17:33,2.35,238,319,35
1625851984,07/09/2021 17:33,3.69,324,302,35
1625851987,07/09/2021 17:33,3.35,282,178,35
1625851990,07/09/2021 17:33,2.68,285,126,35
1625851993,07/09/2021 17:33,2.35,285,89,36
1625851996,07/09/2021 17:33,2.68,262,15,36
1625851999,07/09/2021 17:33,2.01,268,25,36
1625852002,07/09/2021 17:33,2.01,268,139,36
1625852005,07/09/2021 17:33,1.68,268,162,36
1625852008,07/09/2021 17:33,2.01,268,84,36
1625852011,07/09/2021 17:33,3.02,308,113,36
1625852014,07/09/2021 17:33,2.68,298,123,36
1625852017,07/09/2021 17:33,2.68,284,296,36
1625852020,07/09/2021 17:33,2.01,273,114,36
1625852023,07/09/2021 17:33,1.68,265,155,36
1625852026,07/09/2021 17:33,2.01,266,194,36
1625852029,07/09/2021 17:33,2.35,253,137,36
1625852032,07/09/2021 17:33,1.68,250,100,36
1625852035,07/09/2021 17:33,2.01,306,190,36
1625852038,07/09/2021 17:33,1.68,304,170,36
1625852041,07/09/2021 17:34,1.34,304,121,36
1625852044,07/09/2021 17:34,0.34,304,116,36
1625852047,07/09/2021 17:34,0.34,304,139,36
1625852050,07/09/2021 17:34,0.0,304,123,36
1625852053,07/09/2021 17:34,0.34,304,158,36
1625852056,07/09/2021 17:34,0.67,303,141,36
1625852059,07/09/2021 17:34,1.01,295,40,36
1625852062,07/09/2021 17:34,1.34,286,196,36
1625852065,07/09/2021 17:34,1.34,283,132,36
1625852068,07/09/2021 17:34,1.34,278,149,36
1625852071,07/09/2021 17:34,0.67,264,232,36
1625852074,07/09/2021 17:34,1.01,265,244,37
1625852077,07/09/2021 17:34,1.01,265,111,37
1625852080,07/09/2021 17:34,0.67,264,170,37
1625852083,07/09/2021 17:34,1.68,263,140,37
1625852086,07/09/2021 17:34,2.35,274,109,37
1625852089,07/09/2021 17:34,2.68,282,144,37
1625852092,07/09/2021 17:34,3.02,292,157,36
1625852095,07/09/2021 17:34,1.68,271,163,36
1625852098,07/09/2021 17:34,1.34,253,163,36
1625852101,07/09/2021 17:35,1.34,253,185,36
1625852104,07/09/2021 17:35,1.34,279,213,36
1625852107,07/09/2021 17:35,1.34,279,312,36
1625852110,07/09/2021 17:35,1.68,279,95,36
1625852113,07/09/2021 17:35,1.34,279,0,36
1625852116,07/09/2021 17:35,1.68,279,0,36
1625852119,07/09/2021 17:35,2.01,285,5,36
1625852122,07/09/2021 17:35,2.68,286,10,36
1625852125,07/09/2021 17:35,2.35,284,0,36
1625852128,07/09/2021 17:35,2.35,285,115,36
1625852131,07/09/2021 17:35,2.01,285,106,36
1625852134,07/09/2021 17:35,1.68,285,184,36
