unixtime,date,ws,wd,co2,temp
1626112597,7/12/2021 17:56,0,11,672,47
1626112600,7/12/2021 17:56,0,24,535,47
1626112603,7/12/2021 17:56,0.34,25,467,47
1626112606,7/12/2021 17:56,0,26,465,47
1626112609,7/12/2021 17:56,0.34,11,460,47
1626112612,7/12/2021 17:56,0,11,459,47
1626112615,7/12/2021 17:56,0,10,460,47
1626112618,7/12/2021 17:56,0.34,11,453,47
1626112621,7/12/2021 17:57,0,11,429,47
1626112624,7/12/2021 17:57,0,10,416,47
1626112627,7/12/2021 17:57,0,12,427,47
1626112630,7/12/2021 17:57,0.34,11,435,47
1626112633,7/12/2021 17:57,0,11,403,47
1626112636,7/12/2021 17:57,0.34,10,398,47
1626112639,7/12/2021 17:57,0,10,438,47
1626112642,7/12/2021 17:57,0,12,384,47
1626112645,7/12/2021 17:57,0.34,10,396,48
1626112648,7/12/2021 17:57,0,11,398,48
1626112651,7/12/2021 17:57,0,10,397,48
1626112654,7/12/2021 17:57,0,10,390,48
1626112657,7/12/2021 17:57,0,12,359,48
1626112660,7/12/2021 17:57,0,11,380,48
1626112663,7/12/2021 17:57,0,11,381,48
1626112666,7/12/2021 17:57,0.34,10,401,48
1626112669,7/12/2021 17:57,0.34,11,410,48
1626112672,7/12/2021 17:57,0.34,12,443,48
1626112675,7/12/2021 17:57,0.34,10,484,48
1626112678,7/12/2021 17:57,0.34,11,494,48
1626112681,7/12/2021 17:58,0.34,11,466,48
1626112684,7/12/2021 17:58,0.34,10,480,48
1626112687,7/12/2021 17:58,0.34,12,488,48
1626112690,7/12/2021 17:58,0.34,10,452,48
1626112693,7/12/2021 17:58,1.01,11,423,48
1626112696,7/12/2021 17:58,1.01,10,396,48
1626112699,7/12/2021 17:58,1.01,10,415,48
1626112702,7/12/2021 17:58,1.34,12,296,48
1626112705,7/12/2021 17:58,1.01,8,352,48
1626112708,7/12/2021 17:58,1.68,191,334,48
1626112711,7/12/2021 17:58,1.34,193,353,48
1626112714,7/12/2021 17:58,1.34,194,347,48
1626112717,7/12/2021 17:58,1.34,194,271,48
1626112720,7/12/2021 17:58,1.01,195,287,48
1626112723,7/12/2021 17:58,1.34,194,253,48
1626112726,7/12/2021 17:58,1.34,205,380,48
1626112729,7/12/2021 17:58,1.01,205,375,48
1626112732,7/12/2021 17:58,1.01,204,447,48
1626112735,7/12/2021 17:58,1.01,205,474,48
1626112738,7/12/2021 17:58,1.01,203,462,48
1626112741,7/12/2021 17:59,1.34,205,398,48
1626112744,7/12/2021 17:59,1.34,205,356,48
1626112747,7/12/2021 17:59,1.34,210,362,48
1626112750,7/12/2021 17:59,2.01,211,360,48
1626112753,7/12/2021 17:59,1.68,204,325,48
1626112756,7/12/2021 17:59,1.68,206,642,48
1626112759,7/12/2021 17:59,1.34,206,195,48
1626112762,7/12/2021 17:59,1.34,205,180,48
1626112765,7/12/2021 17:59,1.01,206,282,48
1626112768,7/12/2021 17:59,0.67,204,348,48
1626112771,7/12/2021 17:59,1.01,206,409,48
1626112774,7/12/2021 17:59,0.67,206,418,48
1626112777,7/12/2021 17:59,0.67,206,356,48
1626112780,7/12/2021 17:59,1.01,207,365,48
1626112783,7/12/2021 17:59,0.67,205,378,48
1626112786,7/12/2021 17:59,0.67,206,364,48
1626112789,7/12/2021 17:59,0.34,206,338,48
1626112792,7/12/2021 17:59,0.34,206,312,48
1626112795,7/12/2021 17:59,0.67,207,349,48
1626112798,7/12/2021 17:59,0.67,205,388,48
1626112801,7/12/2021 18:00,0.67,207,394,48
1626112804,7/12/2021 18:00,0.67,206,508,48
1626112807,7/12/2021 18:00,0.67,205,313,48
1626112810,7/12/2021 18:00,0.34,207,317,48
1626112813,7/12/2021 18:00,0.67,205,360,48
1626112816,7/12/2021 18:00,0.34,206,354,48
1626112819,7/12/2021 18:00,0.34,206,368,48
1626112822,7/12/2021 18:00,0.34,206,418,48
1626112825,7/12/2021 18:00,0,207,401,48
1626112828,7/12/2021 18:00,0,206,379,48
1626112831,7/12/2021 18:00,0,207,283,48
1626112834,7/12/2021 18:00,0,206,259,48
1626112837,7/12/2021 18:00,0,206,301,48
1626112840,7/12/2021 18:00,0,206,329,48
1626112843,7/12/2021 18:00,0,206,328,48
1626112846,7/12/2021 18:00,0,206,333,48
1626112849,7/12/2021 18:00,0,206,275,48
1626112852,7/12/2021 18:00,0.34,206,478,48
1626112855,7/12/2021 18:00,0,206,527,49
1626112858,7/12/2021 18:00,0,206,606,48
1626112861,7/12/2021 18:01,0,206,119,48
