Unixtime,WindCyc,WindDir,ConcData,TempData
1625608540,6.0,268.0,420.0,44.0
1625608543,6.0,261.0,449.0,44.0
1625608546,6.0,283.0,474.0,44.0
1625608549,5.0,283.0,422.0,44.0
1625608552,4.0,283.0,529.0,43.0
1625608555,5.0,267.0,523.0,43.0
1625608558,5.0,233.0,478.0,44.0
1625608561,4.0,208.0,463.0,43.0
1625608564,3.0,185.0,510.0,43.0
1625608567,3.0,185.0,463.0,44.0
1625608570,5.0,232.0,422.0,44.0
1625608573,8.0,202.0,325.0,44.0
1625608576,8.0,232.0,330.0,43.0
1625608579,11.0,208.0,356.0,43.0
1625608582,10.0,243.0,385.0,43.0
1625608585,9.0,229.0,389.0,43.0
1625608588,13.0,250.0,363.0,43.0
1625608591,12.0,269.0,372.0,43.0
1625608594,8.0,264.0,377.0,43.0
1625608597,8.0,244.0,395.0,43.0
1625608600,9.0,216.0,426.0,43.0
1625608603,8.0,215.0,425.0,43.0
1625608606,10.0,209.0,430.0,43.0
1625608609,9.0,218.0,424.0,43.0
1625608612,10.0,219.0,419.0,43.0
1625608615,13.0,232.0,370.0,43.0
1625608618,15.0,228.0,412.0,43.0
1625608621,15.0,214.0,396.0,42.0
1625608624,12.0,226.0,412.0,42.0
1625608627,11.0,237.0,512.0,42.0
1625608630,8.0,240.0,379.0,42.0
1625608633,9.0,221.0,444.0,42.0
1625608636,9.0,225.0,459.0,42.0
1625608639,10.0,209.0,438.0,42.0
1625608642,13.0,225.0,447.0,42.0
1625608645,13.0,213.0,467.0,42.0
1625608648,15.0,227.0,448.0,42.0
1625608651,15.0,219.0,459.0,42.0
1625608654,15.0,216.0,424.0,42.0
1625608657,13.0,236.0,452.0,42.0
1625608660,14.0,234.0,423.0,42.0
1625608663,13.0,238.0,399.0,42.0
1625608666,12.0,237.0,404.0,42.0
1625608669,13.0,271.0,423.0,42.0
1625608672,11.0,294.0,412.0,41.0
1625608675,9.0,230.0,369.0,41.0
1625608678,10.0,199.0,394.0,41.0
1625608681,8.0,218.0,407.0,41.0
1625608684,10.0,198.0,419.0,41.0
1625608687,14.0,236.0,408.0,41.0
1625608690,13.0,200.0,433.0,41.0
1625608693,10.0,218.0,415.0,41.0
1625608696,8.0,241.0,399.0,41.0
1625608699,11.0,208.0,436.0,41.0
1625608702,13.0,217.0,409.0,41.0
1625608705,12.0,224.0,414.0,41.0
1625608708,10.0,249.0,451.0,41.0
1625608711,9.0,0.0,427.0,41.0
1625608714,8.0,211.0,487.0,41.0
1625608717,11.0,211.0,473.0,41.0
1625608720,10.0,214.0,430.0,41.0
1625608723,10.0,278.0,414.0,41.0
1625608726,12.0,214.0,455.0,41.0
1625608729,11.0,215.0,350.0,41.0
