bn,ut,conc,ws,dir,temp
1,1655506803,995,0,172,25
1,1655506806,995,0,172,25
1,1655506809,997,0,173,25
1,1655506812,996,0,171,25
1,1655506815,997,0,175,25
1,1655506818,998,0,173,25
1,1655506821,997,0,172,25
1,1655506824,999,0,170,25
1,1655506827,1000,0,171,25
1,1655506830,999,0,170,25
1,1655506833,999,0,171,25
1,1655506836,998,0,174,25
1,1655506839,1001,0,172,25
1,1655506842,1003,0,173,25
1,1655506845,1005,0,171,25
1,1655506848,1010,0,171,25
1,1655506851,1014,0,173,25
1,1655506854,1018,0,173,25
1,1655506857,1017,0,173,25
1,1655506860,1015,0,172,25
1,1655506863,1014,0,171,25
1,1655506866,1010,0,175,25
1,1655506869,1003,0,172,25
1,1655506872,1001,0,172,25
1,1655506875,1003,0,171,25
1,1655506878,1009,0,171,25
1,1655506881,1010,0,175,25
1,1655506884,1007,0,172,25
1,1655506887,1009,0,171,25
1,1655506890,1011,0,171,25
1,1655506893,1010,0,170,25
1,1655506896,1012,0,174,25
1,1655506899,1012,0,170,25
1,1655506902,1013,0,173,25
1,1655506905,1010,0,170,25
1,1655506908,1009,0,170,25
1,1655506911,1008,0,174,25
1,1655506914,1005,0,172,25
1,1655506917,1004,0,173,25
1,1655506920,1002,0,172,25
1,1655506923,1002,0,173,25
1,1655506926,1003,0,174,25
1,1655506929,1004,0,170,25
1,1655506932,1003,0,170,25
1,1655506935,1004,0,173,25
1,1655506938,1002,0,173,25
1,1655506941,1002,0,174,25
1,1655506944,1004,0,170,25
1,1655506947,1003,0,171,25
1,1655506950,1001,0,172,25
1,1655506953,1001,0,172,25
1,1655506956,1002,0,175,25
1,1655506959,1004,0,170,25
1,1655506962,1004,0,170,25
1,1655506965,1004,0,170,25
1,1655506968,1003,0,171,25
1,1655506971,1004,0,175,25
1,1655506974,1006,0,172,25
1,1655506977,1007,0,170,25
1,1655506980,1004,0,170,25
1,1655506983,1003,0,172,25
1,1655506986,1004,0,174,25
1,1655506989,1001,0,172,25
1,1655506992,1001,0,173,25
1,1655506995,999,0,173,25
1,1655506998,999,0,173,25
1,1655507001,1000,0,174,25
1,1655507004,1003,0,171,25
1,1655507007,1009,0,170,25
1,1655507010,1025,0,172,25
1,1655507013,1034,0,171,25
1,1655507016,1066,0,170,25
1,1655507019,1075,0,172,25
1,1655507022,1063,0,172,25
1,1655507025,1056,0,173,25
1,1655507028,1051,0,173,25
1,1655507031,1055,0,171,25
1,1655507034,1047,0,170,25
1,1655507037,1046,0,171,25
1,1655507040,1043,0,170,25
1,1655507043,1042,0,173,25
1,1655507046,1041,0,170,25
1,1655507049,1038,0,170,25
1,1655507052,1038,0,173,25
1,1655507055,1033,0,173,25
1,1655507058,1033,0,172,25
1,1655507061,1031,0,171,25
1,1655507064,1032,0,170,25
1,1655507067,1033,0,171,25
1,1655507070,1033,0,172,25
1,1655507073,1033,0,172,25
1,1655507076,1031,0,171,25
1,1655507079,1032,0,172,25
1,1655507082,1031,0,174,25
1,1655507085,1032,0,170,25
1,1655507088,1033,0,170,25
1,1655507091,1034,0,172,25
1,1655507094,1035,0,173,25
1,1655507097,1034,0,175,25
1,1655507100,1032,0,172,25
1,1655507103,1031,0,171,25
1,1655507106,1028,0,170,25
1,1655507109,1024,0,172,25
1,1655507112,1022,0,176,25
1,1655507115,1018,0,173,25
1,1655507118,1019,0,173,25
1,1655507121,1016,0,173,25
1,1655507124,1015,0,172,25
1,1655507127,1014,0,174,25
1,1655507130,1013,0,170,25
1,1655507133,1012,0,172,25
1,1655507136,1018,0,172,25
1,1655507139,1021,0,172,25
1,1655507142,1023,0,174,25
1,1655507145,1021,0,173,25
1,1655507148,1023,0,173,25
1,1655507151,1021,0,171,25
1,1655507154,1021,0,170,25
1,1655507157,1024,0,174,25
1,1655507160,1033,0,171,25
1,1655507163,1035,0,172,25
1,1655507166,1045,0,173,25
1,1655507169,1035,0,173,25
1,1655507172,1041,0,175,25
1,1655507175,1058,0,170,25
1,1655507178,1050,0,171,25
1,1655507181,1044,0,172,25
1,1655507184,1047,0,173,25
1,1655507187,1052,0,176,25
1,1655507190,1059,0,172,25
1,1655507193,1058,0,172,25
1,1655507196,1058,0,173,25
1,1655507199,1050,0,173,25
1,1655507202,1045,0,175,25
1,1655507205,1040,0,170,25
1,1655507208,1039,0,172,25
1,1655507211,1035,0,170,25
1,1655507214,1034,0,171,25
1,1655507217,1033,0,173,25
1,1655507220,1030,0,170,25
1,1655507223,1028,0,173,25
1,1655507226,1028,0,173,25
1,1655507229,1027,0,170,25
1,1655507232,1027,0,171,25
1,1655507235,1027,0,171,25
1,1655507238,1028,0,172,25
1,1655507241,1027,0,173,25
1,1655507244,1026,0,172,25
1,1655507247,1027,0,173,25
1,1655507250,1024,0,173,25
1,1655507253,1025,0,171,25
1,1655507256,1025,0,170,25
1,1655507259,1023,0,170,25
1,1655507262,1021,0,171,25
1,1655507265,1020,0,172,25
1,1655507268,1020,0,171,25
1,1655507271,1021,0,172,25
1,1655507274,1020,0,173,25
1,1655507277,1021,0,173,25
1,1655507280,1020,0,173,25
1,1655507283,1020,0,174,25
1,1655507286,1022,0,170,25
1,1655507289,1021,0,172,25
1,1655507292,1021,0,172,25
1,1655507295,1021,0,173,25
1,1655507298,1021,0,175,25
1,1655507301,1019,0,171,25
1,1655507304,1018,0,171,25
1,1655507307,1016,0,170,25
1,1655507310,1015,0,170,25
1,1655507313,1014,0,175,25
1,1655507316,1013,0,170,25
1,1655507319,1011,0,170,25
1,1655507322,1011,0,171,25
1,1655507325,1013,0,170,25
1,1655507328,1013,0,174,25
1,1655507331,1014,0,172,25
1,1655507334,1014,0,173,25
1,1655507337,1014,0,170,25
1,1655507340,1013,0,173,25
1,1655507343,1012,0,175,25
1,1655507346,1011,0,170,25
1,1655507349,1012,0,170,25
1,1655507352,1010,0,172,25
1,1655507355,1011,0,171,25
1,1655507358,1011,0,177,25
1,1655507361,1011,0,172,25
1,1655507364,1010,0,171,25
1,1655507367,1010,0,172,25
1,1655507370,1009,0,173,25
1,1655507373,1009,0,175,25
1,1655507376,1008,0,173,25
1,1655507379,1008,0,171,25
1,1655507382,1007,0,170,25
1,1655507385,1008,0,171,25
1,1655507388,1006,0,175,25
1,1655507391,1005,0,173,25
1,1655507394,1005,0,173,25
1,1655507397,1005,0,170,25
1,1655507400,1004,0,171,25
1,1655507403,1005,0,175,25
1,1655507406,1006,0,171,25
1,1655507409,1006,0,171,25
1,1655507412,1005,0,170,25
1,1655507415,1004,0,172,25
1,1655507418,1004,0,174,25
1,1655507421,1003,0,172,25
1,1655507424,1003,0,171,25
1,1655507427,1002,0,172,25
1,1655507430,1001,0,172,25
1,1655507433,1002,0,172,25
1,1655507436,1003,0,173,25
1,1655507439,1002,0,173,25
1,1655507442,1002,0,171,25
1,1655507445,1002,0,170,25
1,1655507448,1001,0,173,25
1,1655507451,1000,0,173,25
1,1655507454,1000,0,173,25
1,1655507457,1001,0,171,25
1,1655507460,1001,0,170,25
1,1655507463,1001,0,170,25
1,1655507466,1002,0,171,25
1,1655507469,1002,0,175,25
1,1655507472,1002,0,173,25
1,1655507475,1002,0,172,25
1,1655507478,1002,0,172,25
1,1655507481,1005,0,172,25
1,1655507484,1006,0,174,25
1,1655507487,1007,0,173,25
1,1655507490,1007,0,170,25
1,1655507493,1009,0,172,25
1,1655507496,1014,0,173,25
1,1655507499,1018,0,175,25
1,1655507502,1052,0,170,25
1,1655507505,1057,0,171,25
1,1655507508,1068,0,171,25
1,1655507511,1076,0,172,25
1,1655507514,1073,0,176,25
1,1655507517,1061,0,173,25
1,1655507520,1058,0,173,25
1,1655507523,1049,0,173,25
1,1655507526,1041,0,172,25
1,1655507529,1038,0,174,25
1,1655507532,1031,0,170,25
1,1655507535,1027,0,172,25
1,1655507538,1027,0,172,25
1,1655507541,1028,0,172,25
1,1655507544,1028,0,173,25
1,1655507547,1024,0,171,25
1,1655507550,1023,0,171,25
1,1655507553,1022,0,171,25
1,1655507556,1022,0,171,25
1,1655507559,1021,0,174,25
1,1655507562,1018,0,172,25
1,1655507565,1018,0,170,25
1,1655507568,1014,0,171,25
1,1655507571,1013,0,172,25
1,1655507574,1013,0,175,25
1,1655507577,1016,0,171,25
1,1655507580,1021,0,171,25
1,1655507583,1032,0,172,25
1,1655507586,1041,0,173,25
1,1655507589,1064,0,176,25
1,1655507592,1108,0,170,25
1,1655507595,1121,0,170,25
1,1655507598,1107,0,173,25
1,1655507601,1109,0,173,25
1,1655507604,1107,0,172,25
1,1655507607,1103,0,170,25
1,1655507610,1102,0,171,25
1,1655507613,1108,0,172,25
1,1655507616,1115,0,173,25
1,1655507619,1123,0,172,25
1,1655507622,1182,0,170,25
1,1655507625,1216,0,172,25
1,1655507628,1321,0,173,25
1,1655507631,1310,0,173,25
1,1655507634,1270,0,175,25
1,1655507637,1208,0,171,25
1,1655507640,1167,0,172,25
1,1655507643,1098,0,170,25
1,1655507646,1063,0,173,25
1,1655507649,1033,0,173,25
1,1655507652,1046,0,171,25
1,1655507655,1043,0,171,25
1,1655507658,1034,0,171,25
1,1655507661,1025,0,171,25
1,1655507664,1025,0,173,25
1,1655507667,1022,0,173,25
1,1655507670,1018,0,171,25
1,1655507673,1018,0,173,25
1,1655507676,1018,0,173,25
1,1655507679,1016,0,171,25
1,1655507682,1012,0,171,25
1,1655507685,1013,0,171,25
1,1655507688,1009,0,173,25
1,1655507691,1008,0,172,25
1,1655507694,1008,0,171,25
1,1655507697,1007,0,171,25
1,1655507700,1004,0,175,25
1,1655507703,1003,0,173,25
1,1655507706,1004,0,170,25
1,1655507709,1002,0,170,25
1,1655507712,998,0,171,25
1,1655507715,999,0,174,25
1,1655507718,999,0,171,25
1,1655507721,999,0,170,25
1,1655507724,999,0,173,25
1,1655507727,998,0,172,25
1,1655507730,998,0,175,25
1,1655507733,999,0,171,25
1,1655507736,999,0,170,25
1,1655507739,1000,0,172,25
1,1655507742,999,0,172,25
1,1655507745,999,0,174,25
1,1655507748,997,0,173,25
1,1655507751,997,0,170,25
1,1655507754,995,0,170,25
1,1655507757,993,0,173,25
1,1655507760,994,0,176,25
1,1655507763,995,0,173,25
1,1655507766,997,0,172,25
1,1655507769,997,0,171,25
1,1655507772,997,0,171,25
1,1655507775,999,0,173,25
1,1655507778,1001,0,171,25
1,1655507781,1000,0,170,25
1,1655507784,1001,0,172,25
1,1655507787,1000,0,173,25
1,1655507790,1000,0,175,25
1,1655507793,1002,0,171,25
1,1655507796,1002,0,172,25
1,1655507799,1001,0,172,25
1,1655507802,999,0,172,25
1,1655507805,998,0,175,25
1,1655507808,996,0,173,25
1,1655507811,996,0,173,25
1,1655507814,993,0,172,25
1,1655507817,993,0,171,25
1,1655507820,994,0,173,25
1,1655507823,994,0,170,25
1,1655507826,994,0,172,25
1,1655507829,993,0,173,25
1,1655507832,991,0,173,25
1,1655507835,991,0,170,25
1,1655507838,992,0,173,25
1,1655507841,992,0,173,25
1,1655507844,992,0,173,25
1,1655507847,992,0,173,25
1,1655507850,993,0,171,25
1,1655507853,994,0,170,25
1,1655507856,994,0,173,25
1,1655507859,993,0,173,25
1,1655507862,993,0,172,25
1,1655507865,993,0,170,25
1,1655507868,991,0,171,25
1,1655507871,990,0,175,25
1,1655507874,990,0,173,25
1,1655507877,990,0,172,25
1,1655507880,991,0,171,25
1,1655507883,992,0,170,25
1,1655507886,993,0,174,25
1,1655507889,993,0,170,25
1,1655507892,993,0,171,25
1,1655507895,994,0,171,25
1,1655507898,993,0,172,25
1,1655507901,994,0,176,25
1,1655507904,995,0,172,25
1,1655507907,995,0,171,25
1,1655507910,992,0,171,25
1,1655507913,991,0,173,25
1,1655507916,993,0,175,25
1,1655507919,992,0,171,25
1,1655507922,991,0,170,25
1,1655507925,992,0,172,25
1,1655507928,992,0,174,25
1,1655507931,993,0,177,25
1,1655507934,993,0,172,25
1,1655507937,992,0,170,25
1,1655507940,993,0,170,25
1,1655507943,993,0,172,25
1,1655507946,992,0,176,25
1,1655507949,995,0,172,25
1,1655507952,995,0,170,25
1,1655507955,995,0,169,25
1,1655507958,994,0,174,25
1,1655507961,993,0,174,25
1,1655507964,992,0,171,25
1,1655507967,991,0,173,25
1,1655507970,991,0,173,25
1,1655507973,994,0,172,25
1,1655507976,995,0,175,25
1,1655507979,996,0,172,25
1,1655507982,997,0,172,25
1,1655507985,997,0,171,25
1,1655507988,996,0,171,25
1,1655507991,995,0,173,25
1,1655507994,995,0,173,25
1,1655507997,992,0,172,25
1,1655508000,989,0,172,25
1,1655508003,990,0,172,25
1,1655508006,991,0,175,25
1,1655508009,994,0,170,25
1,1655508012,995,0,171,25
1,1655508015,995,0,172,25
1,1655508018,994,0,173,25
1,1655508021,995,0,176,25
1,1655508024,993,0,173,25
1,1655508027,993,0,172,25
1,1655508030,994,0,172,25
1,1655508033,994,0,171,25
1,1655508036,995,0,175,25
1,1655508039,997,0,173,25
1,1655508042,996,0,172,25
1,1655508045,996,0,171,25
1,1655508048,997,0,172,25
1,1655508051,997,0,172,25
1,1655508054,998,0,173,25
1,1655508057,999,0,171,25
1,1655508060,999,0,172,25
1,1655508063,1000,0,173,25
1,1655508066,1001,0,172,25
1,1655508069,1002,0,171,25
1,1655508072,1000,0,171,25
1,1655508075,1000,0,172,25
1,1655508078,1000,0,172,25
1,1655508081,1002,0,171,25
1,1655508084,1003,0,172,25
1,1655508087,1004,0,173,25
1,1655508090,1004,0,171,25
1,1655508093,1005,0,173,25
1,1655508096,1005,0,172,25
1,1655508099,1006,0,171,25
1,1655508102,1006,0,171,25
1,1655508105,1008,0,171,25
1,1655508108,1008,0,172,25
1,1655508111,1008,0,172,25
1,1655508114,1009,0,172,25
