Memory:       7056,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  None,,,,,,,,,,,,,,,,,,,,
Hub Connect:  0,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,0,1644821235,778,24,33,135,0,976,0,3.22,,1644821235,776,23,32,97,0,976,0,2.92
1,0,1644821238,779,24,33,163,0,4128,0,3.2,TRUE,1644824142,850,24,33,346,0,4128,0,3.5
1,0,1644821241,778,24,32,151,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644821244,778,24,32,157,0,4128,0,3.18,TRUE,0,,,,,,,,
1,0,1644821247,780,24,32,170,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821250,781,24,32,190,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821253,780,24,33,202,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821256,780,24,33,214,0,4128,0,3.32,TRUE,,,,,,,,,
1,0,1644821259,780,24,32,223,0,4128,0,3.35,TRUE,,,,,,,,,
1,0,1644821262,781,24,32,221,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821265,781,24,33,222,0,4128,0,3.34,TRUE,,,,,,,,,
1,0,1644821268,782,24,32,220,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821271,780,24,33,216,0,4128,0,3.37,TRUE,,,,,,,,,
1,0,1644821274,780,24,32,227,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644821277,779,24,32,155,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644821280,780,24,32,147,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821283,781,24,32,160,0,4128,0,3.18,TRUE,,,,,,,,,
1,0,1644821286,782,24,32,215,0,4128,0,3.32,TRUE,,,,,,,,,
1,0,1644821289,781,24,32,147,0,4128,0,3.21,TRUE,,,,,,,,,
1,0,1644821292,779,24,32,151,0,4128,0,3.13,TRUE,,,,,,,,,
1,0,1644821295,782,24,32,157,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821298,781,24,32,154,0,4128,0,3.18,TRUE,,,,,,,,,
1,0,1644821301,785,24,32,174,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821304,790,24,32,155,0,4128,0,3.18,TRUE,,,,,,,,,
1,0,1644821307,790,24,32,150,0,4128,0,3.06,TRUE,,,,,,,,,
1,0,1644821310,791,24,32,147,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821313,794,24,32,149,0,4128,0,3.18,TRUE,,,,,,,,,
1,0,1644821316,795,24,32,155,0,4128,0,3.21,TRUE,,,,,,,,,
1,0,1644821319,796,24,32,216,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644821322,796,24,32,201,0,4128,0,3.27,TRUE,,,,,,,,,
