Memory:       8496,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  None,,,,,,,,,,,,,,,,,,,,
Hub Connect:  0,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,0,946684942,390,23,20,176,0,2480,0,3.3,,946684942,370,23,19,54,0,2480,0,2.96
1,0,946684945,390,23,20,146,0,5056,0,3.33,TRUE,946692731,883,25,28,348,0,5056,0,3.67
1,0,946684948,389,23,20,137,0,5056,0,3.12,TRUE,,,,,,,,,
1,0,946684951,389,23,20,149,0,5056,0,3.2,TRUE,0,,,,,,,,
1,0,946684954,388,23,20,142,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946684957,386,23,20,148,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946684960,386,23,20,189,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946684963,386,23,20,235,0,5056,0,3.42,TRUE,,,,,,,,,
1,0,946684966,386,23,20,156,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946684969,385,23,20,155,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946684972,385,23,20,239,0,5056,0,3.42,TRUE,,,,,,,,,
1,0,946684975,384,23,20,151,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946684978,383,23,20,160,0,5056,0,3.21,TRUE,,,,,,,,,
1,0,946684981,383,23,20,191,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946684984,383,23,20,124,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946684987,383,23,20,228,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946684990,383,23,20,234,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946684993,384,23,20,158,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946684996,384,23,20,245,0,5056,0,3.39,TRUE,,,,,,,,,
1,0,946684999,384,23,20,175,0,5056,0,3.43,TRUE,,,,,,,,,
1,0,946685002,384,23,20,160,0,5056,0,3.19,TRUE,,,,,,,,,
1,0,946685005,384,23,20,240,0,5056,0,3.43,TRUE,,,,,,,,,
1,0,946685008,384,23,20,238,0,5056,0,3.43,TRUE,,,,,,,,,
1,0,946685011,384,23,20,231,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685014,383,23,20,238,0,5056,0,3.5,TRUE,,,,,,,,,
1,0,946685017,384,23,20,234,0,5056,0,3.32,TRUE,,,,,,,,,
1,0,946685020,386,23,20,143,0,5056,0,3.15,TRUE,,,,,,,,,
1,0,946685023,387,23,20,230,0,5056,0,3.37,TRUE,,,,,,,,,
1,0,946685026,397,23,20,233,0,5056,0,3.41,TRUE,,,,,,,,,
1,0,946685029,418,23,20,198,0,5056,0,3.43,TRUE,,,,,,,,,
1,0,946685032,532,23,20,195,0,5056,0,3.32,TRUE,,,,,,,,,
