Running bytecode...,,,,,,,,,,
SCD Initializing,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,
,,,,,,,,,,
Memory:       6896,,,,,,,,,,
RF identifier 2,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,
Hub Connect:  1,,,,,,,,,,
Transmit On:  1,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,
,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,
1,1,946691378,710,24,33,358,0,880,0,3.22
1,1,946691381,710,24,33,358,0,4368,0,3.11
1,1,946691384,710,24,33,358,0,4368,0,3.24
1,1,946691387,710,24,33,358,0,4368,0,3.22
1,1,946691390,711,24,33,358,0,4368,0,3.23
1,1,946691393,712,24,33,358,0,4368,0,3.24
1,1,946691396,711,24,33,358,0,4368,0,3.11
1,1,946691399,712,24,33,358,0,4368,0,3.23
1,1,946691402,713,24,33,358,0,4368,0,3.22
1,1,946691405,712,24,33,358,0,4368,0,3.23
1,1,946691408,713,24,33,358,0,4368,0,3.23
1,1,946691411,714,24,33,358,0,4368,0,3.1
1,1,946691414,713,24,33,358,0,4368,0,3.23
1,1,946691417,713,24,33,358,0,4368,0,3.22
1,1,946691420,712,24,33,358,0,4368,0,3.23
1,1,946691423,711,24,33,358,0,4368,0,3.23
1,1,946691426,710,24,33,358,0,4368,0,3.1
1,1,946691429,711,24,33,358,0,4368,0,3.24
1,1,946691432,712,24,33,358,0,4368,0,3.22
1,1,946691435,711,24,33,358,0,4368,0,3.22
1,1,946691438,711,24,33,358,0,4368,0,3.22
1,1,946691441,711,24,33,358,0,4368,0,3.09
1,1,946691444,711,24,33,358,0,4368,0,3.23
1,1,946691447,712,24,33,358,0,4368,0,3.22
1,1,946691450,712,24,33,358,0,4368,0,3.22
1,1,946691453,711,24,33,358,0,4368,0,3.22
1,1,946691456,712,24,33,358,0,4368,0,3.1
1,1,946691459,712,24,33,358,0,4368,0,3.23
1,1,946691462,711,24,33,359,0,4368,0,3.22
1,1,946691465,711,24,33,358,0,4368,0,3.22
1,1,946691468,711,24,33,358,0,4368,0,3.23
1,1,946691471,710,24,33,358,0,4368,0,3.1
1,1,946691474,712,24,33,358,0,4368,0,3.24
1,1,946691477,712,24,33,358,0,4368,0,3.21
1,1,946691480,712,24,33,359,0,4368,0,3.25
1,1,946691483,711,24,33,358,0,4368,0,3.24
1,1,946691486,710,24,33,358,0,4368,0,3.1
1,1,946691489,710,24,33,358,0,4368,0,3.23
1,1,946691492,709,24,33,358,0,4368,0,3.22
1,1,946691495,709,24,33,358,0,4368,0,3.22
1,1,946691498,709,24,33,358,0,4368,0,3.23
1,1,946691501,709,24,33,359,0,4368,0,3.11
1,1,946691504,709,24,33,358,0,4368,0,3.23
1,1,946691507,709,24,33,358,0,4368,0,3.22
1,1,946691510,709,24,33,358,0,4368,0,3.21
1,1,946691513,709,24,33,359,0,4368,0,3.24
1,1,946691516,709,24,33,358,0,4368,0,3.1
1,1,946691519,710,24,33,358,0,4368,0,3.23
1,1,946691522,710,24,33,358,0,4368,0,3.22
