Memory:       6032,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946767801,740,23,37,357,0,5680,0,3.21,,946767801,0,0,0,356,0,3392,0,3.01
1,1,946767804,739,23,37,357,0,3392,0,3.21,TRUE,946770060,1377,23,38,359,0,5680,0,3.24
1,1,946767807,737,23,37,357,0,3392,0,3.06,TRUE,,,,,,,,,
1,1,946767810,735,23,37,357,0,3392,0,3.21,TRUE,0,,,,,,,,
1,1,946767813,733,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946767816,734,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946767819,733,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946767822,732,23,37,357,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946767825,732,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946767828,730,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946767831,729,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946767834,727,23,38,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946767837,726,23,38,357,0,3392,0,3.09,TRUE,,,,,,,,,
1,1,946767840,725,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946767843,726,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946767846,726,23,37,358,0,3392,0,3.19,TRUE,,,,,,,,,
1,1,946767849,726,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946767852,727,23,37,358,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946767855,723,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946767858,723,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946767861,723,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946767864,724,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,
1,1,946767867,0,0,0,358,0,5104,0,3.2,,,,,,,,,,
1,1,946767870,845,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946767873,842,23,37,358,0,3392,0,3.19,TRUE,,,,,,,,,
1,1,946767876,835,23,37,358,0,3392,0,3.05,TRUE,,,,,,,,,
1,1,946767879,766,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946767882,749,23,37,357,0,3392,0,3.1,TRUE,,,,,,,,,
