Memory:       7104,,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
1,1,946770376,731,23,37,358,0,1088,0,3.23,,,946770376,0,0,0,356,0,1088,0,3.13
1,1,946770379,727,23,37,358,0,4496,0,3.23,TRUE,0,946775986,1988,24,38,359,0,6208,0,4.01
1,1,946770382,722,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770385,721,23,37,358,0,4496,0,3.19,TRUE,,,,,,,,,,
1,1,946770388,718,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770391,715,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770394,712,23,37,358,0,4496,0,3.19,TRUE,,,,,,,,,,
1,1,946770397,711,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770400,711,23,37,358,0,4496,0,3.18,TRUE,,,,,,,,,,
1,1,946770403,710,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770406,708,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770409,708,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770412,711,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770415,709,23,37,358,0,4496,0,3.19,TRUE,,,,,,,,,,
1,1,946770418,709,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770421,706,23,37,359,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770424,707,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770427,708,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770430,707,23,37,357,0,4496,0,3.2,TRUE,,,,,,,,,,
1,1,946770433,707,23,37,358,0,4496,0,3.25,TRUE,,,,,,,,,,
1,1,946770436,708,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770439,708,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770442,706,23,37,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946770445,706,23,37,358,0,4496,0,3.2,TRUE,,,,,,,,,,
1,1,946770448,707,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770451,706,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770454,705,23,37,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946770457,705,23,37,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946770460,705,23,37,358,0,4496,0,3.19,TRUE,,,,,,,,,,
