Loading /flash/main.mpy...,,,,,,,,,,,,,,,,,,,,
Running bytecode...,,,,,,,,,,,,,,,,,,,,
SCD Initializing,,,,,,,,,,,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,,,,,,,,,,,
Memory:       5888,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946754638,723,24,34,13,0,6112,0,3.23,,946754638,0,0,0,11,0,3792,0,3.05
1,1,946754641,726,24,34,13,0,3792,0,3.23,TRUE,946759498,6565,24,34,32,0,6112,0,3.26
1,1,946754644,726,24,34,13,0,3792,0,3.09,TRUE,0,,,,,,,,
1,1,946754647,731,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754650,732,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754653,736,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754656,732,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754659,731,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754662,733,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754665,732,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754668,730,24,34,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946754671,728,24,34,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946754674,729,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754677,728,24,34,13,0,3792,0,3.2,TRUE,,,,,,,,,
1,1,946754680,728,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754683,727,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754686,725,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754689,724,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754692,725,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754695,727,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754698,726,24,34,13,0,3792,0,3.1,TRUE,,,,,,,,,
1,1,946754701,726,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754704,726,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754707,726,24,34,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754710,726,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754713,725,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754716,725,24,34,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946754719,724,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946754722,725,24,34,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946754725,725,24,34,13,0,3792,0,3.22,TRUE,,,,,,,,,
