Loading /flash/main.mpy...,,,,,,,,,,,,,,,,,,,,
Running bytecode...,,,,,,,,,,,,,,,,,,,,
SCD Initializing,,,,,,,,,,,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,,,,,,,,,,,
Memory:       7104,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946708517,930,24,37,13,0,1088,0,3.22,,946708517,797,24,34,10,0,1088,0,3.06
1,1,946708520,929,24,37,13,0,4496,0,3.23,TRUE,946713818,1812,26,38,266,0,4496,0,3.25
1,1,946708523,927,24,37,13,0,4496,0,3.23,TRUE,,,,,,,,,
1,1,946708526,928,24,37,13,0,4496,0,3.21,TRUE,0,,,,,,,,
1,1,946708529,928,24,37,13,0,4496,0,3.22,TRUE,,,,,,,,,
1,1,946708532,927,24,37,13,0,4496,0,3.22,TRUE,,,,,,,,,
1,1,946708535,927,24,37,12,0,4496,0,3.22,TRUE,,,,,,,,,
1,1,946708538,929,24,37,13,0,4496,0,3.22,TRUE,,,,,,,,,
1,1,946708541,929,24,37,13,0,4496,0,3.22,TRUE,,,,,,,,,
1,1,946708544,930,24,37,13,0,4496,0,3.22,TRUE,,,,,,,,,
1,1,946708547,928,24,37,13,0,4496,0,3.21,TRUE,,,,,,,,,
1,1,946708550,926,24,37,13,0,4496,0,3.22,TRUE,,,,,,,,,
1,1,946708553,927,24,37,13,0,4496,0,3.23,TRUE,,,,,,,,,
1,1,946708556,927,25,37,13,0,4496,0,3.09,TRUE,,,,,,,,,
1,1,946708559,927,25,37,13,0,4496,0,3.23,TRUE,,,,,,,,,
1,1,946708562,925,24,37,13,0,4496,0,3.22,TRUE,,,,,,,,,
1,1,946708565,924,25,37,13,0,4496,0,3.23,TRUE,,,,,,,,,
1,1,946708568,923,25,37,13,0,4496,0,3.24,TRUE,,,,,,,,,
1,1,946708571,924,25,37,13,0,4496,0,3.08,TRUE,,,,,,,,,
1,1,946708574,923,25,37,13,0,4496,0,3.23,TRUE,,,,,,,,,
1,1,946708577,923,24,36,12,0,4496,0,3.21,TRUE,,,,,,,,,
1,1,946708580,922,25,36,13,0,4496,0,3.23,TRUE,,,,,,,,,
