C-sec,C-ppm,HNS-sec,HNS-ppm,SLN-sec,SLN-ppm,SLNS-sec,SLNS-ppm,Licor-sec,Licor-ppm
0,890,25,750,0,468,0,437,1279,1202.76
1,890,27,749,1,454,2,437,1280,817.62
3,888,28,749,3,454,3,467,1281,727.69
4,889,30,749,4,467,5,467,1282,819.57
6,890,32,748,6,467,6,467,1283,768.74
7,890,33,748,7,467,8,429,1284,665.13
9,891,35,748,9,465,9,429,1285,629.94
10,892,36,748,10,465,11,464,1286,616.25
12,893,38,748,12,505,12,464,1287,610.39
13,894,39,748,13,505,14,464,1288,612.34
15,894,41,748,15,505,15,456,1289,616.25
16,893,42,748,16,492,17,456,1290,626.03
18,892,44,748,18,492,18,456,1291,637.76
19,892,45,749,19,492,20,462,1292,643.62
21,892,47,749,21,478,21,462,1293,659.26
22,893,48,750,22,478,23,432,1294,672.95
24,820,50,751,24,465,24,432,1295,684.68
25,920,51,751,25,465,26,432,1296,690.54
27,920,53,752,27,465,27,472,1297,696.41
28,820,54,753,29,533,29,472,1298,700.32
30,1020,56,754,30,533,31,472,1299,704.23
31,1120,57,755,32,473,32,478,1300,698.36
33,1255,59,755,33,473,34,478,1301,686.63
35,1250,60,756,35,473,35,507,1302,678.81
36,1236,62,756,36,486,37,507,1303,665.13
38,1226,63,756,38,486,38,507,1304,672.95
39,1118,65,756,39,486,40,478,1305,678.81
41,1018,66,757,41,532,41,478,1306,663.17
42,1009,68,757,42,532,43,489,1307,651.44
44,1008,70,756,44,501,44,489,1308,637.76
45,1005,71,756,45,501,46,489,1309,620.16
47,1004,73,755,47,501,47,487,1310,620.16
48,999,74,755,48,607,49,487,1311,606.48
50,999,76,753,50,607,50,487,1312,606.48
51,1005,77,753,51,607,52,497,1313,594.75
53,1008,79,751,53,507,53,497,1314,590.84
54,1013,80,749,54,507,55,515,1315,583.02
56,1015,82,746,56,527,56,515,1316,573.24
57,1018,83,744,57,527,58,515,1317,573.24
59,1018,85,740,59,527,59,506,1318,567.38
60,1027,86,738,61,551,61,506,1319,518.5
62,1037,88,734,62,551,62,506,1320,538.05
63,1046,89,731,64,557,64,493,1321,538.05
65,1059,91,726,65,557,65,493,1322,541.96
66,1059,92,723,67,557,67,503,1323,541.96
68,1053,94,717,68,548,68,503,1324,510.68
69,1048,95,711,70,548,70,503,1325,512.63
71,1039,97,708,71,548,72,521,1326,514.59
73,1038,98,701,73,556,73,521,1327,518.5
74,1040,100,698,74,556,75,521,1328,510.68
76,1042,101,691,76,553,76,533,1329,514.59
77,1049,103,688,77,553,78,533,1330,495.04
79,1058,104,681,79,553,79,540,1331,504.81
80,1074,106,678,80,559,81,540,1332,500.9
82,1082,108,673,82,559,82,540,1333,502.86
83,1085,109,670,83,568,84,539,1334,512.63
85,1086,111,665,85,568,85,539,1335,508.72
86,1089,112,663,86,568,87,535,1336,516.54
88,1090,114,659,88,561,88,535,1337,522.41
89,1095,115,658,89,561,90,535,1338,512.63
91,1098,117,655,91,561,91,529,1339,530.23
92,1102,118,654,92,565,93,529,1340,541.96
94,1103,120,652,94,565,94,529,1341,555.65
95,1106,121,651,95,580,96,531,1342,532.18
97,1107,123,650,97,580,97,531,1343,530.23
98,1109,124,649,99,580,99,538,1344,520.45
100,1112,126,649,100,587,100,538,1345,534.14
101,1115,127,649,102,587,102,538,1346,541.96
103,1116,129,648,103,587,103,542,1347,563.47
104,1118,130,648,105,588,105,542,1348,569.33
106,1117,132,649,106,588,106,542,1349,567.38
107,1113,133,650,108,590,108,541,1350,604.52
109,1111,135,650,109,590,110,541,1351,590.84
110,1108,136,651,111,590,111,533,1352,590.84
112,1103,138,651,112,589,113,533,1353,584.97
114,1093,139,652,114,589,114,533,1354,616.25
115,1093,141,652,115,584,116,531,1355,624.07
117,1092,142,653,117,584,117,531,1356,620.16
118,1092,144,653,118,584,119,531,1357,626.03
120,1095,145,653,120,582,120,527,1358,637.76
121,1094,147,654,121,582,122,527,1359,633.85
123,1096,149,654,123,582,123,524,1360,647.53
124,1095,150,654,124,585,125,524,1361,635.8
126,1094,152,654,126,585,126,524,1362,635.8
127,1094,153,654,127,586,128,526,1363,627.98
129,1094,155,654,129,586,129,526,1364,618.21
130,1094,156,654,130,586,131,525,1365,729.64
132,1094,158,653,132,590,132,525,1366,672.95
133,1095,159,653,133,590,134,525,1367,663.17
135,1096,161,652,135,590,135,519,1368,641.67
136,1099,162,652,136,595,137,519,1369,614.3
138,1101,164,651,138,595,138,519,1370,590.84
139,1106,165,650,140,593,140,513,1371,590.84
141,1107,167,649,141,593,141,513,1372,579.11
142,1109,168,648,143,593,143,504,1373,584.97
144,1110,170,647,144,585,144,504,1374,575.2
145,1112,171,645,146,585,146,504,1375,571.29
147,1113,173,644,147,581,147,491,1376,559.56
148,1115,174,642,149,581,149,491,1377,559.56
150,1115,176,641,150,581,151,491,1378,575.2
151,1115,177,638,152,591,152,481,1379,594.75
153,1115,179,637,153,591,154,481,1380,583.02
154,1114,180,635,155,591,155,470,1381,583.02
156,1112,182,634,156,597,157,470,1382,590.84
158,1106,183,633,158,597,158,470,1383,590.84
159,1103,185,632,159,592,160,459,1384,583.02
161,1001,187,631,161,592,161,459,1385,571.29
162,901,188,630,162,592,163,453,1386,569.33
164,901,190,629,164,583,164,453,1387,563.47
165,1001,191,629,165,583,166,453,1388,567.38
167,1110,193,628,167,583,167,446,1389,569.33
168,1010,194,627,168,570,169,446,1390,551.74
170,902,196,627,170,570,170,446,1391,543.91
171,898,197,627,171,558,172,437,1392,545.87
173,895,199,627,173,558,173,437,1393,530.23
