Licor unixtime,LiCor time (Sec),LiCor conc (ppm),SCD unixtime,SCD time (sec),SCD 1 (ppm),SCD 2 (ppm),SCD 3 (ppm),SCD 4 (ppm)
1635306276,0,458,1635306276,0,442,440,458,457
1635306277,1,460,1635306279,3,457,457,458,457
1635306278,2,460,1635306282,6,457,458,458,456
1635306279,3,456,1635306285,9,457,457,458,456
1635306280,4,458,1635306288,12,458,458,457,456
1635306281,5,456,1635306291,15,457,457,458,457
1635306282,6,460,1635306294,18,458,457,458,456
1635306283,7,458,1635306297,21,458,457,457,456
1635306284,8,458,1635306300,24,458,456,457,457
1635306285,9,460,1635306303,27,457,456,457,457
1635306286,10,456,1635306306,30,458,456,457,457
1635306287,11,460,1635306309,33,458,455,457,458
1635306288,12,454,1635306312,36,458,455,457,458
1635306289,13,456,1635306315,39,458,455,457,459
1635306290,14,456,1635306318,42,457,455,457,459
1635306291,15,454,1635306321,45,458,454,457,460
1635306292,16,458,1635306324,48,458,455,457,460
1635306293,17,456,1635306327,51,458,455,457,460
1635306294,18,458,1635306330,54,458,455,456,460
1635306295,19,456,1635306333,57,458,455,456,460
1635306296,20,456,1635306336,60,458,454,456,459
1635306297,21,458,1635306339,63,458,453,456,460
1635306298,22,454,1635306342,66,457,453,455,459
1635306299,23,456,1635306345,69,457,453,454,459
1635306300,24,456,1635306348,72,457,452,454,458
1635306301,25,454,1635306351,75,458,453,455,458
1635306302,26,460,1635306354,78,458,453,454,458
1635306303,27,456,1635306357,81,458,453,455,458
1635306304,28,456,1635306360,84,458,453,455,458
1635306305,29,454,1635306363,87,457,453,454,458
1635306306,30,454,1635306366,90,457,453,455,457
1635306307,31,454,1635306369,93,457,453,455,458
1635306308,32,454,1635306372,96,456,453,454,458
1635306309,33,456,1635306375,99,456,452,453,458
1635306310,34,454,1635306378,102,456,453,453,458
1635306311,35,456,1635306381,105,456,452,453,459
1635306312,36,456,1635306384,108,456,453,453,460
1635306313,37,456,1635306387,111,456,453,454,459
1635306314,38,456,1635306390,114,455,453,454,459
1635306315,39,456,1635306393,117,455,452,453,459
1635306316,40,458,1635306396,120,454,452,453,459
1635306317,41,458,1635306399,123,454,452,453,458
1635306318,42,458,1635306402,126,454,452,453,459
1635306319,43,456,1635306405,129,454,451,453,459
1635306320,44,458,1635306408,132,455,451,453,459
1635306321,45,456,1635306411,135,455,451,453,458
1635306322,46,454,1635306414,138,455,450,454,458
1635306323,47,454,1635306417,141,455,450,454,459
1635306324,48,456,1635306420,144,454,450,457,460
1635306325,49,456,1635306423,147,454,451,457,460
1635306326,50,454,1635306426,150,454,451,457,460
