Unixtime,Time (sec),Licor (ppm),SCD#1 (ppm),SCD#2 (ppm),SCD#3 (ppm),SCD#4 (ppm)
1635822004,0,549,501,503,511,511
1635822007,3,538,501,502,511,511
1635822010,6,543,501,503,511,511
1635822013,9,522,501,502,512,511
1635822016,12,549,501,502,512,510
1635822019,15,532,500,503,510,511
1635822022,18,522,500,503,510,512
1635822025,21,524,500,502,509,512
1635822028,24,522,500,501,509,513
1635822031,27,526,501,501,509,513
1635822034,30,538,500,500,510,513
1635822037,33,520,500,500,511,515
1635822040,36,522,500,500,510,515
1635822043,39,524,501,500,510,515
1635822046,42,518,501,501,509,515
1635822049,45,547,501,501,510,515
1635822052,48,520,502,502,510,515
1635822055,51,534,502,502,510,515
1635822058,54,547,502,502,509,515
1635822061,57,530,501,502,509,515
1635822064,60,534,501,502,509,516
1635822067,63,536,501,502,509,516
1635822070,66,522,500,502,510,516
1635822073,69,536,500,502,510,516
1635822076,72,532,500,502,510,517
1635822079,75,536,500,501,510,517
1635822082,78,520,500,501,510,517
1635822085,81,532,500,500,510,517
1635822088,84,538,500,500,510,517
1635822091,87,522,500,500,510,517
1635822094,90,547,501,499,510,518
1635822097,93,518,501,499,510,518
1635822100,96,536,501,499,510,517
1635822103,99,536,501,499,509,517
1635822106,102,536,500,498,509,517
1635822109,105,528,500,498,509,517
1635822112,108,524,500,497,509,517
1635822115,111,516,500,496,509,516
1635822118,114,540,500,497,509,517
1635822121,117,518,499,496,508,516
1635822124,120,522,499,496,508,517
1635822127,123,532,499,495,509,517
1635822130,126,518,498,496,509,517
1635822133,129,549,498,496,509,517
1635822136,132,534,498,495,510,517
1635822139,135,534,497,495,510,517
1635822142,138,522,497,495,510,517
1635822145,141,547,497,494,510,517
1635822148,144,549,496,494,510,517
1635822151,147,532,496,494,510,517
1635822154,150,536,496,494,510,517
1635822157,153,520,496,494,510,517
1635822160,156,520,496,494,511,517
1635822163,159,547,496,494,511,517
1635822166,162,520,495,494,511,516
1635822169,165,522,495,494,511,516
1635822172,168,524,495,494,512,516
1635822175,171,518,496,494,512,515
1635822178,174,540,495,495,511,515
1635822181,177,520,495,494,512,515
1635822184,180,534,495,495,512,515
1635822187,183,520,495,495,513,514
1635822190,186,534,495,496,513,514
1635822193,189,536,495,496,513,514
1635822196,192,547,495,496,513,515
1635822199,195,518,495,496,512,514
1635822202,198,538,496,496,512,514
1635822205,201,532,496,496,513,514
1635822208,204,538,496,496,513,514
1635822211,207,522,496,496,513,514
1635822214,210,541,496,497,513,513
1635822217,213,592,496,497,513,513
1635822220,216,608,496,498,514,518
1635822223,219,669,497,499,515,520
1635822226,222,678,498,501,522,556
1635822229,225,698,499,502,527,626
1635822232,228,757,500,506,550,753
1635822235,231,774,507,577,584,767
1635822238,234,792,532,649,655,783
1635822241,237,790,603,694,690,801
1635822244,240,833,716,699,693,816
1635822247,243,891,715,714,703,825
1635822250,246,872,755,734,736,844
1635822253,249,899,766,736,740,855
1635822256,252,917,770,744,770,861
1635822259,255,932,787,757,784,880
1635822262,258,983,801,765,791,896
1635822265,261,985,805,806,839,1022
1635822268,264,974,825,849,863,1050
1635822271,267,1001,835,880,952,1046
1635822274,270,1034,850,908,975,1046
1635822277,273,1071,977,908,978,1049
1635822280,276,1063,1004,927,977,1068
1635822283,279,1075,997,935,977,1081
1635822286,282,1079,1005,938,987,1086
1635822289,285,1077,1005,964,998,1088
1635822292,288,1138,1010,967,1007,1092
1635822295,291,1089,1013,985,1016,1101
1635822298,294,1116,1020,1000,1019,1105
1635822301,297,1116,1034,1013,1034,1105
1635822304,300,1112,1046,1036,1049,1115
1635822307,303,1167,1053,1048,1057,1119
1635822310,306,1140,1055,1079,1078,1135
1635822313,309,1151,1069,1115,1085,1138
1635822316,312,1167,1076,1120,1126,1151
1635822319,315,1171,1093,1120,1168,1163
1635822322,318,1183,1108,1118,1165,1168
1635822325,321,1228,1123,1131,1171,1174
1635822328,324,1183,1156,1147,1180,1182
1635822331,327,1265,1182,1154,1190,1188
1635822334,330,1226,1180,1163,1185,1201
1635822337,333,1210,1186,1165,1206,1202
1635822340,336,1212,1196,1176,1228,1211
1635822343,339,1247,1194,1181,1261,1218
1635822346,342,1273,1197,1187,1233,1225
1635822349,345,1226,1200,1186,1275,1255
1635822352,348,1255,1209,1188,1288,1275
1635822355,351,1235,1221,1197,1274,1264
1635822358,354,1243,1226,1201,1283,1276
1635822361,357,1296,1223,1203,1291,1287
1635822364,360,1239,1248,1207,1296,1283
1635822367,363,1255,1257,1211,1306,1288
1635822370,366,1280,1259,1213,1305,1283
1635822373,369,1249,1264,1219,1304,1286
1635822376,372,1333,1266,1222,1300,1291
1635822379,375,1259,1269,1231,1302,1292
1635822382,378,1271,1268,1234,1296,1297
1635822385,381,1279,1268,1237,1304,1306
1635822388,384,1277,1270,1244,1304,1311
1635822391,387,1323,1271,1247,1311,1315
1635822394,390,1296,1269,1253,1312,1313
1635822397,393,1280,1271,1256,1314,1315
1635822400,396,1284,1272,1260,1317,1315
1635822403,399,1308,1277,1265,1318,1322
1635822406,402,1316,1279,1269,1324,1325
1635822409,405,1286,1281,1280,1325,1329
1635822412,408,1318,1281,1284,1327,1331
1635822415,411,1345,1285,1289,1326,1332
1635822418,414,1288,1284,1298,1329,1337
1635822421,417,1368,1285,1301,1329,1337
1635822424,420,1290,1289,1305,1330,1337
1635822427,423,1323,1290,1303,1332,1341
1635822430,426,1329,1291,1300,1332,1344
1635822433,429,1300,1294,1306,1334,1347
1635822436,432,1327,1296,1308,1333,1347
1635822439,435,1310,1297,1316,1334,1350
1635822442,438,1308,1301,1317,1336,1353
1635822445,441,1341,1302,1319,1337,1354
1635822448,444,1312,1305,1321,1337,1360
1635822451,447,1308,1307,1323,1339,1362
1635822454,450,1320,1308,1325,1340,1367
1635822457,453,1310,1309,1329,1342,1367
1635822460,456,1390,1311,1330,1343,1368
1635822463,459,1314,1311,1331,1344,1369
1635822466,462,1343,1316,1330,1343,1369
1635822469,465,1318,1318,1331,1344,1367
