Read times,Voltage(V),Current(A),Power (W),,,
6,4.983,0.0371,0.1848693,,,
7,4.981,0.0371,0.1847951,,Statistics,
8,4.981,0.0929,0.4627349,,Min V,4.97
9,4.981,0.0929,0.4627349,,Max V,4.99
10,4.981,0.0347,0.1728407,,Avg V,4.98
11,4.981,0.0347,0.1728407,,Min mA,29.20
12,4.981,0.0904,0.4502824,,Max mA,92.90
13,4.982,0.0904,0.4503728,,Avg mA,40.96
14,4.982,0.0345,0.171879,,Min mW,145
15,4.981,0.0345,0.1718445,,Max mW,463
16,4.981,0.0902,0.4492862,,Avg mW,204
17,4.982,0.0902,0.4493764,,Total h,6
18,4.982,0.0345,0.171879,,Total s,21600
19,4.981,0.0345,0.1718445,,,
20,4.981,0.0898,0.4472938,,,
21,4.982,0.0898,0.4473836,,,
22,4.982,0.0345,0.171879,,,
23,4.982,0.0345,0.171879,,,
24,4.982,0.0854,0.4254628,,calc,mA * h = mAh
25,4.983,0.0854,0.4255482,,,
26,4.983,0.0296,0.1474968,,Power,
27,4.981,0.0296,0.1474376,,mAh calc,245.8
28,4.981,0.0852,0.4243812,,mWh calc,1225
29,4.981,0.0852,0.4243812,,mAh  USB,243.0
30,4.981,0.0296,0.1474376,,mWh USB,1211.0
31,4.981,0.0296,0.1474376,,mAh PC,243.0
32,4.981,0.0521,0.2595101,,mWh PC,1209.0
33,4.983,0.0521,0.2596143,,,
34,4.983,0.0294,0.1465002,,Wh calc,1.23
35,4.981,0.0294,0.1464414,,Wh/day,4.90
36,4.981,0.0515,0.2565215,,,
37,4.981,0.0515,0.2565215,,,
38,4.981,0.0294,0.1464414,,,
39,4.981,0.0294,0.1464414,,,
40,4.981,0.0513,0.2555253,,,
41,4.983,0.0513,0.2556279,,,
42,4.983,0.0296,0.1474968,,,
43,4.981,0.0296,0.1474376,,,
44,4.981,0.0505,0.2515405,,,
45,4.983,0.0505,0.2516415,,,
46,4.983,0.0298,0.1484934,,,
47,4.98,0.0298,0.148404,,,
48,4.98,0.0501,0.249498,,,
49,4.983,0.0501,0.2496483,,,
50,4.983,0.0298,0.1484934,,,
51,4.979,0.0298,0.1483742,,,
52,4.979,0.0497,0.2474563,,,
53,4.983,0.0497,0.2476551,,,
54,4.983,0.0302,0.1504866,,,
55,4.981,0.0302,0.1504262,,,
56,4.981,0.0497,0.2475557,,,
57,4.981,0.0497,0.2475557,,,
58,4.981,0.0298,0.1484338,,,
59,4.981,0.0298,0.1484338,,,
60,4.981,0.0331,0.1648711,,,
61,4.982,0.0331,0.1649042,,,
62,4.982,0.0298,0.1484636,,,
63,4.981,0.0298,0.1484338,,,
64,4.981,0.0333,0.1658673,,,
65,4.982,0.0333,0.1659006,,,
66,4.982,0.0294,0.1464708,,,
67,4.975,0.0294,0.146265,,,
68,4.975,0.0333,0.1656675,,,
69,4.981,0.0333,0.1658673,,,
70,4.981,0.0292,0.1454452,,,
71,4.975,0.0292,0.14527,,,
72,4.975,0.0335,0.1666625,,,
73,4.982,0.0335,0.166897,,,
74,4.982,0.0294,0.1464708,,,
75,4.975,0.0294,0.146265,,,
76,4.975,0.0341,0.1696475,,,
77,4.984,0.0341,0.1699544,,,
78,4.984,0.0323,0.1609832,,,
79,4.976,0.0323,0.1607248,,,
80,4.976,0.0325,0.16172,,,
81,4.983,0.0325,0.1619475,,,
82,4.983,0.0324,0.1614492,,,
83,4.976,0.0324,0.1612224,,,
84,4.976,0.0325,0.16172,,,
85,4.982,0.0325,0.161915,,,
86,4.982,0.0324,0.1614168,,,
87,4.976,0.0324,0.1612224,,,
88,4.976,0.0298,0.1482848,,,
89,4.983,0.0298,0.1484934,,,
90,4.983,0.0323,0.1609509,,,
91,4.975,0.0323,0.1606925,,,
92,4.975,0.03,0.14925,,,
93,4.982,0.03,0.14946,,,
94,4.982,0.0317,0.1579294,,,
95,4.973,0.0294,0.1462062,,,
96,4.973,0.0294,0.1462062,,,
97,4.984,0.0294,0.1465296,,,
98,4.984,0.0424,0.2113216,,,
99,4.98,0.0294,0.146412,,,
100,4.98,0.0294,0.146412,,,
101,4.985,0.0294,0.146559,,,
102,4.985,0.0858,0.427713,,,
103,4.985,0.0858,0.427713,,,
104,4.985,0.03,0.14955,,,
105,4.984,0.03,0.14952,,,
106,4.984,0.086,0.428624,,,
107,4.984,0.086,0.428624,,,
108,4.984,0.0305,0.152012,,,
109,4.984,0.0305,0.152012,,,
110,4.984,0.0854,0.4256336,,,
111,4.984,0.0854,0.4256336,,,
112,4.984,0.03,0.14952,,,
113,4.983,0.03,0.14949,,,
114,4.983,0.0521,0.2596143,,,
115,4.984,0.0521,0.2596664,,,
116,4.984,0.03,0.14952,,,
117,4.984,0.03,0.14952,,,
118,4.984,0.0523,0.2606632,,,
119,4.984,0.0523,0.2606632,,,
120,4.984,0.03,0.14952,,,
121,4.984,0.03,0.14952,,,
122,4.984,0.0519,0.2586696,,,
123,4.984,0.0519,0.2586696,,,
124,4.984,0.0294,0.1465296,,,
125,4.983,0.0294,0.1465002,,,
126,4.983,0.0515,0.2566245,,,
