Read times - Voltage  graph	Voltage(V) - Voltage  graph	Read times - Current graph	Current(A) - Current graph	
0	4.987	0	0.0002	
1	4.987	1	0.0002	
2	4.987	2	0.0002	
3	4.988	3	0.0002	
4	4.988	4	0.0003	
5	4.983	5	0.0003	
6	4.983	6	0.0371	
7	4.981	7	0.0371	
8	4.981	8	0.0929	
9	4.981	9	0.0929	
10	4.981	10	0.0347	
11	4.981	11	0.0347	
12	4.981	12	0.0904	
13	4.982	13	0.0904	
14	4.982	14	0.0345	
15	4.981	15	0.0345	
16	4.981	16	0.0902	
17	4.982	17	0.0902	
18	4.982	18	0.0345	
19	4.981	19	0.0345	
20	4.981	20	0.0898	
21	4.982	21	0.0898	
22	4.982	22	0.0345	
23	4.982	23	0.0345	
24	4.982	24	0.0854	
25	4.983	25	0.0854	
26	4.983	26	0.0296	
27	4.981	27	0.0296	
28	4.981	28	0.0852	
29	4.981	29	0.0852	
30	4.981	30	0.0296	
31	4.981	31	0.0296	
32	4.981	32	0.0521	
33	4.983	33	0.0521	
34	4.983	34	0.0294	
35	4.981	35	0.0294	
36	4.981	36	0.0515	
37	4.981	37	0.0515	
38	4.981	38	0.0294	
39	4.981	39	0.0294	
40	4.981	40	0.0513	
41	4.983	41	0.0513	
42	4.983	42	0.0296	
43	4.981	43	0.0296	
44	4.981	44	0.0505	
45	4.983	45	0.0505	
46	4.983	46	0.0298	
47	4.980	47	0.0298	
48	4.980	48	0.0501	
49	4.983	49	0.0501	
50	4.983	50	0.0298	
51	4.979	51	0.0298	
52	4.979	52	0.0497	
53	4.983	53	0.0497	
54	4.983	54	0.0302	
55	4.981	55	0.0302	
56	4.981	56	0.0497	
57	4.981	57	0.0497	
58	4.981	58	0.0298	
59	4.981	59	0.0298	
60	4.981	60	0.0331	
61	4.982	61	0.0331	
62	4.982	62	0.0298	
63	4.981	63	0.0298	
64	4.981	64	0.0333	
65	4.982	65	0.0333	
66	4.982	66	0.0294	
67	4.975	67	0.0294	
68	4.975	68	0.0333	
69	4.981	69	0.0333	
70	4.981	70	0.0292	
71	4.975	71	0.0292	
72	4.975	72	0.0335	
73	4.982	73	0.0335	
74	4.982	74	0.0294	
75	4.975	75	0.0294	
76	4.975	76	0.0341	
77	4.984	77	0.0341	
78	4.984	78	0.0323	
